"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;0;202,5;NA;0
"2";2017-07-25;115,714285714286;405;NA;0,285714285714286
"3";2017-08-01;150;450;NA;0,333333333333333
"4";2017-08-08;0;675;NA;0
"5";2017-08-16;641,25;540;157,5;1,1875
"6";2017-08-18;372,5;517,5;72;0,719806763285024
"7";2017-08-23;782,4;621;99;1,25990338164251
"8";2017-08-25;329,045454545455;571,5;261;0,575757575757576
"9";2017-08-29;375,75;319,5;328,5;1,17605633802817
"10";2017-09-01;533,1;616,5;108;0,864720194647202
"11";2017-09-06;1736,004375;1080;99;1,60741145833333
"12";2017-09-08;989,775;2097;130,5;0,471995708154506
"13";2017-09-13;2209,05;2610;198;0,846379310344827
"14";2017-09-15;2751,6;2412;198;1,1407960199005
"15";2017-09-20;7519,45909090909;2826;409,5;2,66081354950782
"16";2017-09-22;971,823529411765;1620;166,5;0,599891067538126
"17";2017-09-26;1340,51298701299;2934;247,5;0,456889225294133
"18";2017-09-29;53,25;1890;364,5;0,0281746031746032
"19";2017-10-03;226,5;1966,5;553,5;0,115179252479024
"20";2017-10-06;0;900;976,5;0
