"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;352,428571428571;840;NA;0,419557823129252
"2";2017-07-25;845,833333333333;1270;NA;0,666010498687664
"3";2017-08-01;2148,55519480519;1895;NA;1,13380221361752
"4";2017-08-08;7487,85714285714;3490;NA;2,14551780597626
"5";2017-08-16;9707,17999593;4985;NA;1,94727783268405
"6";2017-08-18;7370,96464646465;5985;780;1,23157304034497
"7";2017-08-23;9959,82236181693;6075;425;1,63947693198633
"8";2017-08-25;7902,48537121092;5635;225;1,40239314484666
"9";2017-08-29;6164,18922743923;4785;460;1,28823181346692
"10";2017-09-01;1020,8256302521;3575;755;0,285545630839749
"11";2017-09-06;2315,78571428571;2255;670;1,02695597085841
"12";2017-09-08;1260,89285714286;2015;585;0,625753278979085
"13";2017-09-13;4486,66666666667;1560;1160;2,87606837606838
"14";2017-09-15;1113,92424242424;1100;1110;1,01265840220386
"15";2017-09-20;2575,45890410959;1245;1805;2,06864169004786
"16";2017-09-22;418,910256410256;810;1055;0,517173156062045
"17";2017-09-26;471,09126984127;925;1235;0,509287859287859
"18";2017-09-29;25;665;1270;0,037593984962406
"19";2017-10-03;41,25;440;1065;0,09375
"20";2017-10-06;0;425;975;0
