"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;0;0;NA;NA
"2";2017-07-25;0;0;NA;NA
"3";2017-08-01;0;0;NA;NA
"4";2017-08-08;0;0;NA;NA
"5";2017-08-16;0;10,6;0;0
"6";2017-08-18;0;15,9;0;0
"7";2017-08-23;61,8333333333333;63,6;0;0,972222222222222
"8";2017-08-25;18,55;79,5;0;0,233333333333333
"9";2017-08-29;113,066666666667;106;0;1,06666666666667
"10";2017-09-01;116,6;174,9;5,3;0,666666666666667
"11";2017-09-06;1751,65;318;10,6;5,50833333333333
"12";2017-09-08;715,5;556,5;0;1,28571428571429
"13";2017-09-13;4136,65;1123,6;26,5;3,68160377358491
"14";2017-09-15;1044,0196969697;646,6;100,7;1,61462990561351
"15";2017-09-20;2159,22;821,5;312,7;2,62838709677419
"16";2017-09-22;45,6615384615385;439,9;190,8;0,103799814643188
"17";2017-09-26;227,163888888889;434,6;360,4;0,52269647696477
"18";2017-09-29;0;318;302,1;0
"19";2017-10-03;19,875;148,4;318;0,133928571428571
"20";2017-10-06;0;185,5;307,4;0
