"","date","burstER","deathER","burstPS","deathPS","burstEH","deathEH"
"1",2017-06-28,0,0,0,0,2,0
"2",2017-06-29,0,0,0,0,1,0
"3",2017-06-30,0,0,0,0,0,0
"4",2017-07-01,0,0,0,0,0,0
"5",2017-07-02,0,0,0,0,0,0
"6",2017-07-03,0,0,0,0,0,0
"7",2017-07-04,1,0,0,0,0,0
"8",2017-07-05,0,0,0,0,1,0
"9",2017-07-06,0,0,0,0,1,0
"10",2017-07-07,0,0,0,0,0,0
"11",2017-07-08,0,0,0,0,1,0
"12",2017-07-09,0,0,0,0,0,0
"13",2017-07-10,0,0,1,0,0,0
"14",2017-07-11,0,0,0,0,0,0
"15",2017-07-12,0,0,0,0,0,0
"16",2017-07-13,0,0,1,0,1,0
"17",2017-07-14,0,0,0,0,0,0
"18",2017-07-15,0,0,1,0,2,0
"19",2017-07-16,0,0,0,0,0,0
"20",2017-07-17,0,0,0,0,0,0
"21",2017-07-18,0,0,0,0,0,0
"22",2017-07-19,1,0,1,0,7,0
"23",2017-07-20,0,0,0,0,1,0
"24",2017-07-21,0,0,0,0,2,0
"25",2017-07-22,0,0,0,0,1,0
"26",2017-07-23,0,0,0,0,2,0
"27",2017-07-24,2,0,0,0,0,0
"28",2017-07-25,1,0,0,0,1,0
"29",2017-07-26,2,0,1,0,0,0
"30",2017-07-27,0,0,1,0,1,0
"31",2017-07-28,2,0,0,0,2,0
"32",2017-07-29,1,0,0,0,1,0
"33",2017-07-30,1,0,0,0,4,0
"34",2017-07-31,0,0,0,0,3,0
"35",2017-08-01,0,0,0,0,1,0
"36",2017-08-02,4,0,2,0,12,0
"37",2017-08-03,0,0,1,0,1,0
"38",2017-08-04,3,0,3,0,2,0
"39",2017-08-05,0,0,1,0,0,0
"40",2017-08-06,0,0,2,0,0,0
"41",2017-08-07,3,0,3,0,9,0
"42",2017-08-08,1,0,1,0,0,0
"43",2017-08-09,0,0,0,0,1,0
"44",2017-08-10,2,0,0,0,1,0
"45",2017-08-11,1,0,1,0,0,0
"46",2017-08-12,1,0,0,0,0,0
"47",2017-08-13,0,0,0,0,0,0
"48",2017-08-14,0,0,0,0,0,0
"49",2017-08-15,0,0,0,0,0,0
"50",2017-08-16,0,0,0,0,0,0
"51",2017-08-17,0,0,0,0,0,0
"52",2017-08-18,2,0,4,0,2,0
"53",2017-08-19,1,0,1,0,0,0
"54",2017-08-20,0,0,1,0,1,0
"55",2017-08-21,1,0,0,0,2,0
"56",2017-08-22,0,0,1,0,1,0
"57",2017-08-23,1,0,1,0,2,0
"58",2017-08-24,0,0,0,0,2,0
"59",2017-08-25,1,0,0,0,0,0
"60",2017-08-26,2,0,0,0,3,0
"61",2017-08-27,0,0,1,0,0,0
"62",2017-08-28,0,0,1,0,0,0
"63",2017-08-29,0,0,0,0,0,0
"64",2017-08-30,0,0,0,0,0,0
"65",2017-08-31,0,0,0,0,0,0
"66",2017-09-01,2,0,2,0,2,0
"67",2017-09-02,1,0,0,0,1,0
"68",2017-09-03,1,0,0,0,1,0
"69",2017-09-04,1,0,7,0,3,0
"70",2017-09-05,1,0,1,0,1,0
"71",2017-09-06,6,22,4,19,5,33
"72",2017-09-07,2,0,3,0,3,0
"73",2017-09-08,1,0,10,0,4,0
"74",2017-09-09,0,0,1,0,2,0
"75",2017-09-10,0,0,3,0,1,0
"76",2017-09-11,0,0,4,0,5,0
"77",2017-09-12,0,0,2,0,2,0
"78",2017-09-13,1,6,2,3,4,14
"79",2017-09-14,0,0,0,0,0,0
"80",2017-09-15,0,0,0,0,0,0
"81",2017-09-16,0,0,0,0,0,0
"82",2017-09-17,0,0,2,0,0,0
"83",2017-09-18,0,0,0,0,0,0
"84",2017-09-19,0,0,0,0,0,0
"85",2017-09-20,1,6,0,4,1,7
"86",2017-09-21,0,0,0,0,0,0
"87",2017-09-22,0,0,0,0,0,0
"88",2017-09-23,0,0,0,0,0,0
"89",2017-09-24,0,0,0,0,0,0
"90",2017-09-25,0,0,0,0,0,0
"91",2017-09-26,1,3,2,5,0,16
"92",2017-09-27,0,0,0,0,0,0
"93",2017-09-28,0,0,0,0,0,0
"94",2017-09-29,0,0,0,0,0,0
"95",2017-09-30,0,0,0,0,0,0
"96",2017-10-01,0,0,0,0,0,0
"97",2017-10-02,0,0,0,0,0,0
"98",2017-10-03,0,9,0,9,0,13
