"","date","burstER","burstPS","burstEH"
"1",2017-06-19,0,0,119.344295139261
"2",2017-06-20,0,0,0
"3",2017-06-21,0,0,0
"4",2017-06-22,0,0,0
"5",2017-06-23,0,0,0
"6",2017-06-24,0,0,0
"7",2017-06-25,0,0,0
"8",2017-06-26,0,0,0
"9",2017-06-27,0,0,0
"10",2017-06-28,0,0,358.032885417784
"11",2017-06-29,0,0,0
"12",2017-06-30,0,0,0
"13",2017-07-01,0,0,0
"14",2017-07-02,0,0,0
"15",2017-07-03,0,0,0
"16",2017-07-04,0,0,0
"17",2017-07-05,0,0,0
"18",2017-07-06,0,0,0
"19",2017-07-07,0,0,0
"20",2017-07-08,0,0,0
"21",2017-07-09,0,0,179.016442708892
"22",2017-07-10,0,0,358.032885417784
"23",2017-07-11,0,1450.70467248385,0
"24",2017-07-12,14.8237128112013,0,0
"25",2017-07-13,0,0,0
"26",2017-07-14,0,0,0
"27",2017-07-15,0,0,0
"28",2017-07-16,0,0,0
"29",2017-07-17,0,0,0
"30",2017-07-18,29.6474256224025,0,0
"31",2017-07-19,14.8237128112013,0,0
"32",2017-07-20,14.8237128112013,0,0
"33",2017-07-21,14.8237128112013,0,0
"34",2017-07-22,0,0,59.6721475696307
"35",2017-07-23,29.6474256224025,0,0
"36",2017-07-24,0,0,238.688590278523
"37",2017-07-25,14.8237128112013,0,0
"38",2017-07-26,44.4711384336038,0,0
"39",2017-07-27,0,0,0
"40",2017-07-28,0,1450.70467248385,179.016442708892
"41",2017-07-29,14.8237128112013,1450.70467248385,0
"42",2017-07-30,74.1185640560063,0,59.6721475696307
"43",2017-07-31,0,0,119.344295139261
"44",2017-08-01,14.8237128112013,0,119.344295139261
"45",2017-08-02,14.8237128112013,0,119.344295139261
"46",2017-08-03,14.8237128112013,0,59.6721475696307
"47",2017-08-04,0,0,59.6721475696307
"48",2017-08-05,0,0,0
"49",2017-08-06,0,0,0
"50",2017-08-07,74.1185640560063,0,59.6721475696307
"51",2017-08-08,0,0,0
"52",2017-08-09,0,0,119.344295139261
"53",2017-08-10,0,0,0
"54",2017-08-11,29.6474256224025,0,0
"55",2017-08-12,14.8237128112013,0,0
"56",2017-08-13,0,0,0
"57",2017-08-14,0,0,119.344295139261
"58",2017-08-15,0,0,0
"59",2017-08-16,14.8237128112013,0,0
"60",2017-08-17,0,0,59.6721475696307
"61",2017-08-18,14.8237128112013,0,119.344295139261
"62",2017-08-19,0,0,0
"63",2017-08-20,14.8237128112013,0,59.6721475696307
"64",2017-08-21,14.8237128112013,0,0
"65",2017-08-22,29.6474256224025,0,59.6721475696307
"66",2017-08-23,29.6474256224025,0,0
"67",2017-08-24,44.4711384336038,0,59.6721475696307
"68",2017-08-25,14.8237128112013,2901.4093449677,0
"69",2017-08-26,29.6474256224025,0,0
"70",2017-08-27,0,0,0
"71",2017-08-28,14.8237128112013,0,0
"72",2017-08-29,14.8237128112013,0,0
"73",2017-08-30,0,0,0
"74",2017-08-31,0,0,0
"75",2017-09-01,0,0,0
"76",2017-09-02,14.8237128112013,0,0
"77",2017-09-03,29.6474256224025,0,0
"78",2017-09-04,0,0,0
"79",2017-09-05,14.8237128112013,0,0
"80",2017-09-06,44.4711384336038,0,0
"81",2017-09-07,0,0,59.6721475696307
"82",2017-09-08,0,0,0
"83",2017-09-09,29.6474256224025,0,0
"84",2017-09-10,14.8237128112013,0,0
"85",2017-09-11,0,0,0
"86",2017-09-12,0,0,0
"87",2017-09-13,14.8237128112013,0,59.6721475696307
"88",2017-09-14,14.8237128112013,0,0
"89",2017-09-15,0,0,0
"90",2017-09-16,0,0,0
"91",2017-09-17,0,0,0
"92",2017-09-18,0,0,0
"93",2017-09-19,0,0,0
"94",2017-09-20,14.8237128112013,0,0
"95",2017-09-21,0,0,0
"96",2017-09-22,0,0,0
"97",2017-09-23,0,0,0
"98",2017-09-24,0,0,0
"99",2017-09-25,0,0,0
"100",2017-09-26,14.8237128112013,0,0
"101",2017-09-27,14.8237128112013,0,0
"102",2017-09-28,0,0,0
"103",2017-09-29,0,0,0
"104",2017-09-30,0,0,0
"105",2017-10-01,0,0,0
"106",2017-10-02,0,0,0
"107",2017-10-03,0,0,0
