days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-06-19; 2;  0;2; 2; 2; 0; 0; 0
2018-06-20; 2;  0;0; 2; 2; 0; 0; 0
2018-06-21; 2;  0;0; 2; 2; 0; 0; 0
2018-06-22; 2;  0;0; 2; 2; 0; 0; 0
2018-06-23; 2;  0;0; 2; 2; 0; 0; 0
2018-06-24; 2;  0;0; 2; 2; 0; 0; 0
2018-06-25; 2;  0;0; 2; 2; 0; 0; 0
2018-06-26; 2;  0;0; 2; 0; 2; 0; 0
2018-06-27; 2;  0;0; 2; 0; 2; 0; 0
2018-06-28; 8;  0;6; 8; 6; 2; 0; 0
2018-06-29; 8;  0;0; 8; 6; 2; 0; 0
2018-06-30; 8;  0;0; 8; 6; 2; 0; 0
2018-07-01; 8;  0;0; 8; 6; 2; 0; 0
2018-07-02; 8;  0;0; 8; 6; 2; 0; 0
2018-07-03; 8;  0;0; 8; 6; 2; 0; 0
2018-07-04; 8;  0;0; 8; 6; 2; 0; 0
2018-07-05; 8;  0;0; 8; 0; 6; 2; 0
2018-07-06; 8;  0;0; 8; 0; 6; 2; 0
2018-07-07; 8;  0;0; 8; 0; 6; 2; 0
2018-07-08; 8;  0;0; 8; 0; 6; 2; 0
2018-07-09;11;  0;3;11; 3; 6; 2; 0
2018-07-10;17;  0;6;17; 9; 6; 2; 0
2018-07-11;18;  0;1;18;10; 6; 2; 0
2018-07-12;19;  0;1;19;11; 6; 2; 0
2018-07-13;19;  0;0;19;11; 6; 2; 0
2018-07-14;19;  0;0;19;11; 0; 8; 0
2018-07-15;19;  0;0;19;11; 0; 8; 0
2018-07-16;19;  0;0;19; 8; 3; 8; 0
2018-07-17;19;  0;0;19; 2; 9; 8; 0
2018-07-18;21;  0;2;21; 3;10; 8; 0
2018-07-19;22;  0;1;22; 3;11; 8; 0
2018-07-20;23;  0;1;23; 4;11; 8; 0
2018-07-21;24;  0;1;24; 5;11; 8; 0
2018-07-22;25;  0;1;25; 6;11; 8; 0
2018-07-23;27;  0;2;27; 8;11; 8; 0
2018-07-24;31;  0;4;31;12;11; 8; 0
2018-07-25;32;  0;1;32;11;10;11; 0
2018-07-26;35;  0;3;35;13; 5;17; 0
2018-07-27;35;  0;0;35;12; 5;18; 0
2018-07-28;39;  0;4;39;15; 5;19; 0
2018-07-29;41;  0;2;41;16; 6;19; 0
2018-07-30;47;  0;6;47;20; 8;19; 0
2018-07-31;49;  0;2;49;18;12;19; 0
2018-08-01;52;  0;3;52;20;13;19; 0
2018-08-02;55;  0;3;55;20;16;19; 0
2018-08-03;57;  0;2;57;22;14;21; 0
2018-08-04;58;  0;1;58;19;17;22; 0
2018-08-05;58;  0;0;58;17;18;23; 0
2018-08-06;58;  0;0;58;11;23;24; 0
2018-08-07;64;  0;6;64;15;24;25; 0
2018-08-08;64;  0;0;62;12;25;25; 2
2018-08-09;66;  0;2;64;11;24;29; 2
2018-08-10;66;  0;0;64; 9;25;30; 2
2018-08-11;68;  0;2;66;10;23;33; 2
2018-08-12;69;  0;1;67;11;23;33; 2
2018-08-13;69;  0;0;67;11;19;37; 2
2018-08-14;71;  0;2;69; 7;23;39; 2
2018-08-15;71;  0;0;69; 7;17;45; 2
2018-08-16;72;  0;1;70; 6;17;47; 2
2018-08-17;73;  0;1;65; 7;14;44; 8
2018-08-18;76;  0;3;68; 8;13;47; 8
2018-08-19;76;  0;0;68; 7;12;49; 8
2018-08-20;78;  0;2;70; 9;11;50; 8
2018-08-21;79;  0;1;71; 8;13;50; 8
2018-08-22;82;  0;3;74;11;13;50; 8
2018-08-23;84;  0;2;76;12; 8;56; 8
2018-08-24;88;  0;4;80;15; 9;56; 8
2018-08-25;91;  0;3;83;15;10;58; 8
2018-08-26;93;  0;2;85;17;10;58; 8
2018-08-27;93;  0;0;85;15;10;60; 8
2018-08-28;94;  0;1;83;15;10;58;11
2018-08-29;95;  0;1;78;13;13;52;17
2018-08-30;95;  0;0;77;11;13;53;18
2018-08-31;95;  0;0;76; 7;17;52;19
2018-09-01;95;  0;0;76; 4;19;53;19
2018-09-02;96;  0;1;77; 3;20;54;19
2018-09-03;98;  0;2;79; 5;17;57;19
2018-09-04;98;  0;0;79; 4;18;57;19
2018-09-05;99;  0;1;80; 4;17;59;19
2018-09-06;49; 53;3;81; 7;16;58;21
2018-09-07;50; 53;1;81; 8;13;60;22
2018-09-08;50; 53;0;80; 8;11;61;23
2018-09-09;52; 53;2;81; 9; 8;64;24
2018-09-10;53; 53;1;81; 8; 7;66;25
2018-09-11;53; 53;0;79; 8; 5;66;27
2018-09-12;53; 53;0;75; 7; 6;62;31
2018-09-13;40; 68;2;76; 6; 8;62;32
2018-09-14;41; 68;1;74; 6; 8;60;35
2018-09-15;41; 68;0;74; 6; 8;60;35
2018-09-16;41; 68;0;70; 4;10;56;39
2018-09-17;41; 68;0;68; 3;11;54;41
2018-09-18;41; 68;0;62; 3;10;49;47
2018-09-19;41; 68;0;60; 3; 8;49;49
2018-09-20;21; 89;1;58; 2;10;46;52
2018-09-21;21; 89;0;55; 1;10;44;55
2018-09-22;21; 89;0;53; 1; 7;45;57
2018-09-23;21; 89;0;52; 1; 6;45;58
2018-09-24;21; 89;0;52; 1; 6;45;58
2018-09-25;21; 89;0;52; 1; 4;47;58
2018-09-26;15; 96;1;47; 2; 3;42;64
2018-09-27;16; 96;1;48; 2; 4;42;64
2018-09-28;16; 96;0;46; 2; 4;40;66
2018-09-29;16; 96;0;46; 2; 2;42;66
2018-09-30;16; 96;0;44; 2; 1;41;68
2018-10-01;16; 96;0;43; 2; 1;40;69
2018-10-02;16; 96;0;43; 2; 1;40;69
2018-10-03;12;100;0;41; 1; 2;38;71
