days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-06-19; 2; 0;2; 2; 2; 0; 0; 0
2018-06-20; 2; 0;0; 2; 2; 0; 0; 0
2018-06-21; 2; 0;0; 2; 2; 0; 0; 0
2018-06-22; 2; 0;0; 2; 2; 0; 0; 0
2018-06-23; 2; 0;0; 2; 2; 0; 0; 0
2018-06-24; 2; 0;0; 2; 2; 0; 0; 0
2018-06-25; 2; 0;0; 2; 2; 0; 0; 0
2018-06-26; 2; 0;0; 2; 0; 2; 0; 0
2018-06-27; 2; 0;0; 2; 0; 2; 0; 0
2018-06-28; 8; 0;6; 8; 6; 2; 0; 0
2018-06-29; 8; 0;0; 8; 6; 2; 0; 0
2018-06-30; 8; 0;0; 8; 6; 2; 0; 0
2018-07-01; 8; 0;0; 8; 6; 2; 0; 0
2018-07-02; 8; 0;0; 8; 6; 2; 0; 0
2018-07-03; 8; 0;0; 8; 6; 2; 0; 0
2018-07-04; 8; 0;0; 8; 6; 2; 0; 0
2018-07-05; 8; 0;0; 8; 0; 6; 2; 0
2018-07-06; 8; 0;0; 8; 0; 6; 2; 0
2018-07-07; 8; 0;0; 8; 0; 6; 2; 0
2018-07-08; 8; 0;0; 8; 0; 6; 2; 0
2018-07-09;11; 0;3;11; 3; 6; 2; 0
2018-07-10;17; 0;6;17; 9; 6; 2; 0
2018-07-11;17; 0;0;17; 9; 6; 2; 0
2018-07-12;17; 0;0;17; 9; 6; 2; 0
2018-07-13;17; 0;0;17; 9; 6; 2; 0
2018-07-14;17; 0;0;17; 9; 0; 8; 0
2018-07-15;17; 0;0;17; 9; 0; 8; 0
2018-07-16;17; 0;0;17; 6; 3; 8; 0
2018-07-17;17; 0;0;17; 0; 9; 8; 0
2018-07-18;17; 0;0;17; 0; 9; 8; 0
2018-07-19;17; 0;0;17; 0; 9; 8; 0
2018-07-20;17; 0;0;17; 0; 9; 8; 0
2018-07-21;17; 0;0;17; 0; 9; 8; 0
2018-07-22;18; 0;1;18; 1; 9; 8; 0
2018-07-23;18; 0;0;18; 1; 9; 8; 0
2018-07-24;22; 0;4;22; 5; 9; 8; 0
2018-07-25;22; 0;0;22; 5; 6;11; 0
2018-07-26;22; 0;0;22; 5; 0;17; 0
2018-07-27;22; 0;0;22; 5; 0;17; 0
2018-07-28;25; 0;3;25; 8; 0;17; 0
2018-07-29;25; 0;0;25; 7; 1;17; 0
2018-07-30;26; 0;1;26; 8; 1;17; 0
2018-07-31;28; 0;2;28; 6; 5;17; 0
2018-08-01;30; 0;2;30; 8; 5;17; 0
2018-08-02;32; 0;2;32;10; 5;17; 0
2018-08-03;33; 0;1;33;11; 5;17; 0
2018-08-04;34; 0;1;34; 9; 8;17; 0
2018-08-05;34; 0;0;34; 9; 8;17; 0
2018-08-06;34; 0;0;34; 8; 9;17; 0
2018-08-07;35; 0;1;35; 7;10;18; 0
2018-08-08;35; 0;0;33; 5;12;16; 2
2018-08-09;37; 0;2;35; 5;10;20; 2
2018-08-10;37; 0;0;35; 4;11;20; 2
2018-08-11;37; 0;0;35; 3;12;20; 2
2018-08-12;37; 0;0;35; 3;12;20; 2
2018-08-13;37; 0;0;35; 3; 9;23; 2
2018-08-14;39; 0;2;37; 4;10;23; 2
2018-08-15;39; 0;0;37; 4; 9;24; 2
2018-08-16;39; 0;0;37; 2; 9;26; 2
2018-08-17;40; 0;1;32; 3; 7;22; 8
2018-08-18;42; 0;2;34; 5; 5;24; 8
2018-08-19;42; 0;0;34; 5; 4;25; 8
2018-08-20;43; 0;1;35; 6; 3;26; 8
2018-08-21;43; 0;0;35; 4; 5;26; 8
2018-08-22;44; 0;1;36; 5; 5;26; 8
2018-08-23;44; 0;0;36; 5; 4;27; 8
2018-08-24;45; 0;1;37; 5; 5;27; 8
2018-08-25;45; 0;0;37; 3; 5;29; 8
2018-08-26;45; 0;0;37; 3; 5;29; 8
2018-08-27;45; 0;0;37; 2; 6;29; 8
2018-08-28;45; 0;0;34; 2; 6;26;11
2018-08-29;45; 0;0;28; 1; 7;20;17
2018-08-30;45; 0;0;28; 1; 5;22;17
2018-08-31;45; 0;0;28; 0; 6;22;17
2018-09-01;45; 0;0;28; 0; 6;22;17
2018-09-02;45; 0;0;28; 0; 5;23;17
2018-09-03;45; 0;0;28; 0; 3;25;17
2018-09-04;45; 0;0;28; 0; 3;25;17
2018-09-05;45; 0;0;28; 0; 2;26;17
2018-09-06;14;31;0;28; 0; 2;26;17
2018-09-07;15;31;1;29; 1; 1;27;17
2018-09-08;15;31;0;29; 1; 1;27;17
2018-09-09;15;31;0;29; 1; 0;28;17
2018-09-10;15;31;0;28; 1; 0;27;18
2018-09-11;15;31;0;28; 1; 0;27;18
2018-09-12;15;31;0;24; 1; 0;23;22
2018-09-13;14;33;1;25; 2; 0;23;22
2018-09-14;14;33;0;25; 1; 1;23;22
2018-09-15;14;33;0;25; 1; 1;23;22
2018-09-16;14;33;0;22; 1; 1;20;25
2018-09-17;14;33;0;22; 1; 1;20;25
2018-09-18;14;33;0;21; 1; 1;19;26
2018-09-19;14;33;0;19; 1; 1;17;28
2018-09-20; 8;39;0;17; 0; 2;15;30
