"","date","inflosER","inflosPS","inflosEH"
"1",2017-06-28,0,0,1
"2",2017-06-29,0,0,2
"3",2017-06-30,0,0,2
"4",2017-07-01,0,0,2
"5",2017-07-02,0,0,2
"6",2017-07-03,0,0,2
"7",2017-07-04,1,0,2
"8",2017-07-05,1,0,3
"9",2017-07-06,1,0,3
"10",2017-07-07,1,0,3
"11",2017-07-08,1,0,4
"12",2017-07-09,1,0,4
"13",2017-07-10,1,1,4
"14",2017-07-11,1,1,4
"15",2017-07-12,1,1,4
"16",2017-07-13,1,2,5
"17",2017-07-14,1,2,5
"18",2017-07-15,1,3,6
"19",2017-07-16,1,3,6
"20",2017-07-17,1,3,6
"21",2017-07-18,1,3,6
"22",2017-07-19,2,4,10
"23",2017-07-20,2,4,11
"24",2017-07-21,2,4,13
"25",2017-07-22,2,4,14
"26",2017-07-23,2,4,16
"27",2017-07-24,4,4,16
"28",2017-07-25,5,4,17
"29",2017-07-26,7,5,17
"30",2017-07-27,7,6,18
"31",2017-07-28,9,6,19
"32",2017-07-29,10,6,20
"33",2017-07-30,11,6,24
"34",2017-07-31,11,6,27
"35",2017-08-01,11,6,28
"36",2017-08-02,15,7,39
"37",2017-08-03,15,8,40
"38",2017-08-04,18,11,41
"39",2017-08-05,18,12,41
"40",2017-08-06,18,14,41
"41",2017-08-07,21,16,49
"42",2017-08-08,22,17,49
"43",2017-08-09,22,17,50
"44",2017-08-10,24,17,51
"45",2017-08-11,25,18,51
"46",2017-08-12,26,18,51
"47",2017-08-13,26,18,51
"48",2017-08-14,26,18,51
"49",2017-08-15,26,18,51
"50",2017-08-16,26,18,51
"51",2017-08-17,26,18,51
"52",2017-08-18,28,22,52
"53",2017-08-19,29,23,52
"54",2017-08-20,29,24,52
"55",2017-08-21,30,24,53
"56",2017-08-22,30,24,54
"57",2017-08-23,31,24,55
"58",2017-08-24,31,24,57
"59",2017-08-25,32,24,57
"60",2017-08-26,33,24,60
"61",2017-08-27,33,24,60
"62",2017-08-28,33,24,60
"63",2017-08-29,33,24,60
"64",2017-08-30,33,24,60
"65",2017-08-31,33,24,60
"66",2017-09-01,33,24,62
"67",2017-09-02,34,24,63
"68",2017-09-03,35,24,64
"69",2017-09-04,36,25,66
"70",2017-09-05,37,26,66
"71",2017-09-06,19,8,37
"72",2017-09-07,21,10,39
"73",2017-09-08,22,12,41
"74",2017-09-09,22,13,43
"75",2017-09-10,22,15,44
"76",2017-09-11,22,16,45
"77",2017-09-12,22,18,46
"78",2017-09-13,17,16,36
"79",2017-09-14,17,16,36
"80",2017-09-15,17,16,36
"81",2017-09-16,17,16,36
"82",2017-09-17,17,18,36
"83",2017-09-18,17,18,36
"84",2017-09-19,17,18,36
"85",2017-09-20,12,14,29
"86",2017-09-21,12,14,29
"87",2017-09-22,12,14,29
"88",2017-09-23,12,14,29
"89",2017-09-24,12,14,29
"90",2017-09-25,12,14,29
"91",2017-09-26,9,9,13
"92",2017-09-27,9,9,13
"93",2017-09-28,9,9,13
"94",2017-09-29,9,9,13
"95",2017-09-30,9,9,13
"96",2017-10-01,9,9,13
"97",2017-10-02,9,9,13
"98",2017-10-03,0,0,0
