"","date","larves","inflos","Bloc","Sol"
"1",2017-07-19,0,0,"Bloc 2","ER"
"2",2017-07-20,0,0,"Bloc 2","ER"
"3",2017-07-21,0,0,"Bloc 2","ER"
"4",2017-07-22,0,0,"Bloc 2","ER"
"5",2017-07-23,0,0,"Bloc 2","ER"
"6",2017-07-24,0,0,"Bloc 2","ER"
"7",2017-07-25,0,0,"Bloc 2","ER"
"8",2017-07-26,0,0,"Bloc 2","ER"
"9",2017-07-27,0,0,"Bloc 2","ER"
"10",2017-07-28,0,0,"Bloc 2","ER"
"11",2017-07-29,0,0,"Bloc 2","ER"
"12",2017-07-30,0,0,"Bloc 2","ER"
"13",2017-07-31,0,0,"Bloc 2","ER"
"14",2017-08-01,0,0,"Bloc 2","ER"
"15",2017-08-02,0,0,"Bloc 2","ER"
"16",2017-08-03,0,0,"Bloc 2","ER"
"17",2017-08-04,0,0,"Bloc 2","ER"
"18",2017-08-05,0,0,"Bloc 2","ER"
"19",2017-08-06,0,0,"Bloc 2","ER"
"20",2017-08-07,0,0,"Bloc 2","ER"
"21",2017-08-08,0,0,"Bloc 2","ER"
"22",2017-08-09,0,1.325,"Bloc 2","ER"
"23",2017-08-10,0,2.65,"Bloc 2","ER"
"24",2017-08-11,0,3.975,"Bloc 2","ER"
"25",2017-08-12,0,5.3,"Bloc 2","ER"
"26",2017-08-13,0,6.625,"Bloc 2","ER"
"27",2017-08-14,0,7.95,"Bloc 2","ER"
"28",2017-08-15,0,9.275,"Bloc 2","ER"
"29",2017-08-16,0,10.6,"Bloc 2","ER"
"30",2017-08-17,0,13.25,"Bloc 2","ER"
"31",2017-08-18,0,15.9,"Bloc 2","ER"
"32",2017-08-19,12.3666666666667,25.44,"Bloc 2","ER"
"33",2017-08-20,12.3666666666667,34.98,"Bloc 2","ER"
"34",2017-08-21,12.3666666666667,44.52,"Bloc 2","ER"
"35",2017-08-22,12.3666666666667,54.06,"Bloc 2","ER"
"36",2017-08-23,12.3666666666667,63.6,"Bloc 2","ER"
"37",2017-08-24,9.275,71.55,"Bloc 2","ER"
"38",2017-08-25,9.275,79.5,"Bloc 2","ER"
"39",2017-08-26,28.2666666666667,86.125,"Bloc 2","ER"
"40",2017-08-27,28.2666666666667,92.75,"Bloc 2","ER"
"41",2017-08-28,28.2666666666667,99.375,"Bloc 2","ER"
"42",2017-08-29,28.2666666666667,106,"Bloc 2","ER"
"43",2017-08-30,38.8666666666667,128.966666666667,"Bloc 2","ER"
"44",2017-08-31,38.8666666666667,151.933333333333,"Bloc 2","ER"
"45",2017-09-01,38.8666666666667,174.9,"Bloc 2","ER"
"46",2017-09-02,350.33,203.52,"Bloc 2","ER"
"47",2017-09-03,350.33,232.14,"Bloc 2","ER"
"48",2017-09-04,350.33,260.76,"Bloc 2","ER"
"49",2017-09-05,350.33,289.38,"Bloc 2","ER"
"50",2017-09-06,350.33,318,"Bloc 2","ER"
"51",2017-09-07,357.75,437.25,"Bloc 2","ER"
"52",2017-09-08,357.75,556.5,"Bloc 2","ER"
"53",2017-09-09,827.33,669.92,"Bloc 2","ER"
"54",2017-09-10,827.33,783.34,"Bloc 2","ER"
"55",2017-09-11,827.33,896.76,"Bloc 2","ER"
"56",2017-09-12,827.33,1010.18,"Bloc 2","ER"
"57",2017-09-13,827.33,1123.6,"Bloc 2","ER"
"58",2017-09-14,522.009848484848,885.1,"Bloc 2","ER"
"59",2017-09-15,522.009848484848,646.6,"Bloc 2","ER"
"60",2017-09-16,431.844,681.58,"Bloc 2","ER"
"61",2017-09-17,431.844,716.56,"Bloc 2","ER"
"62",2017-09-18,431.844,751.54,"Bloc 2","ER"
"63",2017-09-19,431.844,786.52,"Bloc 2","ER"
"64",2017-09-20,431.844,821.5,"Bloc 2","ER"
"65",2017-09-21,22.8307692307692,630.7,"Bloc 2","ER"
"66",2017-09-22,22.8307692307692,439.9,"Bloc 2","ER"
"67",2017-09-23,56.7909722222222,438.575,"Bloc 2","ER"
"68",2017-09-24,56.7909722222222,437.25,"Bloc 2","ER"
"69",2017-09-25,56.7909722222222,435.925,"Bloc 2","ER"
"70",2017-09-26,56.7909722222222,434.6,"Bloc 2","ER"
"71",2017-09-27,0,395.733333333333,"Bloc 2","ER"
"72",2017-09-28,0,356.866666666667,"Bloc 2","ER"
"73",2017-09-29,0,318,"Bloc 2","ER"
"74",2017-09-30,4.96875,275.6,"Bloc 2","ER"
"75",2017-10-01,4.96875,233.2,"Bloc 2","ER"
"76",2017-10-02,4.96875,190.8,"Bloc 2","ER"
"77",2017-10-03,4.96875,148.4,"Bloc 2","ER"
"78",2017-10-04,0,160.766666666667,"Bloc 2","ER"
"79",2017-10-05,0,173.133333333333,"Bloc 2","ER"
"80",2017-10-06,0,185.5,"Bloc 2","ER"
"81",2017-07-19,61.6857142857143,396.342857142857,"Bloc 2","PS"
"82",2017-07-20,61.6857142857143,430.585714285714,"Bloc 2","PS"
"83",2017-07-21,61.6857142857143,464.828571428571,"Bloc 2","PS"
"84",2017-07-22,61.6857142857143,499.071428571429,"Bloc 2","PS"
"85",2017-07-23,61.6857142857143,533.314285714286,"Bloc 2","PS"
"86",2017-07-24,61.6857142857143,567.557142857143,"Bloc 2","PS"
"87",2017-07-25,61.6857142857143,601.8,"Bloc 2","PS"
"88",2017-07-26,157.343042671614,687.771428571428,"Bloc 2","PS"
"89",2017-07-27,157.343042671614,773.742857142857,"Bloc 2","PS"
"90",2017-07-28,157.343042671614,859.714285714286,"Bloc 2","PS"
"91",2017-07-29,157.343042671614,945.685714285714,"Bloc 2","PS"
"92",2017-07-30,157.343042671614,1031.65714285714,"Bloc 2","PS"
"93",2017-07-31,157.343042671614,1117.62857142857,"Bloc 2","PS"
"94",2017-08-01,157.343042671614,1203.6,"Bloc 2","PS"
"95",2017-08-02,789.771428571428,1384.28571428571,"Bloc 2","PS"
"96",2017-08-03,789.771428571428,1564.97142857143,"Bloc 2","PS"
"97",2017-08-04,789.771428571428,1745.65714285714,"Bloc 2","PS"
