boite	datprelev	nblarv	temp1	temp2	dattemp2	temp3	dattemp3	dateme	cecido	parasit	Nbj	Pro
C20E20L1	17/08/2011	250	20	NA	NA	NA	NA	25/08/2011	68	0	8	Cst20
C20E20L1	17/08/2011	250	20	NA	NA	NA	NA	30/08/2011	95	0	13	Cst20
C20E20L1	17/08/2011	250	20	NA	NA	NA	NA	07/09/2011	14	0	21	Cst20
C20E20L1	17/08/2011	250	20	NA	NA	NA	NA	28/09/2011	14	2	42	Cst20
C20E20L1	17/08/2011	250	20	NA	NA	NA	NA	12/10/2011	1	1	56	Cst20
C20E20L1	17/08/2011	250	20	NA	NA	NA	NA	19/10/2011	1	0	63	Cst20
C20E20L2	18/08/2011	250	20	NA	NA	NA	NA	30/08/2011	164	0	12	Cst20
C20E20L2	18/08/2011	250	20	NA	NA	NA	NA	28/09/2011	15	7	41	Cst20
C20E20L2	18/08/2011	250	20	NA	NA	NA	NA	05/10/2011	6	0	48	Cst20
C20E20L2	18/08/2011	250	20	NA	NA	NA	NA	19/10/2011	4	0	62	Cst20
C20E25L1	17/08/2011	250	20	NA	NA	NA	NA	30/08/2011	193	0	13	Cst20
C20E25L1	17/08/2011	250	20	NA	NA	NA	NA	07/09/2011	6	0	21	Cst20
C20E25L1	17/08/2011	250	20	NA	NA	NA	NA	28/09/2011	2	2	42	Cst20
C20E25L1	17/08/2011	250	20	NA	NA	NA	NA	05/10/2011	1	0	49	Cst20
C20E25L1	17/08/2011	250	20	NA	NA	NA	NA	16/12/2011	1	0	121	Cst20
C20E26L1	17/08/2011	250	20	NA	NA	NA	NA	30/08/2011	202	0	13	Cst20
C20E26L1	17/08/2011	250	20	NA	NA	NA	NA	07/09/2011	4	0	21	Cst20
C20E26L1	17/08/2011	250	20	NA	NA	NA	NA	28/09/2011	11	2	42	Cst20
C20E26L1	17/08/2011	250	20	NA	NA	NA	NA	05/10/2011	7	0	49	Cst20
C20E26L1	17/08/2011	250	20	NA	NA	NA	NA	19/10/2011	1	0	63	Cst20
C20E26L1	17/08/2011	250	20	NA	NA	NA	NA	08/12/2011	1	0	113	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	25/08/2011	84	0	8	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	30/08/2011	104	0	13	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	07/09/2011	1	0	21	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	28/09/2011	2	9	42	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	05/10/2011	3	1	49	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	12/10/2011	1	0	56	Cst20
C20E28L1	17/08/2011	250	20	NA	NA	NA	NA	16/03/2012	0	1	212	Cst20
C26E20L1	17/08/2011	250	26	NA	NA	NA	NA	24/08/2011	160	0	7	Cstt26
C26E20L1	17/08/2011	250	26	NA	NA	NA	NA	07/09/2011	0	1	21	Cstt26
C26E20L1	17/08/2011	250	26	NA	NA	NA	NA	26/01/2012	1	0	162	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	24/08/2011	12	0	7	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	07/09/2011	0	2	21	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	28/09/2011	1	2	42	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	25/11/2011	0	1	100	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	08/12/2011	1	0	113	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	16/12/2011	2	0	121	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	22/12/2011	1	0	127	Cstt26
C26E23L1	17/08/2011	250	26	NA	NA	NA	NA	14/06/2012	1	0	302	Cstt26
C26E25L1	17/08/2011	250	26	NA	NA	NA	NA	24/08/2011	199	0	7	Cstt26
C26E25L1	17/08/2011	250	26	NA	NA	NA	NA	30/08/2011	1	0	13	Cstt26
C26E25L1	17/08/2011	250	26	NA	NA	NA	NA	07/09/2011	0	1	21	Cstt26
C26E25L1	17/08/2011	250	26	NA	NA	NA	NA	16/02/2012	1	0	183	Cstt26
C26E26L1	17/08/2011	250	26	NA	NA	NA	NA	24/08/2011	213	0	7	Cstt26
C26E26L1	17/08/2011	250	26	NA	NA	NA	NA	07/09/2011	0	2	21	Cstt26
C26E26L1	17/08/2011	250	26	NA	NA	NA	NA	05/10/2011	0	1	49	Cstt26
C26E26L1	17/08/2011	250	26	NA	NA	NA	NA	19/01/2012	1	0	155	Cstt26
C26E26L1	17/08/2011	250	26	NA	NA	NA	NA	10/02/2012	1	0	177	Cstt26
C26E28L1	17/08/2011	250	26	NA	NA	NA	NA	24/08/2011	55	0	7	Cstt26
C26E28L1	17/08/2011	250	26	NA	NA	NA	NA	07/09/2011	0	1	21	Cstt26
C26E28L1	17/08/2011	250	26	NA	NA	NA	NA	02/12/2011	1	0	107	Cstt26
C26E28L1	17/08/2011	250	26	NA	NA	NA	NA	16/12/2011	2	0	121	Cstt26
C26E28L1	17/08/2011	250	26	NA	NA	NA	NA	19/01/2012	1	0	155	Cstt26
C26E28L1	17/08/2011	250	26	NA	NA	NA	NA	26/01/2012	1	0	162	Cstt26
T20E20L1	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	30/08/2011	196	0	13	Nat
T20E20L1	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	07/09/2011	5	0	21	Nat
T20E20L1	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	28/09/2011	6	10	42	Nat
T20E20L1	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	05/10/2011	2	1	49	Nat
T20E20L2	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	30/08/2011	192	0	13	Nat
T20E20L2	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	07/09/2011	3	0	21	Nat
T20E20L2	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	28/09/2011	7	1	42	Nat
T20E20L2	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	12/10/2011	1	0	56	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	25/08/2011	69	0	8	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	30/08/2011	104	0	13	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	07/09/2011	7	0	21	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	28/09/2011	5	3	42	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	12/10/2011	1	0	56	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	19/10/2011	1	0	63	Nat
T20E20L3	17/08/2011	250	20	26	18/10/2011	20	20/06/2012	25/03/2012	0	1	221	Nat
