boite	datprelev	nblarv	temp1	temp2	dattemp2	dateme	cecido	parasit	Nbj	Pro
D14L10	30/03/2012	100	26	20	25/05/2012	12/04/2012	59	0	13	V1
D14L10	30/03/2012	100	26	20	25/05/2012	04/05/2012	1	0	35	V1
D14L10	30/03/2012	100	26	20	25/05/2012	20/05/2012	4	0	51	V1
D14L10	30/03/2012	100	26	20	25/05/2012	25/05/2012	4	1	56	V1
D14L10	30/03/2012	100	26	20	25/05/2012	14/06/2012	5	0	76	V1
D14L10	30/03/2012	100	26	20	25/05/2012	20/06/2012	2	0	82	V1
D14L10	30/03/2012	100	26	20	25/05/2012	26/06/2012	1	0	88	V1
D14L12	27/03/2012	100	26	20	25/05/2012	12/04/2012	44	0	16	V1
D14L12	27/03/2012	100	26	20	25/05/2012	20/05/2012	2	0	54	V1
D14L12	27/03/2012	100	26	20	25/05/2012	25/05/2012	2	0	59	V1
D14L12	27/03/2012	100	26	20	25/05/2012	31/05/2012	1	0	65	V1
D14L12	27/03/2012	100	26	20	25/05/2012	14/06/2012	4	0	79	V1
D14L12	27/03/2012	100	26	20	25/05/2012	26/06/2012	1	0	91	V1
D14L13	30/03/2012	100	26	20	20/06/2012	12/04/2012	60	0	13	V2
D14L13	30/03/2012	100	26	20	20/06/2012	20/05/2012	1	0	51	V2
D14L13	30/03/2012	100	26	20	20/06/2012	25/05/2012	3	0	56	V2
D14L13	30/03/2012	100	26	20	20/06/2012	04/07/2012	7	0	96	V2
D14L13	30/03/2012	100	26	20	20/06/2012	11/07/2012	5	0	103	V2
D14L14	30/03/2012	100	26	20	20/06/2012	12/04/2012	83	0	13	V2
D14L14	30/03/2012	100	26	20	20/06/2012	25/05/2012	3	0	56	V2
D14L14	30/03/2012	100	26	20	20/06/2012	24/07/2012	2	0	116	V2
D14L15	30/03/2012	100	26	20	20/06/2012	12/04/2012	87	0	13	V2
D14L15	30/03/2012	100	26	20	20/06/2012	25/05/2012	1	0	56	V2
D14L15	30/03/2012	100	26	20	20/06/2012	11/07/2012	1	0	103	V2
D14L16	28/03/2012	100	26	20	20/06/2012	12/04/2012	73	0	15	V2
D14L16	28/03/2012	100	26	20	20/06/2012	20/05/2012	1	0	53	V2
D14L16	28/03/2012	100	26	20	20/06/2012	07/06/2012	1	0	71	V2
D14L16	28/03/2012	100	26	20	20/06/2012	04/07/2012	1	0	98	V2
D14L16	28/03/2012	100	26	20	20/06/2012	11/07/2012	3	1	105	V2
D14L17	30/03/2012	100	26	20	25/05/2012	12/04/2012	77	0	13	V1
D14L17	30/03/2012	100	26	20	25/05/2012	04/05/2012	2	0	35	V1
D14L17	30/03/2012	100	26	20	25/05/2012	25/05/2012	1	0	56	V1
D14L17	30/03/2012	100	26	20	25/05/2012	14/06/2012	1	0	76	V1
D14L17	30/03/2012	100	26	20	25/05/2012	20/06/2012	2	0	82	V1
D14L17	30/03/2012	100	26	20	25/05/2012	26/06/2012	2	0	88	V1
D14L18	28/03/2012	100	26	20	25/05/2012	12/04/2012	73	0	15	V1
D14L18	28/03/2012	100	26	20	25/05/2012	04/05/2012	0	1	37	V1
D14L18	28/03/2012	100	26	20	25/05/2012	25/05/2012	1	1	58	V1
D14L18	28/03/2012	100	26	20	25/05/2012	14/06/2012	2	0	78	V1
D14L18	28/03/2012	100	26	20	25/05/2012	20/06/2012	1	0	84	V1
