"","er","ps","eh"
"1",0,396.342857142857,471.828571428571
"2",0,430.585714285714,497.457142857143
"3",0,464.828571428571,523.085714285714
"4",0,499.071428571429,548.714285714286
"5",0,533.314285714286,574.342857142857
"6",0,567.557142857143,599.971428571429
"7",0,601.8,625.6
"8",0,687.771428571428,630.2
"9",0,773.742857142857,634.8
"10",0,859.714285714286,639.4
"11",0,945.685714285714,644
"12",0,1031.65714285714,648.6
"13",0,1117.62857142857,653.2
"14",0,1203.6,657.8
"15",0,1384.28571428571,704.457142857143
"16",0,1564.97142857143,751.114285714286
"17",0,1745.65714285714,797.771428571428
"18",0,1926.34285714286,844.428571428571
"19",0,2107.02857142857,891.085714285714
"20",0,2287.71428571429,937.742857142857
"21",0,2468.4,984.4
"22",1.325,2648.175,993.025
"23",2.65,2827.95,1001.65
"24",3.975,3007.725,1010.275
"25",5.3,3187.5,1018.9
"26",6.625,3367.275,1027.525
"27",7.95,3547.05,1036.15
"28",9.275,3726.825,1044.775
"29",10.6,3906.6,1053.4
"30",13.25,4034.1,1396.1
"31",15.9,4161.6,1738.8
"32",25.44,4110.6,1793.08
"33",34.98,4059.6,1847.36
"34",44.52,4008.6,1901.64
"35",54.06,3957.6,1955.92
"36",63.6,3906.6,2010.2
"37",71.55,3909.15,1798.6
"38",79.5,3911.7,1587
"39",86.125,3710.25,1567.45
"40",92.75,3508.8,1547.9
"41",99.375,3307.35,1528.35
"42",106,3105.9,1508.8
"43",128.966666666667,2765.9,1424.46666666667
"44",151.933333333333,2425.9,1340.13333333333
"45",174.9,2085.9,1255.8
"46",203.52,1865.58,1186.8
"47",232.14,1645.26,1117.8
"48",260.76,1424.94,1048.8
"49",289.38,1204.62,979.8
"50",318,984.3,910.8
"51",437.25,1012.35,671.6
"52",556.5,1040.4,432.4
"53",669.92,907.8,369.84
"54",783.34,775.2,307.28
"55",896.76,642.6,244.72
"56",1010.18,510,182.16
"57",1123.6,377.4,119.6
"58",885.1,390.15,103.5
"59",646.6,402.9,87.4
"60",681.58,405.96,80.96
"61",716.56,409.02,74.52
"62",751.54,412.08,68.08
"63",786.52,415.14,61.64
"64",821.5,418.2,55.2
"65",630.7,354.45,78.2
"66",439.9,290.7,101.2
"67",438.575,318.75,103.5
"68",437.25,346.8,105.8
"69",435.925,374.85,108.1
"70",434.6,402.9,110.4
"71",395.733333333333,384.2,81.2666666666667
"72",356.866666666667,365.5,52.1333333333333
"73",318,346.8,23
"74",275.6,325.125,27.6
"75",233.2,303.45,32.2
"76",190.8,281.775,36.8
"77",148.4,260.1,41.4
"78",160.766666666667,236.3,47.5333333333333
"79",173.133333333333,212.5,53.6666666666667
"80",185.5,188.7,59.8
