"","date","inflosER","inflosPS","inflosEH"
"1",2017-06-19,0,0,2
"2",2017-06-20,0,0,2
"3",2017-06-21,0,0,2
"4",2017-06-22,0,0,2
"5",2017-06-23,0,0,2
"6",2017-06-24,0,0,2
"7",2017-06-25,0,0,2
"8",2017-06-26,0,0,2
"9",2017-06-27,0,0,2
"10",2017-06-28,0,0,8
"11",2017-06-29,0,0,8
"12",2017-06-30,0,0,8
"13",2017-07-01,0,0,8
"14",2017-07-02,0,0,8
"15",2017-07-03,0,0,8
"16",2017-07-04,0,0,8
"17",2017-07-05,0,0,8
"18",2017-07-06,0,0,8
"19",2017-07-07,0,0,8
"20",2017-07-08,0,0,8
"21",2017-07-09,0,0,11
"22",2017-07-10,0,0,17
"23",2017-07-11,0,1,17
"24",2017-07-12,0,1,17
"25",2017-07-13,0,1,17
"26",2017-07-14,0,1,17
"27",2017-07-15,0,1,17
"28",2017-07-16,0,1,17
"29",2017-07-17,0,1,17
"30",2017-07-18,2,1,17
"31",2017-07-19,3,1,17
"32",2017-07-20,4,1,17
"33",2017-07-21,5,1,17
"34",2017-07-22,5,1,18
"35",2017-07-23,7,1,18
"36",2017-07-24,7,1,20
"37",2017-07-25,8,1,20
"38",2017-07-26,11,1,20
"39",2017-07-27,11,1,20
"40",2017-07-28,11,2,23
"41",2017-07-29,12,3,23
"42",2017-07-30,16,3,24
"43",2017-07-31,16,3,26
"44",2017-08-01,17,3,28
"45",2017-08-02,18,3,30
"46",2017-08-03,19,3,31
"47",2017-08-04,19,3,32
"48",2017-08-05,19,3,32
"49",2017-08-06,19,3,32
"50",2017-08-07,24,3,33
"51",2017-08-08,24,3,33
"52",2017-08-09,24,3,35
"53",2017-08-10,24,3,35
"54",2017-08-11,26,3,35
"55",2017-08-12,27,3,35
"56",2017-08-13,27,3,35
"57",2017-08-14,27,3,37
"58",2017-08-15,27,3,37
"59",2017-08-16,28,3,37
"60",2017-08-17,28,3,38
"61",2017-08-18,29,3,39
"62",2017-08-19,29,3,39
"63",2017-08-20,30,3,40
"64",2017-08-21,31,3,40
"65",2017-08-22,33,3,40
"66",2017-08-23,35,3,40
"67",2017-08-24,38,3,40
"68",2017-08-25,39,5,40
"69",2017-08-26,41,5,40
"70",2017-08-27,41,5,40
"71",2017-08-28,42,5,40
"72",2017-08-29,42,5,40
"73",2017-08-30,42,5,40
"74",2017-08-31,42,5,40
"75",2017-09-01,42,5,40
"76",2017-09-02,43,5,40
"77",2017-09-03,45,5,40
"78",2017-09-04,45,5,40
"79",2017-09-05,46,5,40
"80",2017-09-06,32,0,9
"81",2017-09-07,32,0,9
"82",2017-09-08,32,0,9
"83",2017-09-09,34,0,9
"84",2017-09-10,35,0,9
"85",2017-09-11,35,0,9
"86",2017-09-12,35,0,9
"87",2017-09-13,23,0,8
"88",2017-09-14,23,0,8
"89",2017-09-15,23,0,8
"90",2017-09-16,23,0,8
"91",2017-09-17,23,0,8
"92",2017-09-18,23,0,8
"93",2017-09-19,23,0,8
"94",2017-09-20,9,0,2
"95",2017-09-21,9,0,2
"96",2017-09-22,9,0,2
"97",2017-09-23,9,0,2
"98",2017-09-24,9,0,2
"99",2017-09-25,9,0,2
"100",2017-09-26,4,0,0
"101",2017-09-27,4,0,0
"102",2017-09-28,4,0,0
"103",2017-09-29,4,0,0
"104",2017-09-30,4,0,0
"105",2017-10-01,4,0,0
"106",2017-10-02,4,0,0
"107",2017-10-03,0,0,0
