"","","simu_ER","simu_PS","simu_EH"
"1",17366,350.013434345257,231.351344983096,180.255269921547
"2",17367,453.049468042503,263.140368865509,226.493627599744
"3",17368,554.155460698015,292.673289492049,266.648156017939
"4",17369,655.1619181944,321.990590989957,306.509884275216
"5",17370,756.290148500864,351.673794991944,346.75383883453
"6",17371,857.334540560084,380.807431583643,385.683894203099
"7",17372,958.492283085536,405.634109491388,399.167095781243
"8",17373,978.53585351192,417.137018953326,445.153719964619
"9",17374,998.163997327885,428.858901257821,492.979870085625
"10",17375,1015.47164990779,431.306731612634,512.034977693865
"11",17376,1031.98950533863,432.983560410384,529.69045251433
"12",17377,1048.29185926949,429.302140711625,545.689334268268
"13",17378,1064.01028953686,424.52209481407,559.774473311911
"14",17379,1079.66271416221,419.267396359316,572.430686139454
"15",17380,1188.59399972628,488.962484780417,623.343004388026
"16",17381,1299.51188939352,562.955969188878,676.066985773371
"17",17382,1381.69311266657,571.830971658321,685.098963051808
"18",17383,1463.3314099236,585.371438841374,690.793890498314
"19",17384,1545.40927169181,598.847286372492,692.817529207329
"20",17385,1623.60385784646,598.966565246369,691.803486086231
"21",17386,1717.8918088834,646.112490945903,736.420990188338
"22",17387,1823.17392620266,641.519756343121,792.245965530505
"23",17388,1928.87822982025,629.264107699164,850.363101796839
"24",17389,2031.18741799609,616.417925851482,894.316879580776
"25",17390,2133.69962470879,602.843955739145,939.402092049592
"26",17391,2236.34194949259,588.56198570472,985.766461769051
"27",17392,2339.36646227843,573.598525872406,1033.67120708708
"28",17393,2448.45322404526,557.986727275473,1085.06872723787
"29",17394,2437.19761530959,559.156891711931,1116.50529984985
"30",17395,2388.4926057982,552.587436595411,1093.02896377569
"31",17396,2338.21154882357,534.979023772336,1069.56319679649
"32",17397,2285.70435401904,536.466245030401,1045.1077964416
"33",17398,2231.04978891886,557.613374534115,1019.70492858329
"34",17399,2174.34169847758,578.470546435447,1007.14632327911
"35",17400,2115.68868247771,579.453566766898,998.47585122615
"36",17401,2055.21365495925,559.383267293698,978.265132556762
"37",17402,1993.05328912706,539.498728094462,949.291272065828
"38",17403,1929.35734995499,519.460526754348,919.804715752177
"39",17404,1864.28791536577,499.333084535633,1161.72458536011
"40",17405,1798.01848562637,479.180152314266,1415.99081700249
"41",17406,1777.55346966493,459.064179134284,1670.24782971151
"42",17407,1708.37993425166,439.045732946177,1924.82927657715
"43",17408,1639.45607209712,426.806201851703,2221.46631152901
"44",17409,1570.09000648915,527.066400044082,2518.25361257142
"45",17410,1500.49205463535,627.367305915243,2814.95029008995
"46",17411,1430.87612972381,721.368565355021,2954.27746507163
"47",17412,1361.45809630091,815.030852838382,3093.10415742529
"48",17413,1292.45403836713,908.908605682069,3231.92654176793
"49",17414,1224.07845541892,1002.68250704623,3370.39457511012
"50",17415,1156.54240603784,1096.10948275329,3508.57673728419
"51",17416,1179.83505165155,1605.38452640739,4091.87741052552
"52",17417,1226.77031493159,2114.44158476283,4674.58354481365
"53",17418,1290.94909607954,2217.60492290886,4950.87930892717
"54",17419,1354.82552096427,2320.41514574414,5226.54464839276
"55",17420,1418.79217750734,2423.32286170911,5502.00669360958
"56",17421,1482.61810057238,2524.50665723024,5770.02777414034
"57",17422,1546.22322975982,2563.97391232427,5689.67399337309
"58",17423,1568.31126931007,2529.79339735079,5597.44310830551
"59",17424,1589.46448592435,2495.09378727168,5500.52158019799
"60",17425,1541.15695430418,2510.82637368399,5400.64074364397
"61",17426,1489.0697681725,2526.13658727037,5295.64654121354
"62",17427,1438.22935109276,2484.35445528867,5185.45170414804
"63",17428,1388.54289771754,2441.16269029698,5070.04936034897
"64",17429,1339.95980078877,2395.39001792391,4949.42950298468
"65",17430,1286.21640741181,2341.94896833417,4821.01786494172
"66",17431,1234.04796630655,2286.08088402998,4687.66797470881
"67",17432,1185.51547043392,2232.49364235694,4552.64887308315
"68",17433,1149.06666911495,2282.48011533015,4413.16842818249
"69",17434,1139.78500083081,2370.00619000018,4269.47844325675
"70",17435,1094.30627034089,2305.52590045172,4121.8774573809
"71",17436,1049.38905493222,2238.13316542777,3967.51532964055
"72",17437,1004.67460820494,2172.03444742773,3809.49800016473
"73",17438,960.86189833569,2104.1034420836,3649.04801083486
"74",17439,918.116573379771,2033.94637523639,3487.81000774851
"75",17440,876.079823248517,1961.79700601481,3325.20879880012
"76",17441,834.677388318321,1887.91348153915,3161.81144638594
"77",17442,793.83415372103,1812.57549465397,2998.22037150385
"78",17443,753.131143789378,1736.08097630981,2834.93982357535
"79",17444,721.031905280046,1657.58056623356,2674.1896406178
"80",17445,691.120678533383,1579.16452213122,2518.78411402262
