Position;Date;Precipitation (mm);Rayonnement global (J/cm2);Temperature minimum (C);Temperature moyenne (C);Temperature maximum (C);Evapotranspiration potentielle (mm)
(55.3251,-20.9752,184);01/01/2017;9.0;1866;20.8;24.6;31.5;3.99
(55.3251,-20.9752,184);02/01/2017;0.5;1898;20.8;26.1;32.5;3.79
(55.3251,-20.9752,184);03/01/2017;0.0;2261;22.1;26.2;32.2;4.69
(55.3251,-20.9752,184);04/01/2017;2.0;1450;21.8;25.3;32.3;3.29
(55.3251,-20.9752,184);05/01/2017;0.5;1881;21.3;25.8;31.6;3.89
(55.3251,-20.9752,184);06/01/2017;0.0;2616;21.3;26.5;32.5;5.29
(55.3251,-20.9752,184);07/01/2017;1.0;1683;22.4;25.5;31.0;3.69
(55.3251,-20.9752,184);08/01/2017;0.0;1887;22.0;26.1;31.5;3.89
(55.3251,-20.9752,184);09/01/2017;3.0;1320;22.8;24.9;31.5;2.99
(55.3251,-20.9752,184);10/01/2017;4.5;2228;21.7;25.8;32.5;4.59
(55.3251,-20.9752,184);11/01/2017;6.5;1591;21.5;25.0;32.1;3.59
(55.3251,-20.9752,184);12/01/2017;6.0;1128;21.2;23.7;29.9;2.59
(55.3251,-20.9752,184);13/01/2017;12.0;1494;20.7;23.8;30.8;3.09
(55.3251,-20.9752,184);14/01/2017;0.0;2247;20.7;25.7;32.5;4.39
(55.3251,-20.9752,184);15/01/2017;0.0;1891;21.7;26.4;32.6;3.99
(55.3251,-20.9752,184);16/01/2017;0.0;1578;24.0;27.0;32.5;3.39
(55.3251,-20.9752,184);17/01/2017;3.5;1930;22.2;26.0;33.0;4.19
(55.3251,-20.9752,184);18/01/2017;0.0;2452;22.1;27.0;33.2;4.99
(55.3251,-20.9752,184);19/01/2017;13.5;1832;22.1;25.9;32.0;4.09
(55.3251,-20.9752,184);20/01/2017;6.5;1605;20.7;25.0;30.8;3.39
(55.3251,-20.9752,184);21/01/2017;0.0;2298;21.0;25.7;31.6;4.69
(55.3251,-20.9752,184);22/01/2017;1.0;1637;22.9;25.9;32.3;3.49
(55.3251,-20.9752,184);23/01/2017;0.0;2333;21.6;26.2;32.5;4.79
(55.3251,-20.9752,184);24/01/2017;6.0;1228;22.1;24.3;31.1;2.89
(55.3251,-20.9752,184);25/01/2017;2.0;2275;21.8;25.5;32.0;4.49
(55.3251,-20.9752,184);26/01/2017;0.0;1729;22.0;26.2;31.5;3.69
(55.3251,-20.9752,184);27/01/2017;0.0;1598;22.7;26.8;31.5;3.39
