"","Traitm","birth","death"
"1","ER",2017-06-19,NA
"2","EH",2017-06-28,2017-09-06
"3","EH",2017-06-28,NA
"4","EH",2017-06-29,2017-09-06
"5","ER",2017-07-04,2017-09-06
"6","EH",2017-07-05,2017-09-06
"7","EH",2017-07-06,NA
"8","EH",2017-07-08,2017-09-06
"9","PS",2017-07-10,2017-09-06
"10","EH",2017-07-13,2017-09-06
"11","PS",2017-07-13,2017-09-06
"12","EH",2017-07-15,NA
"13","EH",2017-07-15,2017-09-06
"14","PS",2017-07-15,2017-09-06
"15","PS",2017-07-19,2017-09-06
"16","ER",2017-07-19,2017-09-06
"17","EH",2017-07-19,2017-09-06
"18","EH",2017-07-19,2017-09-06
"19","EH",2017-07-19,NA
"20","EH",2017-07-19,NA
"21","EH",2017-07-19,2017-09-06
"22","EH",2017-07-19,2017-09-06
"23","EH",2017-07-19,NA
"24","EH",2017-07-20,2017-09-20
"25","EH",2017-07-21,2017-09-06
"26","EH",2017-07-21,2017-09-06
"27","EH",2017-07-22,2017-09-26
"28","EH",2017-07-23,2017-09-26
"29","EH",2017-07-23,2017-09-13
"30","ER",2017-07-24,2017-09-06
"31","ER",2017-07-24,2017-09-06
"32","ER",2017-07-25,2017-09-06
"33","EH",2017-07-25,2017-09-06
"34","PS",2017-07-26,2017-09-06
"35","ER",2017-07-26,2017-09-06
"36","ER",2017-07-26,2017-09-06
"37","PS",2017-07-27,2017-09-06
"38","EH",2017-07-27,2017-10-03
"39","ER",2017-07-28,2017-09-06
"40","ER",2017-07-28,2017-09-06
"41","EH",2017-07-28,2017-09-06
"42","EH",2017-07-28,NA
"43","ER",2017-07-29,2017-09-06
"44","EH",2017-07-29,2017-09-06
"45","ER",2017-07-30,2017-09-06
"46","EH",2017-07-30,2017-09-06
"47","EH",2017-07-30,2017-09-13
"48","EH",2017-07-30,2017-09-13
"49","EH",2017-07-30,2017-09-13
"50","EH",2017-07-31,2017-09-13
"51","EH",2017-07-31,2017-09-13
"52","EH",2017-07-31,2017-09-13
"53","EH",2017-08-01,2017-09-06
"54","PS",2017-08-02,NA
"55","PS",2017-08-02,2017-09-06
"56","ER",2017-08-02,2017-09-06
"57","ER",2017-08-02,2017-09-13
"58","ER",2017-08-02,2017-09-06
"59","ER",2017-08-02,2017-09-06
"60","EH",2017-08-02,2017-09-13
"61","EH",2017-08-02,2017-09-06
"62","EH",2017-08-02,2017-09-06
"63","EH",2017-08-02,2017-09-06
"64","EH",2017-08-02,2017-09-06
"65","EH",2017-08-02,2017-09-06
"66","EH",2017-08-02,2017-09-06
"67","EH",2017-08-02,2017-09-06
"68","EH",2017-08-02,2017-09-20
"69","EH",2017-08-02,2017-09-13
"70","EH",2017-08-02,2017-09-13
"71","EH",2017-08-02,NA
"72","PS",2017-08-03,2017-09-26
"73","EH",2017-08-03,2017-09-13
"74","PS",2017-08-04,2017-09-13
"75","PS",2017-08-04,2017-09-06
"76","PS",2017-08-04,2017-09-06
"77","ER",2017-08-04,2017-09-06
"78","ER",2017-08-04,2017-09-06
"79","ER",2017-08-04,2017-09-06
"80","EH",2017-08-04,NA
"81","EH",2017-08-04,2017-09-06
"82","PS",2017-08-05,2017-09-06
"83","PS",2017-08-06,2017-09-06
"84","PS",2017-08-06,2017-09-06
"85","PS",2017-08-07,2017-09-06
"86","PS",2017-08-07,2017-09-13
"87","PS",2017-08-07,NA
"88","ER",2017-08-07,2017-09-13
"89","ER",2017-08-07,2017-09-13
"90","ER",2017-08-07,2017-09-06
"91","EH",2017-08-07,2017-09-13
"92","EH",2017-08-07,2017-09-06
"93","EH",2017-08-07,2017-09-06
"94","EH",2017-08-07,2017-09-06
"95","EH",2017-08-07,2017-09-06
"96","EH",2017-08-07,2017-09-06
"97","EH",2017-08-07,2017-10-03
"98","EH",2017-08-07,2017-09-06
"99","EH",2017-08-07,NA
"100","PS",2017-08-08,2017-09-13
"101","ER",2017-08-08,2017-09-06
"102","EH",2017-08-09,2017-09-26
"103","ER",2017-08-10,2017-10-03
"104","ER",2017-08-10,2017-09-20
"105","EH",2017-08-10,2017-09-26
"106","PS",2017-08-11,2017-09-06
"107","ER",2017-08-11,2017-09-06
"108","ER",2017-08-12,2017-09-20
"109","PS",2017-08-18,2017-09-20
