"","date","inflos","deads","Sol"
"1",2017-07-19,4,0,"ER"
"2",2017-07-20,5,0,"ER"
"3",2017-07-21,6,0,"ER"
"4",2017-07-22,6,0,"ER"
"5",2017-07-23,8,0,"ER"
"6",2017-07-24,8,0,"ER"
"7",2017-07-25,9,0,"ER"
"8",2017-07-26,12,0,"ER"
"9",2017-07-27,12,0,"ER"
"10",2017-07-28,12,0,"ER"
"11",2017-07-29,13,0,"ER"
"12",2017-07-30,18,0,"ER"
"13",2017-07-31,18,0,"ER"
"14",2017-08-01,19,0,"ER"
"15",2017-08-02,20,0,"ER"
"16",2017-08-03,21,0,"ER"
"17",2017-08-04,21,0,"ER"
"18",2017-08-05,21,0,"ER"
"19",2017-08-06,21,0,"ER"
"20",2017-08-07,26,0,"ER"
"21",2017-08-08,26,0,"ER"
"22",2017-08-09,26,0,"ER"
"23",2017-08-10,26,0,"ER"
"24",2017-08-11,28,0,"ER"
"25",2017-08-12,29,0,"ER"
"26",2017-08-13,29,0,"ER"
"27",2017-08-14,29,0,"ER"
"28",2017-08-15,29,0,"ER"
"29",2017-08-16,30,0,"ER"
"30",2017-08-17,30,0,"ER"
"31",2017-08-18,31,0,"ER"
"32",2017-08-19,31,0,"ER"
"33",2017-08-20,32,0,"ER"
"34",2017-08-21,33,0,"ER"
"35",2017-08-22,35,0,"ER"
"36",2017-08-23,37,0,"ER"
"37",2017-08-24,40,0,"ER"
"38",2017-08-25,41,0,"ER"
"39",2017-08-26,43,0,"ER"
"40",2017-08-27,43,0,"ER"
"41",2017-08-28,44,0,"ER"
"42",2017-08-29,45,0,"ER"
"43",2017-08-30,45,0,"ER"
"44",2017-08-31,44,1,"ER"
"45",2017-09-01,44,0,"ER"
"46",2017-09-02,45,0,"ER"
"47",2017-09-03,47,0,"ER"
"48",2017-09-04,47,0,"ER"
"49",2017-09-05,48,0,"ER"
"50",2017-09-06,34,17,"ER"
"51",2017-09-07,34,0,"ER"
"52",2017-09-08,34,0,"ER"
"53",2017-09-09,36,0,"ER"
"54",2017-09-10,37,0,"ER"
"55",2017-09-11,37,0,"ER"
"56",2017-09-12,37,0,"ER"
"57",2017-09-13,25,13,"ER"
"58",2017-09-14,26,0,"ER"
"59",2017-09-15,26,0,"ER"
"60",2017-09-16,26,0,"ER"
"61",2017-09-17,26,0,"ER"
"62",2017-09-18,25,1,"ER"
"63",2017-09-19,25,0,"ER"
"64",2017-09-20,11,15,"ER"
"65",2017-09-21,11,0,"ER"
"66",2017-09-22,11,0,"ER"
"67",2017-09-23,11,0,"ER"
"68",2017-09-24,11,0,"ER"
"69",2017-09-25,11,0,"ER"
"70",2017-09-26,7,5,"ER"
"71",2017-09-27,8,0,"ER"
"72",2017-09-28,8,0,"ER"
"73",2017-09-29,8,0,"ER"
"74",2017-09-30,8,0,"ER"
"75",2017-10-01,8,0,"ER"
"76",2017-10-02,8,0,"ER"
"77",2017-10-03,4,4,"ER"
"78",2017-10-04,4,0,"ER"
"79",2017-10-05,4,0,"ER"
"80",2017-10-06,4,0,"ER"
"81",2017-07-19,1,0,"PS"
"82",2017-07-20,1,0,"PS"
"83",2017-07-21,1,0,"PS"
"84",2017-07-22,1,0,"PS"
"85",2017-07-23,1,0,"PS"
"86",2017-07-24,1,0,"PS"
"87",2017-07-25,1,0,"PS"
"88",2017-07-26,1,0,"PS"
"89",2017-07-27,1,0,"PS"
"90",2017-07-28,2,0,"PS"
"91",2017-07-29,3,0,"PS"
"92",2017-07-30,3,0,"PS"
"93",2017-07-31,3,0,"PS"
"94",2017-08-01,3,0,"PS"
"95",2017-08-02,3,0,"PS"
"96",2017-08-03,3,0,"PS"
"97",2017-08-04,3,0,"PS"
"98",2017-08-05,3,0,"PS"
"99",2017-08-06,3,0,"PS"
"100",2017-08-07,3,0,"PS"
"101",2017-08-08,3,0,"PS"
"102",2017-08-09,3,0,"PS"
"103",2017-08-10,3,0,"PS"
"104",2017-08-11,3,0,"PS"
"105",2017-08-12,3,0,"PS"
"106",2017-08-13,3,0,"PS"
"107",2017-08-14,3,0,"PS"
"108",2017-08-15,3,0,"PS"
"109",2017-08-16,3,0,"PS"
"110",2017-08-17,3,0,"PS"
"111",2017-08-18,3,0,"PS"
"112",2017-08-19,3,0,"PS"
"113",2017-08-20,3,0,"PS"
"114",2017-08-21,3,0,"PS"
"115",2017-08-22,3,0,"PS"
"116",2017-08-23,3,0,"PS"
"117",2017-08-24,3,0,"PS"
"118",2017-08-25,5,0,"PS"
"119",2017-08-26,5,0,"PS"
"120",2017-08-27,5,0,"PS"
"121",2017-08-28,5,0,"PS"
"122",2017-08-29,5,0,"PS"
"123",2017-08-30,5,0,"PS"
"124",2017-08-31,5,0,"PS"
"125",2017-09-01,5,0,"PS"
"126",2017-09-02,5,0,"PS"
"127",2017-09-03,5,0,"PS"
"128",2017-09-04,5,0,"PS"
"129",2017-09-05,5,0,"PS"
"130",2017-09-06,0,5,"PS"
"131",2017-09-07,0,0,"PS"
"132",2017-09-08,0,0,"PS"
"133",2017-09-09,0,0,"PS"
"134",2017-09-10,0,0,"PS"
"135",2017-09-11,0,0,"PS"
"136",2017-09-12,0,0,"PS"
"137",2017-09-13,0,0,"PS"
