bloc;trait;arbre;piege;date;nb.larves;nb.inflo.piege;nb.inflo;nb.inflo.morte;nb.larves.estima;nb.jours;larve;observations
1;bache;2;A;18/07/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;2;A;25/07/17;0;0;0;NA;NA;7;#DIV/0!;NA
1;bache;2;A;01/08/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;2;A;08/08/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;2;A;16/08/17;0;0;0;0;NA;8;#DIV/0!;NA
1;bache;2;A;18/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;B;18/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;A;23/08/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;B;23/08/17;0;0;0;0;NA;5;#DIV/0!;c_feuilles
1;bache;2;A;25/08/17;1;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;B;25/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;A;29/08/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;2;B;29/08/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;2;A;01/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;2;B;01/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;2;A;06/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;B;06/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;A;08/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;B;08/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;A;13/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;B;13/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;A;15/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;B;15/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;A;20/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;B;20/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;2;A;22/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;B;22/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;2;A;26/09/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;2;B;26/09/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;2;A;29/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;2;B;29/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;2;A;03/10/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;2;B;03/10/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;2;A;06/10/17;NA;0;0;0;NA;3;#VALUE!;NA
1;bache;2;B;06/10/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;4;A;18/07/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;4;A;25/07/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;4;A;01/08/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;4;A;08/08/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
1;bache;4;A;16/08/17;0;0;0;0;NA;8;#DIV/0!;NA
1;bache;4;A;18/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;4;B;18/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;4;A;23/08/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;4;B;23/08/17;0;0;0;0;NA;5;#DIV/0!;c_feuilles
1;bache;4;A;25/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;4;B;25/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;4;A;29/08/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;4;B;29/08/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;4;A;01/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;4;B;01/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;4;A;06/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;4;B;06/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;4;A;08/09/17;0;0;1;0;NA;2;#DIV/0!;deplace
1;bache;4;B;08/09/17;0;0;1;0;NA;2;#DIV/0!;NA
1;bache;4;A;13/09/17;0;0;1;0;NA;5;#DIV/0!;NA
1;bache;4;B;13/09/17;0;0;1;0;NA;5;#DIV/0!;NA
1;bache;4;A;15/09/17;0;0;1;0;NA;2;#DIV/0!;NA
1;bache;4;B;15/09/17;0;0;1;0;NA;2;#DIV/0!;NA
1;bache;4;A;20/09/17;4;1;2;0;8;5;0,8;NA
1;bache;4;B;20/09/17;0;0;2;0;NA;5;#DIV/0!;NA
1;bache;4;A;22/09/17;0;1;2;0;0;2;0;NA
1;bache;4;B;22/09/17;0;0;2;0;NA;2;#DIV/0!;NA
1;bache;4;A;26/09/17;0;1;2;0;0;4;0;NA
1;bache;4;B;26/09/17;0;0;2;0;NA;4;#DIV/0!;NA
1;bache;4;A;29/09/17;0;1;2;0;0;3;0;NA
1;bache;4;B;29/09/17;0;0;2;0;NA;3;#DIV/0!;NA
1;bache;4;A;03/10/17;0;1;1;1;0;4;0;NA
1;bache;4;B;03/10/17;0;0;1;1;NA;4;#DIV/0!;NA
1;bache;4;A;06/10/17;0;0;1;1;NA;3;#DIV/0!;NA
1;bache;4;B;06/10/17;0;0;1;1;NA;3;#DIV/0!;NA
1;bache;5;A;18/07/17;0;0;0;NA;NA;7;#DIV/0!;NA
1;bache;5;A;25/07/17;0;0;0;NA;NA;7;#DIV/0!;NA
1;bache;5;A;01/08/17;0;0;0;NA;NA;7;#DIV/0!;NA
1;bache;5;A;08/08/17;0;0;0;NA;NA;7;#DIV/0!;NA
1;bache;5;A;16/08/17;0;0;0;0;NA;8;#DIV/0!;NA
1;bache;5;A;18/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;B;18/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;A;23/08/17;0;0;0;0;NA;5;#DIV/0!;renverse
1;bache;5;B;23/08/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;A;25/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;B;25/08/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;A;29/08/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;5;B;29/08/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;5;A;01/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;5;B;01/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;5;A;06/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;B;06/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;A;08/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;B;08/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;A;13/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;B;13/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;A;15/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;B;15/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;A;20/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;B;20/09/17;0;0;0;0;NA;5;#DIV/0!;NA
1;bache;5;A;22/09/17;1;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;B;22/09/17;0;0;0;0;NA;2;#DIV/0!;NA
1;bache;5;A;26/09/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;5;B;26/09/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;5;A;29/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;5;B;29/09/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;5;A;03/10/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;5;B;03/10/17;0;0;0;0;NA;4;#DIV/0!;NA
1;bache;5;A;06/10/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;5;B;06/10/17;0;0;0;0;NA;3;#DIV/0!;NA
1;bache;6;A;18/07/17;0;0;0;NA;NA;7;#DIV/0!;c_feuilles
