Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
18/07/2011	B1	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/07/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/07/2011	B2	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/07/2011	A2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/07/2011	B3	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/07/2011	A3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21/07/2011	B1	114	NA	NA	NA	NA	50	50	NA	NA	NA	70	NA
21/07/2011	A1	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA
21/07/2011	B2	49	NA	NA	NA	NA	50	50	NA	NA	NA	150	NA
21/07/2011	A2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21/07/2011	B3	176	NA	NA	NA	NA	50	50	NA	NA	NA	70	NA
21/07/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/07/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/07/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/07/2011	B2	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/07/2011	A2	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/07/2011	B3	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/07/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/07/2011	B1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/07/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/07/2011	B2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/07/2011	A2	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/07/2011	B3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28/07/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/08/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/08/2011	A2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/08/2011	B3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/08/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/08/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/08/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/08/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/08/2011	A2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04/08/2011	B2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/08/2011	B1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/08/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/08/2011	A2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/08/2011	B2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11/08/2011	B1	0	NA	NA	NA	NA	NA	2	NA	NA	NA	100	NA
11/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA
11/08/2011	A2	0	NA	NA	50	NA	NA	NA	NA	NA	NA	20	NA
11/08/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	150	NA
11/08/2011	A1	0	NA	NA	80	NA	NA	NA	NA	NA	NA	NA	NA
18/08/2011	B1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/08/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/08/2011	A2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18/08/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/08/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/08/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/08/2011	A2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/08/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/08/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/08/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/08/2011	A2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25/08/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29/08/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29/08/2011	A1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29/08/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29/08/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29/08/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29/08/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/09/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/09/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/09/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/09/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/09/2011	B2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/09/2011	A1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/09/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/09/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/09/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/09/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/09/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/09/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/09/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/09/2011	A2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
08/09/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/09/2011	A1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/09/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/09/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/09/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/09/2011	B2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15/09/2011	B1	0	NA	NA	NA	65	65	NA	NA	NA	NA	NA	NA
15/09/2011	A1	0	NA	NA	NA	NA	100	100	NA	NA	NA	NA	NA
15/09/2011	A3	1	NA	NA	NA	75	75	NA	NA	NA	NA	NA	NA
15/09/2011	B3	0	NA	NA	NA	100	100	NA	NA	NA	NA	NA	NA
15/09/2011	A2	0	NA	NA	NA	NA	100	100	NA	NA	NA	NA	NA
15/09/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/09/2011	A1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
