boite	arbre	datprelev	nbremp	nblarv	typeUC	par	var	datent	temp	toteme	totlarviv	totlarsec	paras	cond
D07MELL2	Mix7	15/06/2011	1	200	Repro	SaintGilles	José	15/06/2011	20	176	5	0	0	L
D07MELL5	1arb	16/06/2011	1	197	Repro	SaintGilles	José	16/06/2011	20	162	10	0	1	L
D08JLY20L3	JLY20	20/07/2011	1	250	Repro	SaintGilles	José	20/07/2011	20	215	17	0	0	L
D08JLY20L4	JLY20	20/07/2011	1	250	Repro	SaintGilles	José	20/07/2011	20	205	14	0	0	L
D08JLY20L9	JLY20	21/07/2011	1	200	Repro	SaintGilles	José	21/07/2011	99	189	NA	NA	NA	N
D08JLY21L1	JLY21	20/07/2011	1	200	Repro	SaintGilles	José	20/07/2011	20	186	1	1	0	Ls
D08JLY21L2	JLY21	20/07/2011	1	200	Repro	SaintGilles	José	20/07/2011	20	184	1	3	0	Ls
D08JLY21L3	JLY21	20/07/2011	1	200	Repro	SaintGilles	José	20/07/2011	20	182	3	1	0	L
D08JLY21L4	JLY21	20/07/2011	1	200	Repro	SaintGilles	José	20/07/2011	20	156	5	0	0	L
D08JLY21L5	JLY21	21/07/2011	1	200	Repro	SaintGilles	José	21/07/2011	99	171	3	3	0	N
D08JLY21L6	JLY21	21/07/2011	1	200	Repro	SaintGilles	José	21/07/2011	20	182	2	0	0	Ls
D08JLY21L7	JLY21	21/07/2011	1	200	Repro	SaintGilles	José	21/07/2011	20	167	5	2	0	L
D08JLY22L1	JLY22	20/07/2011	1	200	Repro	SaintGilles	José	20/07/2011	20	171	5	0	0	L
D08JLY22L2	JLY22	21/07/2011	1	200	Repro	SaintGilles	José	21/07/2011	99	166	NA	NA	NA	N
D09E20L1	E20	19/08/2011	1	100	Repro	SaintGilles	Cogshall	19/08/2011	20	81	11	3	0	L
D09E23L1	E23	19/08/2011	1	100	Repro	SaintGilles	Cogshall	19/08/2011	20	81	11	0	0	L
D09E25L1	E25	19/08/2011	1	100	Repro	SaintGilles	Cogshall	19/08/2011	20	NA	4	0	0	P
D09E26L1	E26	19/08/2011	1	100	Repro	SaintGilles	Cogshall	19/08/2011	20	74	12	1	4	L
D09E28L1	E28	19/08/2011	1	100	Repro	SaintGilles	Cogshall	19/08/2011	20	75	13	2	3	L
D10LYCD3L1	D3	14/09/2011	1	100	Repro	SaintGilles	Cogshall	14/09/2011	20	82	1	0	0	L
D10LYCD3L2	D3	14/09/2011	1	100	Repro	SaintGilles	Cogshall	14/09/2011	20	91	2	0	0	L
D10LYCD4L1	D4	14/09/2011	1	100	Repro	SaintGilles	Cogshall	14/09/2011	20	72	6	0	2	L
D10LYCD4L2	D4	14/09/2011	1	100	Repro	SaintGilles	Cogshall	14/09/2011	20	89	2	0	0	L
D10LYCE2L1	E2	14/09/2011	1	100	Repro	SaintGilles	Cogshall	14/09/2011	20	86	NA	NA	1	R
D10V3L1	V3	09/09/2011	1	100	Repro	SaintGilles	Cogshall	14/09/2011	20	NA	7	0	13	N
