boite	arbre	datprelev	nbremp	nblarv	typeUC	inflo	par	var	datent	temp	dateme	nbademe	paras	nbjr
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	25/08/10	49	0	7
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	26/08/10	26	0	8
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	27/08/10	94	0	9
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	28/08/10	4	0	10
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	29/08/10	1	0	11
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	31/08/10	1	0	13
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	08/09/10	1	0	21
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	15/09/10	1	0	28
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	22/09/10	0	0	35
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	29/09/10	0	1	42
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	06/10/10	0	0	49
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	13/10/10	0	0	56
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	21/10/10	0	1	64
D1B1L1	B1	18/08/10	2	207	Repro	F	CPEA	Cogshall	18/08/10	20	14/12/10	0	1	118
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	01/09/10	90	0	8
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	02/09/10	4	0	9
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	03/09/10	8	0	10
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	08/09/10	1	0	15
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	15/09/10	0	0	22
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	22/09/10	6	0	29
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	29/09/10	0	2	36
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	06/10/10	0	0	43
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	13/10/10	0	0	50
D1B1L2	B1	24/08/10	1	158	Repro	F	CPEA	Cogshall	24/08/10	20	21/10/10	12	0	58
D1P5L1	P5	24/08/10	1	220	Repro	F	CPEA	Cogshall	24/08/10	20	31/08/10	1	0	7
D1P5L1	P5	24/08/10	1	220	Repro	F	CPEA	Cogshall	24/08/10	20	01/09/10	122	0	8
D1P5L1	P5	24/08/10	1	220	Repro	F	CPEA	Cogshall	24/08/10	20	02/09/10	5	0	9
