piege;date;nb_larves;B;C;D;E;F;G
Piège 1;02/07/18;94;0;0;2;0;3;0
Piège 2;02/07/18;18;0;0;0;0;3;0
Piège 3;02/07/18;21;0;0;0;0;2;0
Piège 4;02/07/18;13;0;0;1;0;2;0
Piège 5;02/07/18;22;1;0;2;0;0;0
Piège 6;02/07/18;9;0;0;1;0;1;0
Piège 7;02/07/18;14;0;0;3;0;0;0
Piège 8;02/07/18;55;1;0;4;1;0;0
Piège 1;05/07/18;6;0;0;2;0;3;0
Piège 2;05/07/18;3;;;;;3;
Piège 3;05/07/18;5;;;;;2;
Piège 4;05/07/18;2;;;1;;2;
Piège 5;05/07/18;2;1;;3;;;
Piège 6;05/07/18;2;;;1;;1;
Piège 7;05/07/18;2;;;3;;;
Piège 8;05/07/18;5;;;4;1;;
Piège 1;09/07/18;2;;;1;;;3
Piège 2;09/07/18;3;;;;;2;1
Piège 3;09/07/18;0;;;;;1;1
Piège 4;09/07/18;2;;;1;;;2
Piège 5;09/07/18;15;;;3;;;
Piège 6;09/07/18;7;;;1;;;1
Piège 7;09/07/18;4;;;2;;;
Piège 8;09/07/18;0;;;3;1;;
Piège 1;12/07/18;0;;;1;;;3
Piège 2;12/07/18;0;;;;;;3
Piège 3;12/07/18;1;;;;;;2
Piège 4;12/07/18;4;;;1;;;2
Piège 5;12/07/18;1;;;3;;;
Piège 6;12/07/18;2;;;1;;;1
Piège 7;12/07/18;0;;;2;;;
Piège 8;12/07/18;0;;;1;1;2;
Piège 1;16/07/18;0;;;1;;;3
Piège 2;16/07/18;13;;;;;;3
Piège 3;16/07/18;6;;;;;;2
Piège 4;16/07/18;3;;;1;;;2
Piège 5;16/07/18;4;;;2;1;;
Piège 6;16/07/18;7;;;1;;;1
Piège 7;16/07/18;1;;;2;;;
Piège 8;16/07/18;0;;;1;1;2;
Piège 1;19/07/18;0;;;1;;;3
Piège 2;19/07/18;2;;;;1;;2
Piège 3;19/07/18;1;;;;;;2
Piège 4;19/07/18;4;;;1;;;2
Piège 5;19/07/18;3;;;1;2;;
Piège 6;19/07/18;0;;;1;;;1
Piège 7;19/07/18;0;;;1;;;
Piège 8;19/07/18;1;;;2;;1;1
Piège 1;23/07/18;2;;;;;;3
Piège 2;23/07/18;52;;;;;;3
Piège 3;23/07/18;36;;;;;;2
Piège 4;23/07/18;3;;;;;;2
Piège 5;23/07/18;14;;;1;1;1;
Piège 6;23/07/18;0;;;1;;;1
Piège 7;23/07/18;1;;;1;;;
Piège 8;23/07/18;0;;;1;;1;1
Piège 1;26/07/18;0;;;;;;3
Piège 2;26/07/18;5;;;;;;3
Piège 3;26/07/18;5;;;;;;2
Piège 4;26/07/18;0;;;;;;2
Piège 5;26/07/18;0;;;1;1;1;
Piège 6;26/07/18;0;;;1;;;1
Piège 7;26/07/18;0;;;1;;;
Piège 8;26/07/18;0;;;1;;1;1
