date;larves;inflos_vivantes;inflos_mortes;larves_inflos;Bloc;Sol
2017-07-18;   0,000000;  45,00;NA;0,00000000;Bloc 1;bache
2017-07-25;  25,714286;  90,00;NA;0,28571429;Bloc 1;bache
2017-08-01;  33,333333; 100,00;NA;0,33333333;Bloc 1;bache
2017-08-08;   0,000000; 150,00;NA;0,00000000;Bloc 1;bache
2017-08-16; 142,500000; 120,00; 35;1,18750000;Bloc 1;bache
2017-08-18;  82,777778; 115,00; 16;0,71980676;Bloc 1;bache
2017-08-23; 173,866667; 138,00; 22;1,25990338;Bloc 1;bache
2017-08-25;  73,121212; 127,00; 58;0,57575758;Bloc 1;bache
2017-08-29;  83,500000;  71,00; 73;1,17605634;Bloc 1;bache
2017-09-01; 118,466667; 137,00; 24;0,86472019;Bloc 1;bache
2017-09-06; 385,778750; 240,00; 22;1,60741146;Bloc 1;bache
2017-09-08; 219,950000; 466,00; 29;0,47199571;Bloc 1;bache
2017-09-13; 490,900000; 580,00; 44;0,84637931;Bloc 1;bache
2017-09-15; 611,466667; 536,00; 44;1,14079602;Bloc 1;bache
2017-09-20;1670,990909; 628,00; 91;2,66081355;Bloc 1;bache
2017-09-22; 215,960784; 360,00; 37;0,59989107;Bloc 1;bache
2017-09-26; 297,891775; 652,00; 55;0,45688923;Bloc 1;bache
2017-09-29;  11,833333; 420,00; 81;0,02817460;Bloc 1;bache
2017-10-03;  50,333333; 437,00;123;0,11517925;Bloc 1;bache
2017-10-06;   0,000000; 200,00;217;0,00000000;Bloc 1;bache
2017-07-18;  15,600000;  51,00;NA;0,30588235;Bloc 1;enh.ras
2017-07-25;  29,714286; 194,00;NA;0,15316642;Bloc 1;enh.ras
2017-08-01;  90,333333; 221,00;NA;0,40874811;Bloc 1;enh.ras
2017-08-08; 305,613636; 352,00;NA;0,86822056;Bloc 1;enh.ras
2017-08-16;1496,988095; 519,00; 41;2,88437013;Bloc 1;enh.ras
2017-08-18; 571,635965; 535,00; 50;1,06847844;Bloc 1;enh.ras
2017-08-23;1196,166667; 378,00; 57;3,16446208;Bloc 1;enh.ras
2017-08-25; 247,535714; 343,00; 89;0,72167847;Bloc 1;enh.ras
2017-08-29; 201,758730; 385,00;204;0,52404865;Bloc 1;enh.ras
2017-09-01;  99,130159; 286,00;188;0,34660895;Bloc 1;enh.ras
2017-09-06;1389,821429; 229,00;221;6,06908921;Bloc 1;enh.ras
2017-09-08; 333,772222; 248,00;216;1,34585573;Bloc 1;enh.ras
2017-09-13; 868,504762; 313,00;198;2,77477560;Bloc 1;enh.ras
2017-09-15; 539,523485; 322,00;125;1,67553877;Bloc 1;enh.ras
2017-09-20;2646,928571; 307,00;163;8,62191717;Bloc 1;enh.ras
2017-09-22; 458,466667; 186,00;254;2,46487455;Bloc 1;enh.ras
2017-09-26; 412,523810; 281,00;187;1,46805626;Bloc 1;enh.ras
2017-09-29;  23,000000; 209,00;252;0,11004785;Bloc 1;enh.ras
2017-10-03;  23,333333; 156,00;203;0,14957265;Bloc 1;enh.ras
2017-10-06;   7,200000;  51,00;283;0,14117647;Bloc 1;enh.ras
2017-07-18;  28,800000;  24,00;NA;1,20000000;Bloc 1;enh.haut
2017-07-25;  63,636364;  70,00;NA;0,90909091;Bloc 1;enh.haut
2017-08-01;  90,666667; 100,00;NA;0,90666667;Bloc 1;enh.haut
2017-08-08;  82,538462; 135,00;NA;0,61139601;Bloc 1;enh.haut
2017-08-16; 126,958333; 187,00; 46;0,67892157;Bloc 1;enh.haut
2017-08-18;  47,125000; 177,00; 31;0,26624294;Bloc 1;enh.haut
2017-08-23; 105,966667; 168,00; 43;0,63075397;Bloc 1;enh.haut
2017-08-25; 109,810256; 153,00; 89;0,71771409;Bloc 1;enh.haut
2017-08-29; 392,090476; 323,00;110;1,21390240;Bloc 1;enh.haut
2017-09-01; 124,844322; 472,00;102;0,26450068;Bloc 1;enh.haut
2017-09-06; 905,875000; 587,00; 25;1,54322828;Bloc 1;enh.haut
2017-09-08; 877,153030; 784,00; 43;1,11881764;Bloc 1;enh.haut
2017-09-13;1055,458333;1017,00; 92;1,03781547;Bloc 1;enh.haut
2017-09-15; 544,652381; 885,00; 68;0,61542642;Bloc 1;enh.haut
2017-09-20;2492,345635; 905,00;112;2,75397308;Bloc 1;enh.haut
2017-09-22; 802,117460; 751,00; 48;1,06806586;Bloc 1;enh.haut
2017-09-26;1175,024176; 858,00; 68;1,36949205;Bloc 1;enh.haut
2017-09-29; 120,944444; 604,00; 81;0,20023915;Bloc 1;enh.haut
2017-10-03;  11,333333; 419,00;227;0,02704853;Bloc 1;enh.haut
2017-10-06;   0,000000; 265,55;NA;0,00000000;Bloc 1;enh.haut
2017-07-18;  34,285714;  71,00;NA;0,48289738;Bloc 2;bache
