"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos";"Bloc";"Sol"
"1";2017-07-18;28,8;24;NA;1,2;"Bloc 1";"enh.haut"
"2";2017-07-25;63,6363636363636;70;NA;0,909090909090909;"Bloc 1";"enh.haut"
"3";2017-08-01;90,6666666666667;100;NA;0,906666666666667;"Bloc 1";"enh.haut"
"4";2017-08-08;82,5384615384615;135;NA;0,611396011396011;"Bloc 1";"enh.haut"
"5";2017-08-16;126,958333333333;187;46;0,678921568627451;"Bloc 1";"enh.haut"
"6";2017-08-18;47,125;177;31;0,266242937853107;"Bloc 1";"enh.haut"
"7";2017-08-23;105,966666666667;168;43;0,630753968253968;"Bloc 1";"enh.haut"
"8";2017-08-25;109,810256410256;153;89;0,717714094184682;"Bloc 1";"enh.haut"
"9";2017-08-29;392,090476190476;323;110;1,21390240306649;"Bloc 1";"enh.haut"
"10";2017-09-01;124,844322344322;472;102;0,264500682932886;"Bloc 1";"enh.haut"
"11";2017-09-06;905,875;587;25;1,54322827938671;"Bloc 1";"enh.haut"
"12";2017-09-08;877,15303030303;784;43;1,11881764069264;"Bloc 1";"enh.haut"
"13";2017-09-13;1055,45833333333;1017;92;1,03781547033759;"Bloc 1";"enh.haut"
"14";2017-09-15;544,652380952381;885;68;0,615426419155233;"Bloc 1";"enh.haut"
"15";2017-09-20;2492,34563492063;905;112;2,75397307726037;"Bloc 1";"enh.haut"
"16";2017-09-22;802,11746031746;751;48;1,06806585927758;"Bloc 1";"enh.haut"
"17";2017-09-26;1175,02417582418;858;68;1,36949204641512;"Bloc 1";"enh.haut"
"18";2017-09-29;120,944444444444;604;81;0,200239146431199;"Bloc 1";"enh.haut"
"19";2017-10-03;11,3333333333333;419;227;0,0270485282418457;"Bloc 1";"enh.haut"
"20";2017-10-06;0;265,55;NA;0;"Bloc 1";"enh.haut"
