,date,larves,inflos_vivantes,inflos_mortes,larves_inflos
1,7/18/2017,11,250,0,"0,043428571428572"
2,7/19/2017,86,350,0,"0,245714285714286"
3,7/20/2017,96,450,0,"0,213333333333333"
4,7/21/2017,106,550,0,"0,192727272727273"
5,7/22/2017,116,651,0,"0,178187403993856"
6,7/23/2017,126,751,0,"0,167776298268975"
7,7/24/2017,136,851,0,"0,159811985898942"
8,7/25/2017,146,951,0,"0,153522607781283"
9,7/26/2017,188,969,0,"0,194014447884417"
10,7/27/2017,231,987,0,"0,234042553191489"
11,7/28/2017,273,1005,0,"0,271641791044776"
12,7/29/2017,316,1024,0,"0,30859375"
13,7/30/2017,358,1042,0,"0,343570057581574"
14,7/31/2017,401,1060,0,"0,378301886792453"
15,8/1/2017,443,1078,0,"0,410946196660482"
16,8/2/2017,594,1170,0,"0,507692307692308"
17,8/3/2017,744,1261,0,"0,590007930214116"
18,8/4/2017,895,1353,0,"0,661492978566149"
19,8/5/2017,1046,1445,0,"0,723875432525952"
20,8/6/2017,1197,1537,0,"0,77878985035784"
21,8/7/2017,1347,1628,0,"0,827395577395577"
22,8/8/2017,1498,1720,0,"0,870930232558139"
23,8/9/2017,2228,1821,25,"1,22350356946733"
24,8/10/2017,2957,1922,50,"1,53850156087409"
25,8/11/2017,3687,2023,75,"1,82254078101829"
26,8/12/2017,4416,2124,100,"2,07909604519774"
27,8/13/2017,5146,2225,126,"2,31280898876404"
28,8/14/2017,5876,2326,151,"2,5262252794497"
29,8/15/2017,6605,2427,176,"2,72146683147919"
30,8/16/2017,7335,2528,201,"2,90150316455696"
31,8/17/2017,5068,2575,223,"1,96815533980583"
32,8/18/2017,2801,2622,245,"1,06826849733028"
33,8/19/2017,3413,2468,252,"1,38290113452188"
34,8/20/2017,4025,2314,259,"1,73941227312014"
35,8/21/2017,4637,2160,265,"2,14675925925926"
36,8/22/2017,5249,2006,272,"2,61665004985045"
37,8/23/2017,5861,1852,279,"3,164686825054"
38,8/24/2017,3537,1766,358,"2,00283125707814"
39,8/25/2017,1213,1681,436,"0,721594289113623"
40,8/26/2017,1157,1732,577,"0,668013856812933"
41,8/27/2017,1101,1784,718,"0,617152466367713"
42,8/28/2017,1045,1836,859,"0,56917211328976"
43,8/29/2017,989,1887,1000,"0,524112347641759"
44,8/30/2017,821,1725,974,"0,475942028985507"
45,8/31/2017,654,1563,947,"0,418426103646833"
46,9/1/2017,486,1401,921,"0,346895074946467"
47,9/2/2017,1751,1345,953,"1,30185873605948"
48,9/3/2017,3016,1289,986,"2,33979829325058"
49,9/4/2017,4280,1234,1018,"3,46839546191248"
50,9/5/2017,5545,1178,1051,"4,70713073005093"
51,9/6/2017,6810,1122,1083,"6,06951871657754"
52,9/7/2017,4222,1168,1070,"3,61472602739726"
53,9/8/2017,1635,1215,1058,"1,34567901234568"
54,9/9/2017,2159,1279,1040,"1,68803752931978"
55,9/10/2017,2683,1343,1023,"1,99776619508563"
56,9/11/2017,3208,1406,1005,"2,28165007112376"
57,9/12/2017,3732,1470,988,"2,53877551020408"
58,9/13/2017,4256,1534,970,"2,77444589308996"
59,9/14/2017,3523,1548,791,"2,27583979328165"
60,9/15/2017,2790,1563,612,"1,78502879078695"
61,9/16/2017,4826,1551,649,"3,11154094132818"
62,9/17/2017,6862,1539,687,"4,45873944119558"
63,9/18/2017,8898,1528,724,"5,82329842931937"
64,9/19/2017,10934,1516,762,"7,21240105540897"
65,9/20/2017,12970,1504,799,"8,62367021276596"
66,9/21/2017,7608,1208,1022,"6,29801324503311"
67,9/22/2017,2246,911,1245,"2,46542261251372"
68,9/23/2017,2190,1028,1163,"2,13035019455253"
69,9/24/2017,2134,1144,1080,"1,86538461538462"
70,9/25/2017,2077,1260,998,"1,6484126984127"
71,9/26/2017,2021,1377,916,"1,46768336964415"
72,9/27/2017,1385,1259,1022,"1,10007942811755"
73,9/28/2017,749,1142,1129,"0,655866900175131"
74,9/29/2017,113,1024,1235,"0,1103515625"
75,9/30/2017,113,959,1175,"0,117831074035454"
76,10/1/2017,114,894,1115,"0,12751677852349"
77,10/2/2017,114,829,1055,"0,13751507840772"
78,10/3/2017,114,764,995,"0,149214659685864"
79,10/4/2017,88,593,1126,"0,148397976391231"
80,10/5/2017,61,421,1256,"0,144893111638955"
81,10/6/2017,35,250,1387,"0,14"
