"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;226,44;612;NA;0,37
"2";2017-07-25;607,231168831169;1805,4;NA;0,336341624477218
"3";2017-08-01;1093,1;2147,1;NA;0,50910530482977
"4";2017-08-08;1979,5756993007;3248,7;NA;0,609343952750546
"5";2017-08-16;9008,87678571428;4212,6;622,2;2,13855499827049
"6";2017-08-18;3577,8475877193;4217,7;494,7;0,848293521995234
"7";2017-08-23;7527,6;3488,4;622,2;2,15789473684211
"8";2017-08-25;2195,38263236763;3177,3;1203,6;0,69095855989917
"9";2017-08-29;3454,48095238095;3972,9;1973,7;0,869511176314771
"10";2017-09-01;1746,44985347985;4564,5;1601,4;0,382615807532009
"11";2017-09-06;13675,5234107143;5385,6;1366,8;2,53927573728355
"12";2017-09-08;7297,46378787879;7639,8;1468,8;0,955190422246497
"13";2017-09-13;12315,8017857143;9741;1703,4;1,26432622787335
"14";2017-09-15;8647,77691558441;8889,3;1208,7;0,972829909619927
"15";2017-09-20;34732,3520887446;9384;1866,6;3,70123104100006
"16";2017-09-22;7530,37904761905;6614,7;1728,9;1,13843092621269
"17";2017-09-26;9615,74277722278;9134,1;1581;1,05273018438848
"18";2017-09-29;794,466666666667;6288,3;2111,4;0,126340452374516
"19";2017-10-03;433,5;5161,2;2820,3;0,0839920948616601
"20";2017-10-06;36,72;2634,405;NA;0,0139386313038428
