days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-06-19;  1;  0; 1;  1; 1; 0;  0;  0
2018-06-20;  1;  0; 0;  1; 1; 0;  0;  0
2018-06-21;  1;  0; 0;  1; 1; 0;  0;  0
2018-06-22;  1;  0; 0;  1; 1; 0;  0;  0
2018-06-23;  1;  0; 0;  1; 1; 0;  0;  0
2018-06-24;  1;  0; 0;  1; 1; 0;  0;  0
2018-06-25;  1;  0; 0;  1; 1; 0;  0;  0
2018-06-26;  1;  0; 0;  1; 0; 1;  0;  0
2018-06-27;  1;  0; 0;  1; 0; 1;  0;  0
2018-06-28;  3;  0; 2;  3; 2; 1;  0;  0
2018-06-29;  4;  0; 1;  4; 3; 1;  0;  0
2018-06-30;  4;  0; 0;  4; 3; 1;  0;  0
2018-07-01;  4;  0; 0;  4; 3; 1;  0;  0
2018-07-02;  4;  0; 0;  4; 3; 1;  0;  0
2018-07-03;  4;  0; 0;  4; 3; 1;  0;  0
2018-07-04;  5;  0; 1;  5; 4; 1;  0;  0
2018-07-05;  6;  0; 1;  6; 3; 2;  1;  0
2018-07-06;  7;  0; 1;  7; 3; 3;  1;  0
2018-07-07;  7;  0; 0;  7; 3; 3;  1;  0
2018-07-08;  8;  0; 1;  8; 4; 3;  1;  0
2018-07-09;  8;  0; 0;  8; 4; 3;  1;  0
2018-07-10;  9;  0; 1;  9; 5; 3;  1;  0
2018-07-11;  9;  0; 0;  9; 4; 4;  1;  0
2018-07-12;  9;  0; 0;  9; 3; 5;  1;  0
2018-07-13; 11;  0; 2; 11; 4; 6;  1;  0
2018-07-14; 11;  0; 0; 11; 4; 4;  3;  0
2018-07-15; 14;  0; 3; 14; 6; 4;  4;  0
2018-07-16; 14;  0; 0; 14; 6; 4;  4;  0
2018-07-17; 14;  0; 0; 14; 5; 5;  4;  0
2018-07-18; 14;  0; 0; 14; 5; 5;  4;  0
2018-07-19; 23;  0; 9; 23;14; 5;  4;  0
2018-07-20; 24;  0; 1; 24;13; 6;  5;  0
2018-07-21; 26;  0; 2; 26;15; 5;  6;  0
2018-07-22; 27;  0; 1; 27;13; 7;  7;  0
2018-07-23; 29;  0; 2; 29;15; 7;  7;  0
2018-07-24; 31;  0; 2; 31;17; 6;  8;  0
2018-07-25; 33;  0; 2; 33;19; 6;  8;  0
2018-07-26; 36;  0; 3; 36;13;14;  9;  0
2018-07-27; 38;  0; 2; 38;14;15;  9;  0
2018-07-28; 42;  0; 4; 42;16;17;  9;  0
2018-07-29; 44;  0; 2; 44;17;16; 11;  0
2018-07-30; 49;  0; 5; 49;20;18; 11;  0
2018-07-31; 52;  0; 3; 52;21;17; 14;  0
2018-08-01; 53;  0; 1; 53;20;19; 14;  0
2018-08-02; 71;  0;18; 71;35;22; 14;  0
2018-08-03; 73;  0; 2; 73;35;24; 14;  0
2018-08-04; 81;  0; 8; 81;39;19; 23;  0
2018-08-05; 82;  0; 1; 82;38;20; 24;  0
2018-08-06; 84;  0; 2; 84;35;23; 26;  0
2018-08-07; 99;  0;15; 99;47;25; 27;  0
2018-08-08;101;  0; 2;100;48;24; 28;  1
2018-08-09;102;  0; 1;101;31;40; 30;  1
2018-08-10;105;  0; 3;104;32;40; 32;  1
2018-08-11;107;  0; 2;106;26;45; 35;  1
2018-08-12;108;  0; 1;107;26;44; 37;  1
2018-08-13;108;  0; 0;107;24;42; 41;  1
2018-08-14;108;  0; 0;107; 9;55; 43;  1
2018-08-15;108;  0; 0;107; 7;52; 48;  1
2018-08-16;108;  0; 0;107; 6;50; 51;  1
2018-08-17;108;  0; 0;105; 3;52; 50;  3
2018-08-18;116;  0; 8;112; 9;36; 67;  4
2018-08-19;118;  0; 2;114;10;35; 69;  4
2018-08-20;120;  0; 2;116;12;27; 77;  4
2018-08-21;123;  0; 3;119;15;26; 78;  4
2018-08-22;125;  0; 2;121;17;24; 80;  4
2018-08-23;129;  0; 4;124;21; 9; 94;  5
2018-08-24;131;  0; 2;125;23; 7; 95;  6
2018-08-25;132;  0; 1;125;16;14; 95;  7
2018-08-26;137;  0; 5;130;19;13; 98;  7
2018-08-27;138;  0; 1;130;18;13; 99;  8
