"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;0;45;NA;0
"2";2017-07-25;25,7142857142857;90;NA;0,285714285714286
"3";2017-08-01;33,3333333333333;100;NA;0,333333333333333
"4";2017-08-08;0;150;NA;0
"5";2017-08-16;142,5;120;35;1,1875
"6";2017-08-18;82,7777777777778;115;16;0,719806763285024
"7";2017-08-23;173,866666666667;138;22;1,25990338164251
"8";2017-08-25;73,1212121212121;127;58;0,575757575757576
"9";2017-08-29;83,5;71;73;1,17605633802817
"10";2017-09-01;118,466666666667;137;24;0,864720194647202
"11";2017-09-06;385,77875;240;22;1,60741145833333
"12";2017-09-08;219,95;466;29;0,471995708154506
"13";2017-09-13;490,9;580;44;0,846379310344827
"14";2017-09-15;611,466666666667;536;44;1,1407960199005
"15";2017-09-20;1670,99090909091;628;91;2,66081354950782
"16";2017-09-22;215,960784313725;360;37;0,599891067538126
"17";2017-09-26;297,891774891775;652;55;0,456889225294133
"18";2017-09-29;11,8333333333333;420;81;0,0281746031746032
"19";2017-10-03;50,3333333333333;437;123;0,115179252479024
"20";2017-10-06;0;200;217;0
