"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;36,2;97;NA;0,37319587628866
"2";2017-07-25;84,5;136;NA;0,621323529411765
"3";2017-08-01;213,75;143;NA;1,49475524475524
"4";2017-08-08;413,571428571429;214;NA;1,93257676902537
"5";2017-08-16;255,557692307692;229;NA;1,11597245549211
"6";2017-08-18;678,681818181818;378;93;1,79545454545455
"7";2017-08-23;966,539285714286;437;65;2,21176037920889
"8";2017-08-25;760,349206349206;345;34;2,20391074304118
"9";2017-08-29;550,542424242424;328;69;1,6784830007391
"10";2017-09-01;176,635714285714;273;78;0,64701726844584
"11";2017-09-06;124,857142857143;198;58;0,630591630591631
"12";2017-09-08;96,25;94;46;1,02393617021277
"13";2017-09-13;8;26;70;0,307692307692308
"14";2017-09-15;0;19;75;0
"15";2017-09-20;0;12;133;0
"16";2017-09-22;6;22;76;0,272727272727273
"17";2017-09-26;6,5;24;87;0,270833333333333
"18";2017-09-29;5;5;94;1
"19";2017-10-03;4,5;9;61;0,5
"20";2017-10-06;0;13;62;0
