"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;0;0;NA;NA
"2";2017-07-25;0;0;NA;NA
"3";2017-08-01;0;0;NA;NA
"4";2017-08-08;0;0;NA;NA
"5";2017-08-16;0;2;0;0
"6";2017-08-18;0;3;0;0
"7";2017-08-23;11,6666666666667;12;0;0,972222222222222
"8";2017-08-25;3,5;15;0;0,233333333333333
"9";2017-08-29;21,3333333333333;20;0;1,06666666666667
"10";2017-09-01;22;33;1;0,666666666666667
"11";2017-09-06;330,5;60;2;5,50833333333333
"12";2017-09-08;135;105;0;1,28571428571429
"13";2017-09-13;780,5;212;5;3,68160377358491
"14";2017-09-15;196,984848484848;122;19;1,61462990561351
"15";2017-09-20;407,4;155;59;2,62838709677419
"16";2017-09-22;8,61538461538461;83;36;0,103799814643188
"17";2017-09-26;42,8611111111111;82;68;0,52269647696477
"18";2017-09-29;0;60;57;0
"19";2017-10-03;3,75;28;60;0,133928571428571
"20";2017-10-06;0;35;58;0
