"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;0;202;0;0
"2";2017-07-19;17;231;0;0,0735930735930736
"3";2017-07-20;33;260;0;0,126923076923077
"4";2017-07-21;50;289;0;0,173010380622837
"5";2017-07-22;66;318;0;0,207547169811321
"6";2017-07-23;83;347;0;0,239193083573487
"7";2017-07-24;99;376;0;0,263297872340426
"8";2017-07-25;116;405;0;0,28641975308642
"9";2017-07-26;121;411;0;0,294403892944039
"10";2017-07-27;126;418;0;0,301435406698565
"11";2017-07-28;131;424;0;0,308962264150943
"12";2017-07-29;135;431;0;0,31322505800464
"13";2017-07-30;140;437;0;0,320366132723112
"14";2017-07-31;145;444;0;0,326576576576577
"15";2017-08-01;150;450;0;0,333333333333333
"16";2017-08-02;129;482;0;0,267634854771784
"17";2017-08-03;107;514;0;0,208171206225681
"18";2017-08-04;86;546;0;0,157509157509158
"19";2017-08-05;64;579;0;0,110535405872193
"20";2017-08-06;43;611;0;0,0703764320785597
"21";2017-08-07;21;643;0;0,0326594090202177
"22";2017-08-08;0;675;0;0
"23";2017-08-09;80;658;20;0,121580547112462
"24";2017-08-10;160;641;40;0,249609984399376
"25";2017-08-11;240;624;59;0,384615384615385
"26";2017-08-12;320;608;79;0,526315789473684
"27";2017-08-13;401;591;99;0,678510998307953
"28";2017-08-14;481;574;118;0,837979094076655
"29";2017-08-15;561;557;138;1,00718132854578
"30";2017-08-16;641;540;158;1,18703703703704
"31";2017-08-17;507;529;115;0,958412098298677
"32";2017-08-18;373;518;72;0,72007722007722
"33";2017-08-19;455;539;77;0,844155844155844
"34";2017-08-20;537;559;83;0,960644007155635
"35";2017-08-21;618;580;88;1,06551724137931
"36";2017-08-22;700;600;94;1,16666666666667
"37";2017-08-23;782;621;99;1,25925925925926
"38";2017-08-24;556;596;180;0,932885906040268
"39";2017-08-25;329;572;261;0,575174825174825
"40";2017-08-26;341;509;278;0,669941060903733
"41";2017-08-27;352;446;294;0,789237668161435
"42";2017-08-28;364;383;311;0,950391644908616
"43";2017-08-29;376;320;328;1,175
"44";2017-08-30;448;433;255;1,03464203233256
"45";2017-08-31;520;547;181;0,950639853747715
"46";2017-09-01;592;660;108;0,896969696969697
"47";2017-09-02;927;744;106;1,24596774193548
"48";2017-09-03;1262;828;104;1,52415458937198
"49";2017-09-04;1598;912;103;1,75219298245614
"50";2017-09-05;1933;996;101;1,94076305220884
"51";2017-09-06;2268;1080;99;2,1
"52";2017-09-07;1629;1588;114;1,02581863979849
"53";2017-09-08;990;2097;130;0,472103004291845
"54";2017-09-09;1234;2200;144;0,560909090909091
"55";2017-09-10;1478;2302;157;0,642050390964379
"56";2017-09-11;1721;2405;171;0,715592515592516
"57";2017-09-12;1965;2507;184;0,783805345033905
"58";2017-09-13;2209;2610;198;0,846360153256705
"59";2017-09-14;2480;2511;198;0,987654320987654
"60";2017-09-15;2752;2412;198;1,14096185737977
"61";2017-09-16;3705;2495;240;1,48496993987976
"62";2017-09-17;4659;2578;283;1,80721489526765
"63";2017-09-18;5612;2660;325;2,10977443609023
"64";2017-09-19;6566;2743;368;2,39372949325556
"65";2017-09-20;7519;2826;410;2,66065109695683
"66";2017-09-21;4246;2223;288;1,91003148897886
"67";2017-09-22;972;1620;166;0,6
"68";2017-09-23;1064;1948;186;0,546201232032854
"69";2017-09-24;1156;2277;207;0,507685551163812
"70";2017-09-25;1249;2606;228;0,479278587874137
"71";2017-09-26;1341;2934;248;0,457055214723926
"72";2017-09-27;912;2586;287;0,352668213457077
"73";2017-09-28;482;2238;325;0,215370866845398
"74";2017-09-29;53;1890;364;0,028042328042328
"75";2017-09-30;96;1909;412;0,0502881089575694
"76";2017-10-01;140;1928;459;0,0726141078838174
"77";2017-10-02;183;1947;506;0,0939907550077042
"78";2017-10-03;226;1966;554;0,114954221770092
"79";2017-10-04;151;1611;695;0,0937306021104904
"80";2017-10-05;75;1255;835;0,0597609561752988
"81";2017-10-06;0;900;976;0
