"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;0;202;0;0
"2";2017-07-21;50;289;0;0,173010380622837
"3";2017-07-25;298;405;0;0,735802469135802
"4";2017-07-28;363;424;0;0,856132075471698
"5";2017-08-01;551;450;0;1,22444444444444
"6";2017-08-04;386;546;0;0,706959706959707
"7";2017-08-08;214;675;0;0,317037037037037
"8";2017-08-11;240;624;59;0,384615384615385
"9";2017-08-15;1442;557;138;2,58886894075404
"10";2017-08-18;1709;518;72;3,2992277992278
"11";2017-08-22;1983;600;94;3,305
"12";2017-08-25;2038;572;261;3,56293706293706
"13";2017-08-29;1386;320;328;4,33125
"14";2017-09-01;1344;660;108;2,03636363636364
"15";2017-09-05;4379;996;101;4,39658634538153
"16";2017-09-08;5830;2097;130;2,78016213638531
"17";2017-09-12;5423;2507;184;2,16314319904268
"18";2017-09-15;6654;2412;198;2,75870646766169
"19";2017-09-19;16728;2743;368;6,09843237331389
"20";2017-09-22;18331;1620;166;11,3154320987654
"21";2017-09-26;4441;2934;248;1,51363326516701
"22";2017-09-29;2735;1890;364;1,44708994708995
"23";2017-10-03;472;1966;554;0,240081383519837
"24";2017-10-06;452;900;976;0,502222222222222
