"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;24;142;0;0,17102615694165
"2";2017-07-19;199;181;0;1,09944751381215
"3";2017-07-20;229;219;0;1,04566210045662
"4";2017-07-21;258;258;0;1
"5";2017-07-22;287;297;0;0,966329966329966
"6";2017-07-23;316;336;0;0,94047619047619
"7";2017-07-24;346;374;0;0,925133689839572
"8";2017-07-25;375;413;0;0,907990314769976
"9";2017-07-26;398;428;0;0,929906542056075
"10";2017-07-27;421;443;0;0,950338600451467
"11";2017-07-28;444;458;0;0,96943231441048
"12";2017-07-29;466;474;0;0,983122362869198
"13";2017-07-30;489;489;0;1
"14";2017-07-31;512;504;0;1,01587301587302
"15";2017-08-01;535;519;0;1,03082851637765
"16";2017-08-02;518;542;0;0,955719557195572
"17";2017-08-03;501;564;0;0,888297872340426
"18";2017-08-04;484;587;0;0,824531516183986
"19";2017-08-05;467;610;0;0,765573770491803
"20";2017-08-06;450;633;0;0,710900473933649
"21";2017-08-07;433;655;0;0,661068702290076
"22";2017-08-08;416;678;0;0,613569321533923
"23";2017-08-09;429;655;26;0,654961832061069
"24";2017-08-10;442;632;52;0,699367088607595
"25";2017-08-11;455;610;77;0,745901639344262
"26";2017-08-12;468;587;103;0,797274275979557
"27";2017-08-13;482;564;129;0,854609929078014
"28";2017-08-14;495;542;154;0,913284132841328
"29";2017-08-15;508;519;180;0,978805394990366
"30";2017-08-16;521;496;206;1,05040322580645
"31";2017-08-17;400;770;194;0,519480519480519
"32";2017-08-18;278;1044;183;0,266283524904215
"33";2017-08-19;347;1033;197;0,335914811229429
"34";2017-08-20;417;1023;211;0,407624633431085
"35";2017-08-21;486;1012;226;0,480237154150198
"36";2017-08-22;556;1002;240;0,554890219560878
"37";2017-08-23;625;991;254;0,630676084762866
"38";2017-08-24;636;947;390;0,671594508975713
"39";2017-08-25;648;903;525;0,717607973421927
"40";2017-08-26;1064;1154;556;0,922010398613518
"41";2017-08-27;1480;1404;587;1,05413105413105
"42";2017-08-28;1897;1655;618;1,14622356495468
"43";2017-08-29;2313;1906;649;1,21353620146905
"44";2017-08-30;1788;2199;633;0,813096862210095
"45";2017-08-31;1262;2492;618;0,506420545746388
"46";2017-09-01;737;2785;602;0,264631956912029
"47";2017-09-02;1659;2921;511;0,56795617939062
"48";2017-09-03;2580;3056;420;0,844240837696335
"49";2017-09-04;3502;3192;330;1,09711779448622
"50";2017-09-05;4423;3327;239;1,32942590922753
"51";2017-09-06;5345;3463;148;1,54345942824141
"52";2017-09-07;5260;4044;201;1,30069238377844
"53";2017-09-08;5175;4626;254;1,11867704280156
"54";2017-09-09;5385;4901;312;1,09875535604979
"55";2017-09-10;5596;5176;370;1,08114374034003
"56";2017-09-11;5806;5450;427;1,06532110091743
"57";2017-09-12;6017;5725;485;1,05100436681223
"58";2017-09-13;6227;6000;543;1,03783333333333
"59";2017-09-14;4688;5547;472;0,845141517937624
"60";2017-09-15;3148;5094;401;0,61798193953671
"61";2017-09-16;5459;5143;453;1,06144273770173
"62";2017-09-17;7771;5192;505;1,49672573189522
"63";2017-09-18;10082;5242;557;1,92331171308661
"64";2017-09-19;12394;5291;609;2,34246834246834
"65";2017-09-20;14705;5340;661;2,75374531835206
"66";2017-09-21;9718;4886;472;1,98894801473598
"67";2017-09-22;4732;4431;283;1,06793048973144
"68";2017-09-23;5282;4589;312;1,15101329265635
"69";2017-09-24;5832;4746;342;1,22882427307206
"70";2017-09-25;6383;4904;372;1,30159053833605
"71";2017-09-26;6933;5062;401;1,36961675227183
"72";2017-09-27;4860;4563;427;1,06508875739645
"73";2017-09-28;2787;4063;452;0,685946345065223
"74";2017-09-29;714;3564;478;0,2003367003367
"75";2017-09-30;552;3291;693;0,167730173199635
"76";2017-10-01;390;3018;908;0,129224652087475
"77";2017-10-02;229;2745;1124;0,0834244080145719
"78";2017-10-03;67;2472;1339;0,0271035598705502
"79";2017-10-04;45;2170;1185;0,0207373271889401
"80";2017-10-05;22;1869;1032;0,0117710005350455
"81";2017-10-06;0;1567;878;0
