"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;11;250;0;0,0434285714285714
"2";2017-07-19;86;350;0;0,245714285714286
"3";2017-07-20;96;450;0;0,213333333333333
"4";2017-07-21;106;550;0;0,192727272727273
"5";2017-07-22;116;651;0;0,178187403993856
"6";2017-07-23;126;751;0;0,167776298268975
"7";2017-07-24;136;851;0;0,159811985898942
"8";2017-07-25;146;951;0;0,153522607781283
"9";2017-07-26;188;969;0;0,194014447884417
"10";2017-07-27;231;987;0;0,234042553191489
"11";2017-07-28;273;1005;0;0,271641791044776
"12";2017-07-29;316;1024;0;0,30859375
"13";2017-07-30;358;1042;0;0,343570057581574
"14";2017-07-31;401;1060;0;0,378301886792453
"15";2017-08-01;443;1078;0;0,410946196660482
"16";2017-08-02;594;1170;0;0,507692307692308
"17";2017-08-03;744;1261;0;0,590007930214116
"18";2017-08-04;895;1353;0;0,661492978566149
"19";2017-08-05;1046;1445;0;0,723875432525952
"20";2017-08-06;1197;1537;0;0,77878985035784
"21";2017-08-07;1347;1628;0;0,827395577395577
"22";2017-08-08;1498;1720;0;0,87093023255814
"23";2017-08-09;2228;1821;25;1,22350356946733
"24";2017-08-10;2957;1922;50;1,53850156087409
"25";2017-08-11;3687;2023;75;1,82254078101829
"26";2017-08-12;4416;2124;100;2,07909604519774
"27";2017-08-13;5146;2225;126;2,31280898876404
"28";2017-08-14;5876;2326;151;2,5262252794497
"29";2017-08-15;6605;2427;176;2,72146683147919
"30";2017-08-16;7335;2528;201;2,90150316455696
"31";2017-08-17;5068;2575;223;1,96815533980583
"32";2017-08-18;2801;2622;245;1,06826849733028
"33";2017-08-19;3413;2468;252;1,38290113452188
"34";2017-08-20;4025;2314;259;1,73941227312014
"35";2017-08-21;4637;2160;265;2,14675925925926
"36";2017-08-22;5249;2006;272;2,61665004985045
"37";2017-08-23;5861;1852;279;3,164686825054
"38";2017-08-24;3537;1766;358;2,00283125707814
"39";2017-08-25;1213;1681;436;0,721594289113623
"40";2017-08-26;1157;1732;577;0,668013856812933
"41";2017-08-27;1101;1784;718;0,617152466367713
"42";2017-08-28;1045;1836;859;0,56917211328976
"43";2017-08-29;989;1887;1000;0,524112347641759
"44";2017-08-30;821;1725;974;0,475942028985507
"45";2017-08-31;654;1563;947;0,418426103646833
"46";2017-09-01;486;1401;921;0,346895074946467
"47";2017-09-02;1751;1345;953;1,30185873605948
"48";2017-09-03;3016;1289;986;2,33979829325058
"49";2017-09-04;4280;1234;1018;3,46839546191248
"50";2017-09-05;5545;1178;1051;4,70713073005093
"51";2017-09-06;6810;1122;1083;6,06951871657754
"52";2017-09-07;4222;1168;1070;3,61472602739726
"53";2017-09-08;1635;1215;1058;1,34567901234568
"54";2017-09-09;2159;1279;1040;1,68803752931978
"55";2017-09-10;2683;1343;1023;1,99776619508563
"56";2017-09-11;3208;1406;1005;2,28165007112376
"57";2017-09-12;3732;1470;988;2,53877551020408
"58";2017-09-13;4256;1534;970;2,77444589308996
"59";2017-09-14;3523;1548;791;2,27583979328165
"60";2017-09-15;2790;1563;612;1,78502879078695
"61";2017-09-16;4826;1551;649;3,11154094132818
"62";2017-09-17;6862;1539;687;4,45873944119558
"63";2017-09-18;8898;1528;724;5,82329842931937
"64";2017-09-19;10934;1516;762;7,21240105540897
"65";2017-09-20;12970;1504;799;8,62367021276596
"66";2017-09-21;7608;1208;1022;6,29801324503311
"67";2017-09-22;2246;911;1245;2,46542261251372
"68";2017-09-23;2190;1028;1163;2,13035019455253
"69";2017-09-24;2134;1144;1080;1,86538461538462
"70";2017-09-25;2077;1260;998;1,6484126984127
"71";2017-09-26;2021;1377;916;1,46768336964415
"72";2017-09-27;1385;1259;1022;1,10007942811755
"73";2017-09-28;749;1142;1129;0,655866900175131
"74";2017-09-29;113;1024;1235;0,1103515625
"75";2017-09-30;113;959;1175;0,117831074035454
"76";2017-10-01;114;894;1115;0,12751677852349
"77";2017-10-02;114;829;1055;0,13751507840772
"78";2017-10-03;114;764;995;0,149214659685864
"79";2017-10-04;88;593;1126;0,148397976391231
"80";2017-10-05;61;421;1256;0,144893111638955
"81";2017-10-06;35;250;1387;0,14
