"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;11;250;0;0,044
"2";2017-07-21;193;550;0;0,350909090909091
"3";2017-07-25;484;951;0;0,508937960042061
"4";2017-07-28;565;1005;0;0,562189054726368
"5";2017-08-01;1348;1078;0;1,25046382189239
"6";2017-08-04;1781;1353;0;1,31633407243163
"7";2017-08-08;4485;1720;0;2,60755813953488
"8";2017-08-11;6683;2023;75;3,30350963914978
"9";2017-08-15;19125;2427;176;7,88009888751545
"10";2017-08-18;19008;2622;245;7,24942791762014
"11";2017-08-22;14876;2006;272;7,41575274177468
"12";2017-08-25;14647;1681;436;8,71326591314694
"13";2017-08-29;4516;1887;1000;2,39321674615792
"14";2017-09-01;2464;1401;921;1,7587437544611
"15";2017-09-05;9533;1178;1051;8,09252971137521
"16";2017-09-08;16577;1215;1058;13,643621399177
"17";2017-09-12;9685;1470;988;6,58843537414966
"18";2017-09-15;11511;1563;612;7,36468330134357
"19";2017-09-19;23376;1516;762;15,4195250659631
"20";2017-09-22;31512;911;1245;34,5905598243688
"21";2017-09-26;8647;1377;916;6,27959331880901
"22";2017-09-29;4155;1024;1235;4,0576171875
"23";2017-10-03;454;764;995;0,594240837696335
"24";2017-10-06;263;250;1387;1,052
