"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;32;612;0;0,0527544351073763
"2";2017-07-19;280;782;0;0,358056265984655
"3";2017-07-20;335;953;0;0,351521511017838
"4";2017-07-21;389;1123;0;0,346393588601959
"5";2017-07-22;444;1294;0;0,343122102009274
"6";2017-07-23;498;1464;0;0,340163934426229
"7";2017-07-24;553;1635;0;0,33822629969419
"8";2017-07-25;607;1805;0;0,336288088642659
"9";2017-07-26;676;1853;0;0,364813815434431
"10";2017-07-27;746;1901;0;0,39242503945292
"11";2017-07-28;815;1949;0;0,418163160595177
"12";2017-07-29;885;1998;0;0,442942942942943
"13";2017-07-30;954;2046;0;0,466275659824047
"14";2017-07-31;1024;2094;0;0,48901623686724
"15";2017-08-01;1093;2142;0;0,510270774976657
"16";2017-08-02;1220;2299;0;0,530665506742062
"17";2017-08-03;1346;2457;0;0,547822547822548
"18";2017-08-04;1473;2614;0;0,563504208110176
"19";2017-08-05;1600;2772;0;0,577200577200577
"20";2017-08-06;1727;2929;0;0,589621031068624
"21";2017-08-07;1853;3087;0;0,600259151279559
"22";2017-08-08;1980;3244;0;0,61035758323058
"23";2017-08-09;2859;3363;78;0,850133809099019
"24";2017-08-10;3737;3482;156;1,07323377369328
"25";2017-08-11;4616;3601;233;1,28186614829214
"26";2017-08-12;5494;3720;311;1,47688172043011
"27";2017-08-13;6373;3840;389;1,65963541666667
"28";2017-08-14;7252;3959;466;1,83177570093458
"29";2017-08-15;8130;4078;544;1,99362432564983
"30";2017-08-16;9009;4197;622;2,14653323802716
"31";2017-08-17;6294;4208;558;1,49572243346008
"32";2017-08-18;3578;4218;495;0,848269321953532
"33";2017-08-19;4368;4072;520;1,07269155206287
"34";2017-08-20;5158;3926;546;1,31380539989812
"35";2017-08-21;5948;3780;571;1,57354497354497
"36";2017-08-22;6738;3634;597;1,85415520088057
"37";2017-08-23;7528;3488;622;2,15825688073395
"38";2017-08-24;4862;3332;913;1,45918367346939
"39";2017-08-25;2195;3177;1204;0,690903367957192
"40";2017-08-26;2510;3376;1396;0,743483412322275
"41";2017-08-27;2824;3575;1589;0,78993006993007
"42";2017-08-28;3139;3774;1782;0,831743508214096
"43";2017-08-29;3454;3973;1974;0,869368235590234
"44";2017-08-30;2885;4170;1850;0,691846522781775
"45";2017-08-31;2315;4367;1725;0,530112205175177
"46";2017-09-01;1746;4564;1601;0,382559158632778
"47";2017-09-02;4252;4728;1554;0,899323181049069
"48";2017-09-03;6759;4893;1507;1,38136112814224
"49";2017-09-04;9265;5057;1461;1,83211390152264
"50";2017-09-05;11772;5222;1414;2,25430869398698
"51";2017-09-06;14278;5386;1367;2,65094689936873
"52";2017-09-07;10788;6513;1418;1,65637954859512
"53";2017-09-08;7297;7640;1469;0,955104712041885
"54";2017-09-09;8301;8060;1516;1,02990074441687
"55";2017-09-10;9305;8480;1563;1,09728773584906
"56";2017-09-11;10308;8901;1609;1,15807212672733
"57";2017-09-12;11312;9321;1656;1,21360369059114
"58";2017-09-13;12316;9741;1703;1,26434657632687
"59";2017-09-14;10390;9376;1456;1,10814846416382
"60";2017-09-15;8463;9011;1209;0,939185440017756
"61";2017-09-16;13717;9086;1341;1,50968523002421
"62";2017-09-17;18971;9160;1472;2,07106986899563
"63";2017-09-18;24224;9235;1604;2,62306442880347
"64";2017-09-19;29478;9309;1735;3,16661295520464
"65";2017-09-20;34732;9384;1867;3,70119352088662
"66";2017-09-21;21131;8000;1798;2,641375
"67";2017-09-22;7530;6615;1729;1,13832199546485
"68";2017-09-23;8052;7245;1692;1,11138716356108
"69";2017-09-24;8573;7874;1655;1,08877317754636
"70";2017-09-25;9094;8504;1618;1,06937911571025
"71";2017-09-26;9616;9134;1581;1,05276987081235
"72";2017-09-27;6675;8185;1758;0,815516188149053
"73";2017-09-28;3735;7237;1934;0,516097830592787
"74";2017-09-29;794;6288;2111;0,126272264631043
"75";2017-09-30;704;6006;2288;0,117216117216117
"76";2017-10-01;614;5724;2466;0,107267645003494
"77";2017-10-02;523;5443;2643;0,0960867168840713
"78";2017-10-03;433;5161;2820;0,0838984692888975
"79";2017-10-04;301;4302;2995;0,0699674569967457
"80";2017-10-05;170;3444;3170;0,0493612078977933
"81";2017-10-06;38;2585;3345;0,0147001934235977
