"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;32;612;0;0,0522875816993464
"2";2017-07-21;647;1123;0;0,57613535173642
"3";2017-07-25;1884;1805;0;1,04376731301939
"4";2017-07-28;2029;1949;0;1,04104669061057
"5";2017-08-01;3678;2142;0;1,71708683473389
"6";2017-08-04;3659;2614;0;1,39977046671767
"7";2017-08-08;6653;3244;0;2,05086313193588
"8";2017-08-11;8576;3601;233;2,38156067758956
"9";2017-08-15;23735;4078;544;5,82025502697401
"10";2017-08-18;23433;4218;495;5,55547652916074
"11";2017-08-22;19052;3634;597;5,24270776004403
"12";2017-08-25;19128;3177;1204;6,02077431539188
"13";2017-08-29;10668;3973;1974;2,68512459098918
"14";2017-09-01;8654;4564;1601;1,89614373356705
"15";2017-09-05;22022;5222;1414;4,2171581769437
"16";2017-09-08;36838;7640;1469;4,8217277486911
"17";2017-09-12;35211;9321;1656;3,77759897006759
"18";2017-09-15;34018;9011;1209;3,77516368882477
"19";2017-09-19;65375;9309;1735;7,02277365989902
"20";2017-09-22;85341;6615;1729;12,9011337868481
"21";2017-09-26;33249;9134;1581;3,64013575651412
"22";2017-09-29;20026;6288;2111;3,18479643765903
"23";2017-10-03;2635;5161;2820;0,510559968998256
"24";2017-10-06;904;2585;3345;0,349709864603482
