"";"date";"larves";"inflos_vivantes";"inflos_mortes";"larves_inflos"
"1";2017-07-18;24;446;0;0,0538116591928251
"2";2017-07-21;453;523;0;0,866156787762906
"3";2017-07-25;1239;626;0;1,97923322683706
"4";2017-07-28;1422;640;0;2,221875
"5";2017-08-01;3083;658;0;4,6854103343465
"6";2017-08-04;3343;798;0;4,18922305764411
"7";2017-08-08;6295;984;0;6,39735772357724
"8";2017-08-11;5433;1010;56;5,37920792079208
"9";2017-08-15;5975;1044;130;5,72318007662835
"10";2017-08-18;4592;1739;428;2,64059804485336
"11";2017-08-22;14077;1956;325;7,19683026584867
"12";2017-08-25;12599;1587;156;7,93887838689351
"13";2017-08-29;12543;1509;317;8,31212723658052
"14";2017-09-01;5877;1256;359;4,67914012738853
"15";2017-09-05;2965;980;285;3,02551020408163
"16";2017-09-08;1704;432;212;3,94444444444444
"17";2017-09-12;1285;182;300;7,06043956043956
"18";2017-09-15;173;87;345;1,98850574712644
"19";2017-09-19;0;61;559;0
"20";2017-09-22;14;101;350;0,138613861386139
"21";2017-09-26;115;110;400;1,04545454545455
"22";2017-09-29;83;23;432;3,60869565217391
"23";2017-10-03;89;41;281;2,17073170731707
"24";2017-10-06;42;60;285;0,7
