UC;Arbre;TypeBg;NatureBg;Date;Evenement;Cause1;Cause2
1;9ER;lat1;R;15/07/2018;Floraison;;
1;9ER;lat1;R;24/08/2018;Mort;C;
1;9ER;lat2;R;15/07/2018;Floraison;;
1;9ER;lat2;R;24/08/2018;Mort;C;
1;9ER;lat3;R;17/07/2018;Floraison;;
1;9ER;lat3;R;24/08/2018;Mort;C;
2;9ER;api;R;22/07/2018;Floraison;;
2;9ER;api;R;07/09/2018;Mort;P;
3;9ER;api;R;29/07/2018;Floraison;;
3;9ER;api;R;07/09/2018;Mort;P;
4;9ER;api;R;29/07/2018;Floraison;;
4;9ER;api;R;07/09/2018;Mort;P;
4;9ER;lat2;R;02/08/2018;Floraison;;
4;9ER;lat2;R;07/09/2018;Mort;P;O
4;9ER;lat3;R;03/08/2018;Floraison;;
4;9ER;lat3;R;14/09/2018;Mort;P;O
5;9ER;api;R;29/07/2018;Floraison;;
8;9ER;lat1;R;31/08/2018;Floraison;;
8;9ER;lat1;R;14/09/2018;Mort;P;O
8;9ER;lat2;R;29/08/2018;Floraison;;
8;9ER;lat3;R;30/08/2018;Floraison;;
9;10ER;lat1;R;29/08/2018;Floraison;;
9;10ER;lat1;R;28/09/2018;Mort;;
9;10ER;lat2;R;29/08/2018;Floraison;;
9;10ER;lat2;R;21/09/2018;Mort;;
9;10ER;lat3;R;30/08/2018;Floraison;;
9;10ER;lat3;R;21/09/2018;Mort;;
10;10ER;api;R;01/08/2018;Floraison;;
10;10ER;api;R;07/09/2018;Mort;;
11;10ER;api;R;05/08/2018;Floraison;;
11;10ER;api;R;07/09/2018;Mort;;
13;10ER;api;V;19/08/2018;Floraison;;
13;10ER;lat1;V;22/08/2018;Floraison;;
13;10ER;lat1;V;31/08/2018;Mort;;
13;10ER;lat2;V;19/08/2018;Floraison;;
16;10ER;api;R;01/08/2018;Floraison;;
16;10ER;api;R;14/09/2018;Mort;P;
17;11ER;api;V;20/08/2018;Floraison;;
18;11ER;api;R;31/07/2018;Floraison;;
18;11ER;api;R;14/09/2018;Mort;P;O
20;11ER;api;R;03/08/2018;Floraison;;
20;11ER;api;R;14/09/2018;Mort;P;O
21;11ER;api;R;12/08/2018;Floraison;;
21;11ER;api;R;14/09/2018;Mort;P;O
24;11ER;api;R;15/08/2018;Floraison;;
24;11ER;api;R;07/09/2018;Mort;;
25;12ER;api;R;08/08/2018;Floraison;;
25;12ER;api;R;14/09/2018;Mort;;
26;12ER;api;R;03/08/2018;Floraison;;
26;12ER;api;R;31/08/2018;Mort;D;
29;12ER;api;R;01/08/2018;Floraison;;
29;12ER;api;R;21/09/2018;Mort;;
33;13ER;api;R;30/08/2018;Floraison;;
34;13ER;api;R;02/08/2018;Floraison;;
35;13ER;api;R;04/08/2018;Floraison;;
35;13ER;api;R;21/09/2018;Mort;;
36;13ER;api;R;29/07/2018;Floraison;;
36;13ER;api;R;21/09/2018;Mort;;
37;13ER;api;R;03/08/2018;Floraison;;
38;13ER;api;R;02/08/2018;Floraison;;
38;13ER;api;R;10/08/2018;Mort;;
40;13ER;api;R;09/08/2018;Floraison;;
40;13ER;api;R;28/08/2018;Mort;;
