Date;Arbre;Piege;NbInfloPiege;NbLarves;Observations
31/07/2018;9ER;A;7;19;
31/07/2018;9ER;B;2;11;
31/07/2018;11ER;A;0;0;
31/07/2018;11ER;B;1;0;
31/07/2018;13ER;A;1;0;Déplacé
31/07/2018;13ER;B;0;5;
31/07/2018;16ER;A;0;1;
31/07/2018;16ER;B;2;4;
31/07/2018;20ER;A;0;2;
31/07/2018;20ER;B;0;0;
31/07/2018;23ER;A;0;0;
31/07/2018;23ER;B;0;0;
31/07/2018;24ER;A;0;3;
31/07/2018;24ER;B;0;0;Déplacé
31/07/2018;25ER;A;2;2;
31/07/2018;25ER;B;0;2;Déplacé
31/07/2018;34ER;A;0;0;
31/07/2018;34ER;B;0;0;
31/07/2018;39ER;A;0;0;
31/07/2018;39ER;B;5;2;
31/07/2018;8PS;A;0;0;
31/07/2018;8PS;B;0;0;
31/07/2018;10PS;A;0;0;
31/07/2018;10PS;B;0;0;
31/07/2018;11PS;A;1;3;
31/07/2018;11PS;B;2;2;
31/07/2018;15PS;A;0;NA;Renversé + Déplacé
31/07/2018;15PS;B;0;0;
31/07/2018;22PS;A;0;0;Déplacé
31/07/2018;22PS;B;0;0;
31/07/2018;23PS;A;0;0;
31/07/2018;23PS;B;0;0;
31/07/2018;24PS;A;0;0;
31/07/2018;24PS;B;0;0;
31/07/2018;30PS;A;0;0;
31/07/2018;30PS;B;0;0;
31/07/2018;33PS;A;0;0;
31/07/2018;33PS;B;0;0;
31/07/2018;36PS;A;0;0;
31/07/2018;36PS;B;0;0;
31/07/2018;12EH;A;2;7;
31/07/2018;12EH;B;4;4;
31/07/2018;22EH;A;0;0;
31/07/2018;22EH;B;0;0;
31/07/2018;23EH;A;0;0;
31/07/2018;23EH;B;0;0;
31/07/2018;24EH;A;0;0;
31/07/2018;24EH;B;0;0;
31/07/2018;34EH;A;0;0;
31/07/2018;34EH;B;0;0;
31/07/2018;35EH;A;0;0;
31/07/2018;35EH;B;0;0;
31/07/2018;38EH;A;0;0;
31/07/2018;38EH;B;1;0;
31/07/2018;41EH;A;0;0;
31/07/2018;41EH;B;3;2;Déplacé
31/07/2018;45EH;A;0;0;
31/07/2018;45EH;B;0;0;
31/07/2018;47EH;A;0;1;
31/07/2018;47EH;B;0;0;Déplacé
07/08/2018;9ER;A;5;8;
07/08/2018;9ER;B;3;3;
07/08/2018;11ER;A;3;0;
07/08/2018;11ER;B;2;1;
07/08/2018;13ER;A;1;1;
07/08/2018;13ER;B;5;0;
07/08/2018;16ER;A;2;1;
07/08/2018;16ER;B;8;2;
07/08/2018;20ER;A;2;8;
07/08/2018;20ER;B;3;3;
07/08/2018;23ER;A;0;0;
07/08/2018;23ER;B;0;0;
07/08/2018;24ER;A;1;1;
07/08/2018;24ER;B;4;4;
