date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-07-19,16.53061224489796,231.42857142857142,NA,Bloc 1,Bache
2017-07-20,16.53061224489796,260.35714285714283,NA,Bloc 1,Bache
2017-07-21,16.53061224489796,289.2857142857143,NA,Bloc 1,Bache
2017-07-22,16.53061224489796,318.2142857142857,NA,Bloc 1,Bache
2017-07-23,16.53061224489796,347.1428571428571,NA,Bloc 1,Bache
2017-07-24,16.53061224489796,376.07142857142856,NA,Bloc 1,Bache
2017-07-25,16.53061224489796,405,NA,Bloc 1,Bache
2017-07-26,21.428571428571427,411.42857142857144,NA,Bloc 1,Bache
2017-07-27,21.428571428571427,417.85714285714283,NA,Bloc 1,Bache
2017-07-28,21.428571428571427,424.2857142857143,NA,Bloc 1,Bache
2017-07-29,21.428571428571427,430.7142857142857,NA,Bloc 1,Bache
2017-07-30,21.428571428571427,437.14285714285717,NA,Bloc 1,Bache
2017-07-31,21.428571428571427,443.57142857142856,NA,Bloc 1,Bache
2017-08-01,21.428571428571427,450,NA,Bloc 1,Bache
2017-08-02,0,482.1428571428571,NA,Bloc 1,Bache
2017-08-03,0,514.2857142857142,NA,Bloc 1,Bache
2017-08-04,0,546.4285714285714,NA,Bloc 1,Bache
2017-08-05,0,578.5714285714286,NA,Bloc 1,Bache
2017-08-06,0,610.7142857142858,NA,Bloc 1,Bache
2017-08-07,0,642.8571428571429,NA,Bloc 1,Bache
2017-08-08,0,675,NA,Bloc 1,Bache
2017-08-09,80.15625,658.125,19.6875,Bloc 1,Bache
2017-08-10,80.15625,641.25,19.6875,Bloc 1,Bache
2017-08-11,80.15625,624.375,19.6875,Bloc 1,Bache
2017-08-12,80.15625,607.5,19.6875,Bloc 1,Bache
2017-08-13,80.15625,590.625,19.6875,Bloc 1,Bache
2017-08-14,80.15625,573.75,19.6875,Bloc 1,Bache
2017-08-15,80.15625,556.875,19.6875,Bloc 1,Bache
2017-08-16,80.15625,540,19.6875,Bloc 1,Bache
2017-08-17,186.25000000000003,528.75,36,Bloc 1,Bache
2017-08-18,186.25000000000003,517.5,36,Bloc 1,Bache
2017-08-19,156.48000000000002,538.2,19.8,Bloc 1,Bache
2017-08-20,156.48000000000002,558.9,19.8,Bloc 1,Bache
2017-08-21,156.48000000000002,579.6,19.8,Bloc 1,Bache
2017-08-22,156.48000000000002,600.3,19.8,Bloc 1,Bache
2017-08-23,156.48000000000002,621,19.8,Bloc 1,Bache
2017-08-24,164.52272727272728,596.25,130.5,Bloc 1,Bache
2017-08-25,164.52272727272728,571.5,130.5,Bloc 1,Bache
2017-08-26,93.9375,508.5,82.125,Bloc 1,Bache
2017-08-27,93.9375,445.5,82.125,Bloc 1,Bache
2017-08-28,93.9375,382.5,82.125,Bloc 1,Bache
2017-08-29,93.9375,319.5,82.125,Bloc 1,Bache
2017-08-30,177.70000000000002,418.5,36,Bloc 1,Bache
2017-08-31,177.70000000000002,517.5,36,Bloc 1,Bache
2017-09-01,177.70000000000002,616.5,36,Bloc 1,Bache
2017-09-02,347.200875,709.2,19.8,Bloc 1,Bache
2017-09-03,347.200875,801.9,19.8,Bloc 1,Bache
2017-09-04,347.200875,894.5999999999999,19.8,Bloc 1,Bache
2017-09-05,347.200875,987.3,19.8,Bloc 1,Bache
2017-09-06,347.200875,1080,19.8,Bloc 1,Bache
2017-09-07,494.8875,1588.5,65.25,Bloc 1,Bache
2017-09-08,494.8875,2097,65.25,Bloc 1,Bache
2017-09-09,441.80999999999995,2199.6,39.6,Bloc 1,Bache
2017-09-10,441.80999999999995,2302.2,39.6,Bloc 1,Bache
2017-09-11,441.80999999999995,2404.8,39.6,Bloc 1,Bache
2017-09-12,441.80999999999995,2507.4,39.6,Bloc 1,Bache
2017-09-13,441.80999999999995,2610,39.6,Bloc 1,Bache
2017-09-14,1375.8000000000002,2511,99,Bloc 1,Bache
2017-09-15,1375.8000000000002,2412,99,Bloc 1,Bache
2017-09-16,1503.8918181818183,2494.8,81.9,Bloc 1,Bache
2017-09-17,1503.8918181818183,2577.6,81.9,Bloc 1,Bache
2017-09-18,1503.8918181818183,2660.4,81.9,Bloc 1,Bache
2017-09-19,1503.8918181818183,2743.2,81.9,Bloc 1,Bache
2017-09-20,1503.8918181818183,2826,81.9,Bloc 1,Bache
2017-09-21,485.9117647058824,2223,83.25,Bloc 1,Bache
2017-09-22,485.9117647058824,1620,83.25,Bloc 1,Bache
2017-09-23,335.12824675324674,1948.5,61.875,Bloc 1,Bache
2017-09-24,335.12824675324674,2277,61.875,Bloc 1,Bache
2017-09-25,335.12824675324674,2605.5,61.875,Bloc 1,Bache
2017-09-26,335.12824675324674,2934,61.875,Bloc 1,Bache
2017-09-27,17.75,2586,121.5,Bloc 1,Bache
2017-09-28,17.75,2238,121.5,Bloc 1,Bache
2017-09-29,17.75,1890,121.5,Bloc 1,Bache
2017-09-30,56.625,1909.125,138.375,Bloc 1,Bache
2017-10-01,56.625,1928.25,138.375,Bloc 1,Bache
2017-10-02,56.625,1947.375,138.375,Bloc 1,Bache
2017-10-03,56.625,1966.5,138.375,Bloc 1,Bache
2017-10-04,0,1611,325.5,Bloc 1,Bache
2017-10-05,0,1255.5,325.5,Bloc 1,Bache
2017-10-06,0,900,325.5,Bloc 1,Bache
