"","burstER","burstPS","burstEH"
"1",0,0,0
"2",1,1,7
"3",0,0,1
"4",0,0,2
"5",0,0,1
"6",0,0,2
"7",2,0,0
"8",1,0,1
"9",2,1,0
"10",0,1,1
"11",2,0,2
"12",1,0,1
"13",1,0,4
"14",0,0,3
"15",0,0,1
"16",4,2,12
"17",0,1,1
"18",3,3,2
"19",0,1,0
"20",0,2,0
"21",3,3,9
"22",1,1,0
"23",0,0,1
"24",2,0,1
"25",1,1,0
"26",1,0,0
"27",0,0,0
"28",0,0,0
"29",0,0,0
"30",0,0,0
"31",0,0,0
"32",2,4,2
"33",1,1,0
"34",0,1,1
"35",1,0,2
"36",0,1,1
"37",1,1,2
"38",0,0,2
"39",1,0,0
"40",2,0,3
"41",0,1,0
"42",0,1,0
"43",0,0,0
"44",0,0,0
"45",0,0,0
"46",2,2,2
"47",1,0,1
"48",1,0,1
"49",1,7,3
"50",1,1,1
"51",6,4,5
"52",2,3,3
"53",1,10,4
"54",0,1,2
"55",0,3,1
"56",0,4,5
"57",0,2,2
"58",1,2,4
"59",0,0,0
"60",0,0,0
"61",0,0,0
"62",0,2,0
"63",0,0,0
"64",0,0,0
"65",1,0,1
"66",0,0,0
"67",0,0,0
"68",0,0,0
"69",0,0,0
"70",0,0,0
"71",1,2,0
"72",0,0,0
"73",0,0,0
"74",0,0,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
