V1;V2
2017-07-18; 45.00000
2017-07-19; 51.42857
2017-07-20; 57.85714
2017-07-21; 64.28571
2017-07-22; 70.71429
2017-07-23; 77.14286
2017-07-24; 83.57143
2017-07-25; 90.00000
2017-07-26; 91.42857
2017-07-27; 92.85714
2017-07-28; 94.28571
2017-07-29; 95.71429
2017-07-30; 97.14286
2017-07-31; 98.57143
2017-08-01;100.00000
2017-08-02;107.14286
2017-08-03;114.28571
2017-08-04;121.42857
2017-08-05;128.57143
2017-08-06;135.71429
2017-08-07;142.85714
2017-08-08;150.00000
2017-08-09;146.25000
2017-08-10;142.50000
2017-08-11;138.75000
2017-08-12;135.00000
2017-08-13;131.25000
2017-08-14;127.50000
2017-08-15;123.75000
2017-08-16;120.00000
2017-08-17;117.50000
2017-08-18;115.00000
2017-08-19;119.60000
2017-08-20;124.20000
2017-08-21;128.80000
2017-08-22;133.40000
2017-08-23;138.00000
2017-08-24;132.50000
2017-08-25;127.00000
2017-08-26;113.00000
2017-08-27; 99.00000
2017-08-28; 85.00000
2017-08-29; 71.00000
2017-08-30; 93.00000
2017-08-31;115.00000
2017-09-01;137.00000
2017-09-02;157.60000
2017-09-03;178.20000
2017-09-04;198.80000
2017-09-05;219.40000
2017-09-06;240.00000
2017-09-07;353.00000
2017-09-08;466.00000
2017-09-09;488.80000
2017-09-10;511.60000
2017-09-11;534.40000
2017-09-12;557.20000
2017-09-13;580.00000
2017-09-14;558.00000
2017-09-15;536.00000
2017-09-16;554.40000
2017-09-17;572.80000
2017-09-18;591.20000
2017-09-19;609.60000
2017-09-20;628.00000
2017-09-21;494.00000
2017-09-22;360.00000
2017-09-23;433.00000
2017-09-24;506.00000
2017-09-25;579.00000
2017-09-26;652.00000
2017-09-27;574.66667
2017-09-28;497.33333
2017-09-29;420.00000
2017-09-30;424.25000
2017-10-01;428.50000
2017-10-02;432.75000
2017-10-03;437.00000
2017-10-04;358.00000
2017-10-05;279.00000
2017-10-06;200.00000
