V1;V2
2017-07-18; 51.00000
2017-07-19; 71.42857
2017-07-20; 91.85714
2017-07-21;112.28571
2017-07-22;132.71429
2017-07-23;153.14286
2017-07-24;173.57143
2017-07-25;194.00000
2017-07-26;197.85714
2017-07-27;201.71429
2017-07-28;205.57143
2017-07-29;209.42857
2017-07-30;213.28571
2017-07-31;217.14286
2017-08-01;221.00000
2017-08-02;239.71429
2017-08-03;258.42857
2017-08-04;277.14286
2017-08-05;295.85714
2017-08-06;314.57143
2017-08-07;333.28571
2017-08-08;352.00000
2017-08-09;372.87500
2017-08-10;393.75000
2017-08-11;414.62500
2017-08-12;435.50000
2017-08-13;456.37500
2017-08-14;477.25000
2017-08-15;498.12500
2017-08-16;519.00000
2017-08-17;527.00000
2017-08-18;535.00000
2017-08-19;503.60000
2017-08-20;472.20000
2017-08-21;440.80000
2017-08-22;409.40000
2017-08-23;378.00000
2017-08-24;360.50000
2017-08-25;343.00000
2017-08-26;353.50000
2017-08-27;364.00000
2017-08-28;374.50000
2017-08-29;385.00000
2017-08-30;352.00000
2017-08-31;319.00000
2017-09-01;286.00000
2017-09-02;274.60000
2017-09-03;263.20000
2017-09-04;251.80000
2017-09-05;240.40000
2017-09-06;229.00000
2017-09-07;238.50000
2017-09-08;248.00000
2017-09-09;261.00000
2017-09-10;274.00000
2017-09-11;287.00000
2017-09-12;300.00000
2017-09-13;313.00000
2017-09-14;317.50000
2017-09-15;322.00000
2017-09-16;319.00000
2017-09-17;316.00000
2017-09-18;313.00000
2017-09-19;310.00000
2017-09-20;307.00000
2017-09-21;246.50000
2017-09-22;186.00000
2017-09-23;209.75000
2017-09-24;233.50000
2017-09-25;257.25000
2017-09-26;281.00000
2017-09-27;257.00000
2017-09-28;233.00000
2017-09-29;209.00000
2017-09-30;195.75000
2017-10-01;182.50000
2017-10-02;169.25000
2017-10-03;156.00000
2017-10-04;121.00000
2017-10-05; 86.00000
2017-10-06; 51.00000
