V1;V2
2017-07-18;   0.000000
2017-07-19;   3.673469
2017-07-20;   7.346939
2017-07-21;  11.020408
2017-07-22;  14.693878
2017-07-23;  18.367347
2017-07-24;  22.040816
2017-07-25;  25.714286
2017-07-26;  26.802721
2017-07-27;  27.891156
2017-07-28;  28.979592
2017-07-29;  30.068027
2017-07-30;  31.156463
2017-07-31;  32.244898
2017-08-01;  33.333333
2017-08-02;  28.571429
2017-08-03;  23.809524
2017-08-04;  19.047619
2017-08-05;  14.285714
2017-08-06;   9.523810
2017-08-07;   4.761905
2017-08-08;   0.000000
2017-08-09;  17.812500
2017-08-10;  35.625000
2017-08-11;  53.437500
2017-08-12;  71.250000
2017-08-13;  89.062500
2017-08-14; 106.875000
2017-08-15; 124.687500
2017-08-16; 142.500000
2017-08-17; 112.638889
2017-08-18;  82.777778
2017-08-19; 100.995556
2017-08-20; 119.213333
2017-08-21; 137.431111
2017-08-22; 155.648889
2017-08-23; 173.866667
2017-08-24; 123.493939
2017-08-25;  73.121212
2017-08-26;  75.715909
2017-08-27;  78.310606
2017-08-28;  80.905303
2017-08-29;  83.500000
2017-08-30;  95.155556
2017-08-31; 106.811111
2017-09-01; 118.466667
2017-09-02; 171.929083
2017-09-03; 225.391500
2017-09-04; 278.853917
2017-09-05; 332.316333
2017-09-06; 385.778750
2017-09-07; 302.864375
2017-09-08; 219.950000
2017-09-09; 274.140000
2017-09-10; 328.330000
2017-09-11; 382.520000
2017-09-12; 436.710000
2017-09-13; 490.900000
2017-09-14; 551.183333
2017-09-15; 611.466667
2017-09-16; 823.371515
2017-09-17;1035.276364
2017-09-18;1247.181212
2017-09-19;1459.086061
2017-09-20;1670.990909
2017-09-21; 943.475847
2017-09-22; 215.960784
2017-09-23; 236.443532
2017-09-24; 256.926280
2017-09-25; 277.409027
2017-09-26; 297.891775
2017-09-27; 202.538961
2017-09-28; 107.186147
2017-09-29;  11.833333
2017-09-30;  21.458333
2017-10-01;  31.083333
2017-10-02;  40.708333
2017-10-03;  50.333333
2017-10-04;  33.555556
2017-10-05;  16.777778
2017-10-06;   0.000000
