V1;V2
2017-07-18;  28.800000
2017-07-19;  33.776623
2017-07-20;  38.753247
2017-07-21;  43.729870
2017-07-22;  48.706494
2017-07-23;  53.683117
2017-07-24;  58.659740
2017-07-25;  63.636364
2017-07-26;  67.497835
2017-07-27;  71.359307
2017-07-28;  75.220779
2017-07-29;  79.082251
2017-07-30;  82.943723
2017-07-31;  86.805195
2017-08-01;  90.666667
2017-08-02;  89.505495
2017-08-03;  88.344322
2017-08-04;  87.183150
2017-08-05;  86.021978
2017-08-06;  84.860806
2017-08-07;  83.699634
2017-08-08;  82.538462
2017-08-09;  88.090946
2017-08-10;  93.643429
2017-08-11;  99.195913
2017-08-12; 104.748397
2017-08-13; 110.300881
2017-08-14; 115.853365
2017-08-15; 121.405849
2017-08-16; 126.958333
2017-08-17;  87.041667
2017-08-18;  47.125000
2017-08-19;  58.893333
2017-08-20;  70.661667
2017-08-21;  82.430000
2017-08-22;  94.198333
2017-08-23; 105.966667
2017-08-24; 107.888462
2017-08-25; 109.810256
2017-08-26; 180.380311
2017-08-27; 250.950366
2017-08-28; 321.520421
2017-08-29; 392.090476
2017-08-30; 303.008425
2017-08-31; 213.926374
2017-09-01; 124.844322
2017-09-02; 281.050458
2017-09-03; 437.256593
2017-09-04; 593.462729
2017-09-05; 749.668864
2017-09-06; 905.875000
2017-09-07; 891.514015
2017-09-08; 877.153030
2017-09-09; 912.814091
2017-09-10; 948.475152
2017-09-11; 984.136212
2017-09-12;1019.797273
2017-09-13;1055.458333
2017-09-14; 800.055357
2017-09-15; 544.652381
2017-09-16; 934.191032
2017-09-17;1323.729683
2017-09-18;1713.268333
2017-09-19;2102.806984
2017-09-20;2492.345635
2017-09-21;1647.231548
2017-09-22; 802.117460
2017-09-23; 895.344139
2017-09-24; 988.570818
2017-09-25;1081.797497
2017-09-26;1175.024176
2017-09-27; 823.664265
2017-09-28; 472.304355
2017-09-29; 120.944444
2017-09-30;  93.541667
2017-10-01;  66.138889
2017-10-02;  38.736111
2017-10-03;  11.333333
2017-10-04;   7.555556
2017-10-05;   3.777778
2017-10-06;   0.000000
