V1;V2
2017-07-18;  15.60000
2017-07-19;  17.61633
2017-07-20;  19.63265
2017-07-21;  21.64898
2017-07-22;  23.66531
2017-07-23;  25.68163
2017-07-24;  27.69796
2017-07-25;  29.71429
2017-07-26;  38.37415
2017-07-27;  47.03401
2017-07-28;  55.69388
2017-07-29;  64.35374
2017-07-30;  73.01361
2017-07-31;  81.67347
2017-08-01;  90.33333
2017-08-02; 121.08766
2017-08-03; 151.84199
2017-08-04; 182.59632
2017-08-05; 213.35065
2017-08-06; 244.10498
2017-08-07; 274.85931
2017-08-08; 305.61364
2017-08-09; 454.53544
2017-08-10; 603.45725
2017-08-11; 752.37906
2017-08-12; 901.30087
2017-08-13;1050.22267
2017-08-14;1199.14448
2017-08-15;1348.06629
2017-08-16;1496.98810
2017-08-17;1034.31203
2017-08-18; 571.63596
2017-08-19; 696.54211
2017-08-20; 821.44825
2017-08-21; 946.35439
2017-08-22;1071.26053
2017-08-23;1196.16667
2017-08-24; 721.85119
2017-08-25; 247.53571
2017-08-26; 236.09147
2017-08-27; 224.64722
2017-08-28; 213.20298
2017-08-29; 201.75873
2017-08-30; 167.54921
2017-08-31; 133.33968
2017-09-01;  99.13016
2017-09-02; 357.26841
2017-09-03; 615.40667
2017-09-04; 873.54492
2017-09-05;1131.68317
2017-09-06;1389.82143
2017-09-07; 861.79683
2017-09-08; 333.77222
2017-09-09; 440.71873
2017-09-10; 547.66524
2017-09-11; 654.61175
2017-09-12; 761.55825
2017-09-13; 868.50476
2017-09-14; 704.01412
2017-09-15; 539.52348
2017-09-16; 961.00450
2017-09-17;1382.48552
2017-09-18;1803.96654
2017-09-19;2225.44755
2017-09-20;2646.92857
2017-09-21;1552.69762
2017-09-22; 458.46667
2017-09-23; 446.98095
2017-09-24; 435.49524
2017-09-25; 424.00952
2017-09-26; 412.52381
2017-09-27; 282.68254
2017-09-28; 152.84127
2017-09-29;  23.00000
2017-09-30;  23.08333
2017-10-01;  23.16667
2017-10-02;  23.25000
2017-10-03;  23.33333
2017-10-04;  17.95556
2017-10-05;  12.57778
2017-10-06;   7.20000
