date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-07-19,0,0,NA,Bloc 2,Enherbement ras
2017-07-20,0,0,NA,Bloc 2,Enherbement ras
2017-07-21,0,0,NA,Bloc 2,Enherbement ras
2017-07-22,0,0,NA,Bloc 2,Enherbement ras
2017-07-23,0,0,NA,Bloc 2,Enherbement ras
2017-07-24,0,0,NA,Bloc 2,Enherbement ras
2017-07-25,0,0,NA,Bloc 2,Enherbement ras
2017-07-26,0,0,NA,Bloc 2,Enherbement ras
2017-07-27,0,0,NA,Bloc 2,Enherbement ras
2017-07-28,0,0,NA,Bloc 2,Enherbement ras
2017-07-29,0,0,NA,Bloc 2,Enherbement ras
2017-07-30,0,0,NA,Bloc 2,Enherbement ras
2017-07-31,0,0,NA,Bloc 2,Enherbement ras
2017-08-01,0,0,NA,Bloc 2,Enherbement ras
2017-08-02,0,0,NA,Bloc 2,Enherbement ras
2017-08-03,0,0,NA,Bloc 2,Enherbement ras
2017-08-04,0,0,NA,Bloc 2,Enherbement ras
2017-08-05,0,0,NA,Bloc 2,Enherbement ras
2017-08-06,0,0,NA,Bloc 2,Enherbement ras
2017-08-07,0,0,NA,Bloc 2,Enherbement ras
2017-08-08,0,0,NA,Bloc 2,Enherbement ras
2017-08-09,0,1.325,0,Bloc 2,Enherbement ras
2017-08-10,0,2.65,0,Bloc 2,Enherbement ras
2017-08-11,0,3.9749999999999996,0,Bloc 2,Enherbement ras
2017-08-12,0,5.3,0,Bloc 2,Enherbement ras
2017-08-13,0,6.625,0,Bloc 2,Enherbement ras
2017-08-14,0,7.949999999999999,0,Bloc 2,Enherbement ras
2017-08-15,0,9.275,0,Bloc 2,Enherbement ras
2017-08-16,0,10.6,0,Bloc 2,Enherbement ras
2017-08-17,0,13.25,0,Bloc 2,Enherbement ras
2017-08-18,0,15.899999999999999,0,Bloc 2,Enherbement ras
2017-08-19,12.366666666666665,25.439999999999998,0,Bloc 2,Enherbement ras
2017-08-20,12.366666666666665,34.98,0,Bloc 2,Enherbement ras
2017-08-21,12.366666666666665,44.519999999999996,0,Bloc 2,Enherbement ras
2017-08-22,12.366666666666665,54.059999999999995,0,Bloc 2,Enherbement ras
2017-08-23,12.366666666666665,63.599999999999994,0,Bloc 2,Enherbement ras
2017-08-24,9.275,71.55,0,Bloc 2,Enherbement ras
2017-08-25,9.275,79.5,0,Bloc 2,Enherbement ras
2017-08-26,28.266666666666666,86.125,0,Bloc 2,Enherbement ras
2017-08-27,28.266666666666666,92.75,0,Bloc 2,Enherbement ras
2017-08-28,28.266666666666666,99.375,0,Bloc 2,Enherbement ras
2017-08-29,28.266666666666666,106,0,Bloc 2,Enherbement ras
2017-08-30,38.86666666666667,128.96666666666667,1.7666666666666666,Bloc 2,Enherbement ras
2017-08-31,38.86666666666667,151.93333333333334,1.7666666666666666,Bloc 2,Enherbement ras
2017-09-01,38.86666666666667,174.9,1.7666666666666666,Bloc 2,Enherbement ras
2017-09-02,350.33,203.52,2.12,Bloc 2,Enherbement ras
2017-09-03,350.33,232.14000000000001,2.12,Bloc 2,Enherbement ras
2017-09-04,350.33,260.76,2.12,Bloc 2,Enherbement ras
2017-09-05,350.33,289.38,2.12,Bloc 2,Enherbement ras
2017-09-06,350.33,318,2.12,Bloc 2,Enherbement ras
2017-09-07,357.75,437.25,0,Bloc 2,Enherbement ras
2017-09-08,357.75,556.5,0,Bloc 2,Enherbement ras
2017-09-09,827.3299999999999,669.92,5.3,Bloc 2,Enherbement ras
2017-09-10,827.3299999999999,783.3399999999999,5.3,Bloc 2,Enherbement ras
2017-09-11,827.3299999999999,896.76,5.3,Bloc 2,Enherbement ras
2017-09-12,827.3299999999999,1010.18,5.3,Bloc 2,Enherbement ras
2017-09-13,827.3299999999999,1123.6,5.3,Bloc 2,Enherbement ras
2017-09-14,522.0098484848485,885.0999999999999,50.35,Bloc 2,Enherbement ras
2017-09-15,522.0098484848485,646.6,50.35,Bloc 2,Enherbement ras
2017-09-16,431.84399999999994,681.58,62.54,Bloc 2,Enherbement ras
2017-09-17,431.84399999999994,716.5600000000001,62.54,Bloc 2,Enherbement ras
2017-09-18,431.84399999999994,751.54,62.54,Bloc 2,Enherbement ras
2017-09-19,431.84399999999994,786.52,62.54,Bloc 2,Enherbement ras
2017-09-20,431.84399999999994,821.5,62.54,Bloc 2,Enherbement ras
2017-09-21,22.830769230769228,630.7,95.39999999999999,Bloc 2,Enherbement ras
2017-09-22,22.830769230769228,439.9,95.39999999999999,Bloc 2,Enherbement ras
2017-09-23,56.79097222222222,438.575,90.1,Bloc 2,Enherbement ras
2017-09-24,56.79097222222222,437.25,90.1,Bloc 2,Enherbement ras
2017-09-25,56.79097222222222,435.92499999999995,90.1,Bloc 2,Enherbement ras
2017-09-26,56.79097222222222,434.59999999999997,90.1,Bloc 2,Enherbement ras
2017-09-27,0,395.7333333333333,100.69999999999999,Bloc 2,Enherbement ras
2017-09-28,0,356.8666666666667,100.69999999999999,Bloc 2,Enherbement ras
2017-09-29,0,318,100.69999999999999,Bloc 2,Enherbement ras
2017-09-30,4.96875,275.6,79.5,Bloc 2,Enherbement ras
2017-10-01,4.96875,233.2,79.5,Bloc 2,Enherbement ras
2017-10-02,4.96875,190.8,79.5,Bloc 2,Enherbement ras
2017-10-03,4.96875,148.4,79.5,Bloc 2,Enherbement ras
2017-10-04,0,160.76666666666668,102.46666666666665,Bloc 2,Enherbement ras
2017-10-05,0,173.13333333333333,102.46666666666665,Bloc 2,Enherbement ras
2017-10-06,0,185.5,102.46666666666665,Bloc 2,Enherbement ras
