Date;Tmin;Tmax;Tmoy
18/07/18;19,61;21,66;20,5180933333333
19/07/18;19,19;21,74;20,3076358333333
20/07/18;20,06;22,34;21,0542520833333
21/07/18;20,22;22,75;21,2978570833333
22/07/18;20,19;22,53;21,143435
23/07/18;19,73;21,98;20,751855
24/07/18;19,57;22,21;20,7506229166667
25/07/18;20,66;22,70;21,4551125
26/07/18;20,66;23,04;21,61780125
27/07/18;20,93;23,05;21,7106983333333
28/07/18;20,62;23,27;21,6857145833333
29/07/18;20,94;23,24;21,95169125
30/07/18;20,42;23,04;21,4990358333333
31/07/18;20,33;22,89;21,3656304166667
01/08/18;20,09;22,71;21,1964329166667
02/08/18;19,51;21,14;20,291395
03/08/18;19,43;21,61;20,2696195833333
04/08/18;19,01;21,64;20,0769416666667
05/08/18;18,77;21,78;19,96648625
06/08/18;19,15;22,37;20,3562154166667
07/08/18;19,66;23,08;20,7968883333333
08/08/18;20,38;22,96;21,4173175
09/08/18;20,45;22,64;21,27209375
10/08/18;19,67;22,81;20,9937483333333
11/08/18;19,95;22,90;21,146045
12/08/18;20,13;23,46;21,4013595833333
13/08/18;20,33;22,65;21,22255125
14/08/18;19,59;22,17;20,87457875
15/08/18;20,08;22,90;21,30085375
16/08/18;20,02;23,47;21,391765
17/08/18;20,62;23,99;21,9863454166667
18/08/18;21,07;23,98;22,2783004166667
19/08/18;20,63;23,32;21,9070116666667
20/08/18;20,27;22,72;21,4474920833333
21/08/18;20,78;23,26;21,79986125
22/08/18;20,41;23,09;21,51753
23/08/18;20,21;23,29;21,3514804166667
24/08/18;20,06;23,75;21,5948583333333
25/08/18;21,06;24,52;22,3786804166667
26/08/18;20,87;24,56;22,4416283333333
27/08/18;20,73;23,20;21,8429391666667
28/08/18;20,56;23,73;21,8817833333333
29/08/18;21,12;23,82;22,3698508333333
30/08/18;20,44;23,61;21,8976554166667
31/08/18;20,65;23,38;21,824165
01/09/18;20,76;23,08;21,811855
02/09/18;21,19;23,70;22,21341875
03/09/18;21,63;23,87;22,4745833333333
04/09/18;21,03;23,49;22,0962245833333
05/09/18;21,13;23,64;22,0531895833333
06/09/18;20,48;22,76;21,4205166666667
07/09/18;19,98;22,66;21,1797804166667
08/09/18;19,95;22,29;21,1314525
09/09/18;20,14;22,15;21,079145
10/09/18;20,07;22,36;21,1402916666667
11/09/18;20,11;22,03;21,0469225
12/09/18;20,35;22,60;21,2802308333333
13/09/18;20,13;22,30;21,1402179166667
14/09/18;20,31;22,29;21,2563291666667
15/09/18;19,78;22,86;21,1111883333333
16/09/18;20,93;22,02;21,4086508333333
17/09/18;20,37;21,88;21,1831795833333
18/09/18;20,85;22,36;21,5631966666667
19/09/18;20,78;22,54;21,6361666666667
20/09/18;20,59;22,75;21,62896375
21/09/18;20,77;22,44;21,567935
22/09/18;20,56;22,20;21,3710220833333
23/09/18;20,38;23,11;21,4988675
24/09/18;20,51;22,34;21,3906629166667
25/09/18;20,31;23,33;21,6197625
26/09/18;20,73;23,06;21,9692654166667
27/09/18;21,46;22,90;22,23074875
28/09/18;21,13;23,10;22,0726704166667
29/09/18;21,42;22,69;22,0491633333333
30/09/18;20,89;22,87;21,8919191666667
01/10/18;21,39;23,22;22,1430379166667
02/10/18;20,65;23,04;21,8824504166667
03/10/18;20,81;22,99;21,8626754166667
04/10/18;20,69;23,72;22,0443104166667
05/10/18;21,17;25,91;22,7365445833333
06/10/18;20,68;23,43;21,9310225
