date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-07-19,53.63636363636363,180.3714285714286,NA,Bloc 1,Enherbement haut
2017-07-20,53.63636363636363,219.14285714285717,NA,Bloc 1,Enherbement haut
2017-07-21,53.63636363636363,257.9142857142857,NA,Bloc 1,Enherbement haut
2017-07-22,53.63636363636363,296.6857142857143,NA,Bloc 1,Enherbement haut
2017-07-23,53.63636363636363,335.45714285714286,NA,Bloc 1,Enherbement haut
2017-07-24,53.63636363636363,374.2285714285714,NA,Bloc 1,Enherbement haut
2017-07-25,53.63636363636363,413,NA,Bloc 1,Enherbement haut
2017-07-26,76.41904761904763,438.2857142857143,NA,Bloc 1,Enherbement haut
2017-07-27,76.41904761904763,463.57142857142856,NA,Bloc 1,Enherbement haut
2017-07-28,76.41904761904763,488.85714285714283,NA,Bloc 1,Enherbement haut
2017-07-29,76.41904761904763,514.1428571428571,NA,Bloc 1,Enherbement haut
2017-07-30,76.41904761904763,539.4285714285714,NA,Bloc 1,Enherbement haut
2017-07-31,76.41904761904763,564.7142857142857,NA,Bloc 1,Enherbement haut
2017-08-01,76.41904761904763,590,NA,Bloc 1,Enherbement haut
2017-08-02,69.56813186813189,619.5,NA,Bloc 1,Enherbement haut
2017-08-03,69.56813186813189,649,NA,Bloc 1,Enherbement haut
2017-08-04,69.56813186813189,678.5,NA,Bloc 1,Enherbement haut
2017-08-05,69.56813186813189,708,NA,Bloc 1,Enherbement haut
2017-08-06,69.56813186813189,737.5,NA,Bloc 1,Enherbement haut
2017-08-07,69.56813186813189,767,NA,Bloc 1,Enherbement haut
2017-08-08,69.56813186813189,796.5,NA,Bloc 1,Enherbement haut
2017-08-09,93.63177083333333,834.85,33.925000000000004,Bloc 1,Enherbement haut
2017-08-10,93.63177083333333,873.2,33.925000000000004,Bloc 1,Enherbement haut
2017-08-11,93.63177083333333,911.55,33.925000000000004,Bloc 1,Enherbement haut
2017-08-12,93.63177083333333,949.9,33.925000000000004,Bloc 1,Enherbement haut
2017-08-13,93.63177083333333,988.25,33.925000000000004,Bloc 1,Enherbement haut
2017-08-14,93.63177083333333,1026.6,33.925000000000004,Bloc 1,Enherbement haut
2017-08-15,93.63177083333333,1064.9499999999998,33.925000000000004,Bloc 1,Enherbement haut
