date,larves,inflos_vivantes,inflos_mortes,Bloc,Sol
2017-07-19,20.800000000000004,350,NA,Bloc 1,Enherbement ras
2017-07-20,20.800000000000004,450.1,NA,Bloc 1,Enherbement ras
2017-07-21,20.800000000000004,550.2,NA,Bloc 1,Enherbement ras
2017-07-22,20.800000000000004,650.3,NA,Bloc 1,Enherbement ras
2017-07-23,20.800000000000004,750.4000000000001,NA,Bloc 1,Enherbement ras
2017-07-24,20.800000000000004,850.5,NA,Bloc 1,Enherbement ras
2017-07-25,20.800000000000004,950.6,NA,Bloc 1,Enherbement ras
2017-07-26,63.233333333333334,969.5,NA,Bloc 1,Enherbement ras
2017-07-27,63.233333333333334,988.4000000000001,NA,Bloc 1,Enherbement ras
2017-07-28,63.233333333333334,1007.3000000000001,NA,Bloc 1,Enherbement ras
2017-07-29,63.233333333333334,1026.2,NA,Bloc 1,Enherbement ras
2017-07-30,63.233333333333334,1045.1000000000001,NA,Bloc 1,Enherbement ras
2017-07-31,63.233333333333334,1064,NA,Bloc 1,Enherbement ras
2017-08-01,63.233333333333334,1082.9,NA,Bloc 1,Enherbement ras
2017-08-02,213.92954545454546,1174.6000000000001,NA,Bloc 1,Enherbement ras
2017-08-03,213.92954545454546,1266.3000000000002,NA,Bloc 1,Enherbement ras
2017-08-04,213.92954545454546,1358,NA,Bloc 1,Enherbement ras
2017-08-05,213.92954545454546,1449.7,NA,Bloc 1,Enherbement ras
2017-08-06,213.92954545454546,1541.4,NA,Bloc 1,Enherbement ras
2017-08-07,213.92954545454546,1633.1000000000001,NA,Bloc 1,Enherbement ras
2017-08-08,213.92954545454546,1724.8000000000002,NA,Bloc 1,Enherbement ras
2017-08-09,916.9052083333333,1827.0875,25.1125,Bloc 1,Enherbement ras
2017-08-10,916.9052083333333,1929.3750000000002,25.1125,Bloc 1,Enherbement ras
2017-08-11,916.9052083333333,2031.6625000000004,25.1125,Bloc 1,Enherbement ras
2017-08-12,916.9052083333333,2133.9500000000003,25.1125,Bloc 1,Enherbement ras
2017-08-13,916.9052083333333,2236.2375,25.1125,Bloc 1,Enherbement ras
2017-08-14,916.9052083333333,2338.5250000000005,25.1125,Bloc 1,Enherbement ras
2017-08-15,916.9052083333333,2440.8125000000005,25.1125,Bloc 1,Enherbement ras
2017-08-16,916.9052083333333,2543.1000000000004,25.1125,Bloc 1,Enherbement ras
2017-08-17,1400.5081140350876,2582.3,122.50000000000001,Bloc 1,Enherbement ras
2017-08-18,1400.5081140350876,2621.5,122.50000000000001,Bloc 1,Enherbement ras
2017-08-19,1172.2433333333333,2467.64,55.86,Bloc 1,Enherbement ras
2017-08-20,1172.2433333333333,2313.7799999999997,55.86,Bloc 1,Enherbement ras
2017-08-21,1172.2433333333333,2159.92,55.86,Bloc 1,Enherbement ras
2017-08-22,1172.2433333333333,2006.06,55.86,Bloc 1,Enherbement ras
2017-08-23,1172.2433333333333,1852.2,55.86,Bloc 1,Enherbement ras
2017-08-24,606.4625,1766.45,218.05,Bloc 1,Enherbement ras
2017-08-25,606.4625,1680.7,218.05,Bloc 1,Enherbement ras
2017-08-26,247.15444444444444,1732.15,249.9,Bloc 1,Enherbement ras
2017-08-27,247.15444444444444,1783.6000000000001,249.9,Bloc 1,Enherbement ras
2017-08-28,247.15444444444444,1835.0500000000002,249.9,Bloc 1,Enherbement ras
2017-08-29,247.15444444444444,1886.5000000000002,249.9,Bloc 1,Enherbement ras
2017-08-30,161.9125925925926,1724.8000000000002,307.06666666666666,Bloc 1,Enherbement ras
2017-08-31,161.9125925925926,1563.1000000000001,307.06666666666666,Bloc 1,Enherbement ras
2017-09-01,161.9125925925926,1401.4,307.06666666666666,Bloc 1,Enherbement ras
2017-09-02,1362.025,1345.5400000000002,216.58,Bloc 1,Enherbement ras
2017-09-03,1362.025,1289.68,216.58,Bloc 1,Enherbement ras
2017-09-04,1362.025,1233.8200000000002,216.58,Bloc 1,Enherbement ras
2017-09-05,1362.025,1177.96,216.58,Bloc 1,Enherbement ras
