Numero de la station,Nom de la station,Jour,Temp min abris,Temp moy abris,Temp max abris,(Tmax+Tmin)/2,G-E,Moyenne semaine (G),,
97415511,LYCEE DE SAINT-PAUL,18/07/2017,16.9,21.6,28.1,22.5,0.9,22.875,,
97415511,LYCEE DE SAINT-PAUL,19/07/2017,17.7,21.8,28.2,22.95,1.15,,,
97415511,LYCEE DE SAINT-PAUL,20/07/2017,18,21.5,26.4,22.2,0.7,,,
97415511,LYCEE DE SAINT-PAUL,21/07/2017,18,21.8,28.6,23.3,1.5,,,
97415511,LYCEE DE SAINT-PAUL,22/07/2017,17.7,21.8,28,22.85,1.05,,,
97415511,LYCEE DE SAINT-PAUL,23/07/2017,17.7,22.3,29.2,23.45,1.15,,,
97415511,LYCEE DE SAINT-PAUL,24/07/2017,17.6,22.6,28.3,22.95,0.35,23.8214285714,,
97415511,LYCEE DE SAINT-PAUL,25/07/2017,19.5,22.7,29,24.25,1.55,,,
97415511,LYCEE DE SAINT-PAUL,26/07/2017,19.3,23,29.2,24.25,1.25,,,
97415511,LYCEE DE SAINT-PAUL,27/07/2017,18.8,22.7,29.1,23.95,1.25,,,
97415511,LYCEE DE SAINT-PAUL,28/07/2017,18.6,22.7,29.5,24.05,1.35,,,
97415511,LYCEE DE SAINT-PAUL,29/07/2017,19.3,22.8,28.8,24.05,1.25,,,
97415511,LYCEE DE SAINT-PAUL,30/07/2017,18,22.5,28.5,23.25,0.75,,,
97415511,LYCEE DE SAINT-PAUL,31/07/2017,18.2,21.8,28.4,23.3,1.5,21.7785714286,,
97415511,LYCEE DE SAINT-PAUL,01/08/2017,16.5,21.2,27.8,22.15,0.95,,,
97415511,LYCEE DE SAINT-PAUL,02/08/2017,16.7,19.7,25.4,21.05,1.35,,,
97415511,LYCEE DE SAINT-PAUL,03/08/2017,16.8,20.1,26.8,21.8,1.7,,,
97415511,LYCEE DE SAINT-PAUL,04/08/2017,16.1,19.6,25.6,20.85,1.25,,,
97415511,LYCEE DE SAINT-PAUL,05/08/2017,16,20,26.1,21.05,1.05,,,
97415511,LYCEE DE SAINT-PAUL,06/08/2017,16.9,21.3,27.6,22.25,0.95,,,
97415511,LYCEE DE SAINT-PAUL,07/08/2017,18.2,22.8,29.4,23.8,1,22.75,,
97415511,LYCEE DE SAINT-PAUL,08/08/2017,18.9,21.7,28.9,23.9,2.2,,,
97415511,LYCEE DE SAINT-PAUL,09/08/2017,18.3,21.6,27.9,23.1,1.5,,,
97415511,LYCEE DE SAINT-PAUL,10/08/2017,17.2,21.7,28,22.6,0.9,,,
97415511,LYCEE DE SAINT-PAUL,11/08/2017,17.3,21.4,26.7,22,0.6,,,
97415511,LYCEE DE SAINT-PAUL,12/08/2017,17.2,21.2,27.6,22.4,1.2,,,
97415511,LYCEE DE SAINT-PAUL,13/08/2017,16.9,20.6,26,21.45,0.85,,,
97415511,LYCEE DE SAINT-PAUL,14/08/2017,15.3,20.5,26.3,20.8,0.3,22.7285714286,,
97415511,LYCEE DE SAINT-PAUL,15/08/2017,16.7,21.6,27.5,22.1,0.5,,,La température moyenne de la colonne E semble être calculée en faisant la moyenne sur toutes les températures 
97415511,LYCEE DE SAINT-PAUL,16/08/2017,16.9,22.1,28.9,22.9,0.8,,,"de la journée. Dans la colonne G, la température moyenne est calculée en faisant (Tmin+Tmoy)/2, la moyenne"
97415511,LYCEE DE SAINT-PAUL,17/08/2017,17.9,22.9,28.7,23.3,0.4,,,"des températures minimale et maximale de la journée. On a fait le graphe pour les deux calculs, il y a environ 1°C "
97415511,LYCEE DE SAINT-PAUL,18/08/2017,19.5,22.5,29.2,24.35,1.85,,,d’écart entre les deux calculs …. 
97415511,LYCEE DE SAINT-PAUL,19/08/2017,18.1,21.1,27.2,22.65,1.55,,,
97415511,LYCEE DE SAINT-PAUL,20/08/2017,17,21.1,29,23,1.9,,,
97415511,LYCEE DE SAINT-PAUL,21/08/2017,18,22.1,29.1,23.55,1.45,23.5928571429,,
97415511,LYCEE DE SAINT-PAUL,22/08/2017,18.1,21.8,28.4,23.25,1.45,,,
97415511,LYCEE DE SAINT-PAUL,23/08/2017,18,21.9,29.3,23.65,1.75,,,
97415511,LYCEE DE SAINT-PAUL,24/08/2017,16.9,22.9,30,23.45,0.55,,,
97415511,LYCEE DE SAINT-PAUL,25/08/2017,19,23.4,29.5,24.25,0.85,,,
97415511,LYCEE DE SAINT-PAUL,26/08/2017,18.7,22.4,28.5,23.6,1.2,,,
97415511,LYCEE DE SAINT-PAUL,27/08/2017,18.3,21.8,28.5,23.4,1.6,,,
97415511,LYCEE DE SAINT-PAUL,28/08/2017,18,22,28.3,23.15,1.15,23.5428571429,,
97415511,LYCEE DE SAINT-PAUL,29/08/2017,19,23,29.5,24.25,1.25,,,
97415511,LYCEE DE SAINT-PAUL,30/08/2017,18.6,22.1,28.5,23.55,1.45,,,
97415511,LYCEE DE SAINT-PAUL,31/08/2017,17.4,22.1,28,22.7,0.6,,,
97415511,LYCEE DE SAINT-PAUL,01/09/2017,18.6,22.3,27.5,23.05,0.75,,,
97415511,LYCEE DE SAINT-PAUL,02/09/2017,19.4,22.7,28,23.7,1,,,
97415511,LYCEE DE SAINT-PAUL,03/09/2017,19.8,23.2,29,24.4,1.2,,,
97415511,LYCEE DE SAINT-PAUL,04/09/2017,17.8,22.8,28.5,23.15,0.35,22.2928571429,,
97415511,LYCEE DE SAINT-PAUL,05/09/2017,17.5,21.8,28.7,23.1,1.3,,,
97415511,LYCEE DE SAINT-PAUL,06/09/2017,17.3,20.5,25.7,21.5,1,,,
97415511,LYCEE DE SAINT-PAUL,07/09/2017,16.1,20.6,25.5,20.8,0.2,,,
97415511,LYCEE DE SAINT-PAUL,08/09/2017,16.5,21.3,27,21.75,0.45,,,
97415511,LYCEE DE SAINT-PAUL,09/09/2017,16.7,21.6,28,22.35,0.75,,,
97415511,LYCEE DE SAINT-PAUL,10/09/2017,19,22,27.8,23.4,1.4,,,
97415511,LYCEE DE SAINT-PAUL,11/09/2017,17.9,21.6,27.8,22.85,1.25,23.1857142857,,
97415511,LYCEE DE SAINT-PAUL,12/09/2017,19.1,22.8,28.3,23.7,0.9,,,
97415511,LYCEE DE SAINT-PAUL,13/09/2017,17.4,21.7,27.8,22.6,0.9,,,
97415511,LYCEE DE SAINT-PAUL,14/09/2017,18.9,22.4,28.8,23.85,1.45,,,
97415511,LYCEE DE SAINT-PAUL,15/09/2017,18,22.4,28.9,23.45,1.05,,,
97415511,LYCEE DE SAINT-PAUL,16/09/2017,19.1,22.7,29.5,24.3,1.6,,,
97415511,LYCEE DE SAINT-PAUL,17/09/2017,17.8,20.6,25.3,21.55,0.95,,,
97415511,LYCEE DE SAINT-PAUL,18/09/2017,18.6,21.3,25.2,21.9,0.6,22.3857142857,,
97415511,LYCEE DE SAINT-PAUL,19/09/2017,19,21.5,27.2,23.1,1.6,,,
97415511,LYCEE DE SAINT-PAUL,20/09/2017,17.1,21.2,27.7,22.4,1.2,,,
97415511,LYCEE DE SAINT-PAUL,21/09/2017,17.5,21.3,25.4,21.45,0.15,,,
97415511,LYCEE DE SAINT-PAUL,22/09/2017,17.4,20.2,26.7,22.05,1.85,,,
97415511,LYCEE DE SAINT-PAUL,23/09/2017,17.1,21.8,29.1,23.1,1.3,,,
97415511,LYCEE DE SAINT-PAUL,24/09/2017,17.8,21.5,27.6,22.7,1.2,,,
97415511,LYCEE DE SAINT-PAUL,25/09/2017,17.3,22.1,28.6,22.95,0.85,23.1071428571,,
97415511,LYCEE DE SAINT-PAUL,26/09/2017,18.3,22.9,29,23.65,0.75,,,
97415511,LYCEE DE SAINT-PAUL,27/09/2017,19.6,21.7,27.4,23.5,1.8,,,
97415511,LYCEE DE SAINT-PAUL,28/09/2017,17.8,22.1,28.9,23.35,1.25,,,
97415511,LYCEE DE SAINT-PAUL,29/09/2017,18.2,21.9,27.8,23,1.1,,,
97415511,LYCEE DE SAINT-PAUL,30/09/2017,17.9,21.5,27.2,22.55,1.05,,,
97415511,LYCEE DE SAINT-PAUL,01/10/2017,19.1,21.5,26.4,22.75,1.25,,,
97415511,LYCEE DE SAINT-PAUL,02/10/2017,18,22.6,30.3,24.15,1.55,23.5375,,
97415511,LYCEE DE SAINT-PAUL,04/10/2017,18.6,22.5,29.5,24.05,1.55,,,
97415511,LYCEE DE SAINT-PAUL,05/10/2017,18.6,22.4,29.1,23.85,1.45,,,
97415511,LYCEE DE SAINT-PAUL,06/10/2017,17,20.8,27.2,22.1,1.3,,,
,,,,21.82,,22.94625,,,,
