"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-09-20,2,2,0,2,0,2,0,0
"2",2-08-20,2,4,0,4,0,4,0,2
"3",3-08-20,1,5,0,3,2,5,0,4
"4",3-10-20,0,5,0,1,4,5,0,5
"5",4-08-20,3,8,0,3,5,8,0,5
"6",4-09-20,7,15,0,10,5,15,0,5
"7",5-08-20,1,15,1,11,5,16,0,15
"8",5-09-20,1,16,1,2,15,15,2,15
"9",6-08-20,2,18,1,4,15,15,4,17
"10",6-09-20,4,22,1,6,17,18,5,17
"11",7-08-20,3,18,8,9,17,21,5,23
"12",7-09-20,3,20,9,6,23,21,8,23
"13",8-08-20,1,19,11,7,23,15,15,29
"14",8-09-20,10,29,11,11,29,24,16,29
"15",9-09-20,1,28,13,12,29,24,17,40
"16",10-07-20,1,28,14,2,40,23,19,41
"17",10-09-20,4,31,15,5,41,23,21,42
"18",11-08-20,1,31,16,5,42,21,22,44
"19",11-09-20,5,35,17,6,46,23,24,42
"20",12-09-20,2,36,18,8,46,24,25,47
"21",13-07-20,2,38,18,4,52,16,32,49
"22",13-09-20,2,38,20,4,54,17,26,48
"23",15-07-20,1,36,23,3,56,17,26,43
"24",17-09-20,2,37,24,3,58,15,29,43
"25",18-08-20,4,41,24,6,59,18,28,44
"26",19-07-20,1,39,27,5,61,14,29,46
"27",19-08-20,1,39,28,2,65,13,28,42
"28",20-08-20,1,39,29,3,65,12,27,41
"29",20-09-20,0,38,30,1,67,10,28,38
"30",22-08-20,1,35,34,2,67,10,19,38
"31",23-08-20,1,36,34,2,68,9,20,29
"32",26-07-20,1,37,34,2,69,6,23,29
"33",26-09-20,2,38,35,3,70,7,20,29
"34",27-07-20,1,33,41,3,71,7,20,27
"35",27-08-20,1,33,42,2,73,7,16,26
"36",28-08-20,1,34,42,3,73,8,14,23
"37",2019-10-06,0,34,42,1,76,7,13,22
