"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,1,1,0,1,0,1,0,0
"2",1-09-20,3,4,0,4,0,4,0,0
"3",2-08-20,17,21,0,21,0,21,0,4
"4",2-09-20,1,22,0,18,4,22,0,4
"5",3-08-20,1,23,0,19,4,23,0,22
"6",3-09-20,1,24,0,2,22,24,0,22
"7",3-10-20,0,24,0,2,22,24,0,23
"8",4-08-20,2,24,2,3,23,25,1,24
"9",4-09-20,3,27,2,5,24,25,4,24
"10",5-07-20,1,27,3,6,24,9,21,29
"11",5-09-20,1,28,3,2,29,9,22,30
"12",6-07-20,1,29,3,2,30,9,23,31
"13",6-09-20,5,34,3,6,31,13,24,32
"14",7-08-20,11,33,15,16,32,24,24,37
"15",7-09-20,4,28,24,15,37,26,26,37
"16",8-07-20,1,28,25,16,37,24,29,52
"17",8-09-20,4,31,26,5,52,27,29,53
"18",9-08-20,1,32,26,5,53,27,27,56
"19",9-09-20,2,34,26,3,57,28,11,53
"20",10-08-20,1,34,27,4,57,24,15,39
"21",10-09-20,1,35,27,2,60,14,25,38
"22",11-08-20,1,36,27,3,60,11,28,39
"23",11-09-20,6,42,27,7,62,16,29,38
"24",12-09-20,2,43,28,9,62,14,31,45
"25",13-07-20,1,43,29,3,69,14,29,45
"26",13-09-20,4,46,30,5,71,16,30,43
"27",15-07-20,2,41,37,6,72,17,30,46
"28",18-08-20,2,42,38,4,76,18,30,47
"29",19-07-20,7,48,39,9,78,24,26,48
"30",20-07-20,1,45,43,8,80,19,21,50
"31",20-08-20,1,46,43,2,87,18,19,39
"32",20-09-20,1,47,43,3,87,18,19,36
"33",21-07-20,2,38,54,4,88,16,19,37
"34",21-08-20,2,38,56,4,90,16,20,33
"35",22-07-20,2,40,56,6,90,16,20,36
"36",22-08-20,1,41,56,3,94,10,26,34
"37",23-07-20,2,42,57,5,94,11,26,36
"38",23-08-20,2,43,58,4,97,12,26,35
"39",24-08-20,2,44,59,6,97,13,21,38
"40",25-07-20,1,43,61,3,101,12,21,34
"41",26-08-20,3,45,62,4,103,13,22,33
"42",26-09-20,0,42,65,3,104,11,20,32
"43",27-07-20,1,26,82,4,104,11,19,31
"44",28-06-20,2,27,83,3,107,11,19,30
"45",28-07-20,2,28,84,4,108,11,14,28
"46",29-06-20,2,29,85,6,108,11,15,25
"47",29-07-20,1,28,87,3,112,11,15,24
"48",30-07-20,4,31,88,7,112,12,17,26
"49",31-07-20,4,31,92,8,115,16,15,29
"50",2019-10-06,0,27,96,4,123,15,14,31
