"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-09-20,3,3,0,3,0,3,0,0
"2",2-08-20,4,7,0,7,0,7,0,3
"3",2-09-20,1,8,0,5,3,8,0,3
"4",3-09-20,1,9,0,6,3,9,0,8
"5",3-10-20,0,9,0,1,8,9,0,8
"6",4-07-20,1,8,2,2,8,10,0,9
"7",4-08-20,4,12,2,5,9,14,0,9
"8",4-09-20,1,13,2,6,9,12,3,10
"9",5-09-20,1,13,3,6,10,9,7,15
"10",6-07-20,1,14,3,2,15,9,8,16
"11",6-09-20,6,20,3,7,16,14,9,17
"12",7-08-20,3,11,15,9,17,17,9,23
"13",7-09-20,2,12,16,5,23,18,10,23
"14",8-08-20,1,11,18,6,23,15,14,28
"15",8-09-20,1,11,19,2,28,15,15,28
"16",10-08-20,2,13,19,4,28,16,16,30
"17",10-09-20,1,13,20,3,30,16,14,30
"18",11-08-20,1,13,21,4,30,11,16,30
"19",11-09-20,1,13,22,2,33,9,18,26
"20",12-08-20,1,13,23,3,33,8,19,27
"21",13-09-20,1,14,23,2,35,8,20,27
"22",14-08-20,1,11,27,2,36,8,20,28
"23",18-08-20,2,12,28,3,37,8,18,28
"24",19-06-20,1,12,29,3,38,8,18,26
"25",19-07-20,1,13,29,2,40,8,18,25
"26",19-08-20,1,13,30,3,40,8,18,25
"27",20-09-20,1,13,31,3,41,8,13,26
"28",21-08-20,1,8,37,2,43,8,11,21
"29",22-07-20,1,8,38,2,44,8,10,19
"30",23-08-20,1,8,39,2,45,7,11,18
"31",24-07-20,2,9,40,3,46,8,11,18
"32",25-07-20,1,8,42,3,47,8,10,19
"33",25-08-20,1,8,43,2,49,8,10,17
"34",26-07-20,2,10,43,4,49,9,10,18
"35",26-08-20,3,11,45,5,51,11,10,17
"36",26-09-20,1,10,47,6,51,11,10,18
"37",28-07-20,3,10,50,7,53,13,10,21
"38",29-07-20,2,9,53,5,57,13,11,23
"39",30-07-20,1,8,55,3,60,13,10,24
"40",2019-10-06,0,7,56,1,63,12,10,23
