"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,3,3,0,3,0,3,0,0
"2",2-08-20,4,7,0,7,0,7,0,3
"3",2-09-20,1,8,0,5,3,8,0,3
"4",3-08-20,2,10,0,7,3,10,0,8
"5",3-09-20,3,13,0,5,8,13,0,8
"6",3-10-20,0,13,0,5,8,13,0,10
"7",4-08-20,1,14,0,4,10,14,0,13
"8",5-09-20,1,15,0,2,13,12,3,14
"9",6-09-20,3,18,0,4,14,11,7,15
"10",7-08-20,6,20,4,9,15,16,8,18
"11",7-09-20,1,17,8,7,18,15,10,18
"12",9-07-20,3,20,8,10,18,15,13,25
"13",9-08-20,3,20,11,6,25,18,13,25
"14",9-09-20,2,22,11,8,25,19,14,28
"15",10-07-20,6,28,11,11,28,24,15,33
"16",10-09-20,2,24,17,8,33,23,18,39
"17",11-07-20,1,25,17,3,39,18,21,41
"18",11-08-20,2,26,18,3,41,19,18,38
"19",12-07-20,1,25,20,4,41,17,20,37
"20",12-08-20,1,26,20,2,44,15,21,36
"21",13-09-20,2,27,21,4,44,15,20,36
"22",14-08-20,3,25,26,5,46,12,26,35
"23",14-09-20,1,23,29,4,48,11,27,35
"24",16-08-20,1,24,29,5,48,11,27,38
"25",17-08-20,1,24,30,2,52,10,26,38
"26",18-07-20,2,25,31,3,53,11,21,36
"27",18-08-20,3,26,33,5,54,13,21,30
"28",19-06-20,2,26,35,7,54,13,20,34
"29",19-07-20,1,25,37,3,59,11,20,31
"30",20-07-20,1,26,37,4,59,11,19,31
"31",20-08-20,3,28,38,4,62,13,14,29
"32",20-09-20,1,26,41,5,62,13,13,24
"33",21-07-20,1,8,60,5,63,12,14,26
"34",21-08-20,1,8,61,2,67,10,15,25
"35",22-07-20,1,8,62,3,67,9,16,25
"36",22-08-20,4,11,63,5,69,12,16,24
"37",23-07-20,2,11,65,7,69,13,15,28
"38",23-08-20,2,11,67,4,74,12,15,26
"39",24-07-20,5,14,69,9,74,16,15,27
"40",24-08-20,4,16,71,9,78,19,15,26
"41",25-07-20,1,14,74,10,78,19,15,34
"42",25-08-20,4,17,75,5,87,22,14,33
"43",26-07-20,3,16,79,8,87,21,15,36
"44",26-08-20,2,16,81,5,92,21,15,33
"45",26-09-20,1,16,82,6,92,20,16,34
"46",27-09-20,1,12,87,4,95,16,20,36
"47",28-06-20,6,18,87,7,98,18,21,36
"48",28-07-20,5,17,93,11,99,22,21,33
"49",28-08-20,1,13,98,12,99,19,24,38
"50",29-07-20,2,14,99,8,105,18,26,43
"51",29-08-20,1,13,101,3,111,17,27,42
"52",30-07-20,7,20,101,10,111,23,24,44
"53",31-07-20,3,17,107,10,114,25,23,47
"54",2019-10-06,0,14,110,3,124,19,27,48
