"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,4,4,0,4,0,4,0,0
"2",1-09-20,8,12,0,12,0,12,0,0
"3",2-08-20,27,39,0,39,0,39,0,12
"4",2-09-20,3,42,0,30,12,42,0,12
"5",3-08-20,4,46,0,34,12,46,0,42
"6",3-09-20,5,51,0,9,42,51,0,42
"7",3-10-20,0,51,0,9,42,51,0,46
"8",4-07-20,1,48,4,6,46,48,4,51
"9",4-08-20,10,58,4,11,51,50,12,51
"10",4-09-20,11,69,4,22,51,34,39,52
"11",5-07-20,1,67,7,22,52,32,42,73
"12",5-08-20,1,68,7,2,73,29,46,73
"13",5-09-20,4,72,7,6,73,28,51,74
"14",6-07-20,2,74,7,7,74,30,51,79
"15",6-08-20,2,76,7,4,79,31,52,79
"16",6-09-20,18,94,7,22,79,39,62,81
"17",7-08-20,23,82,42,43,81,51,69,101
"18",7-09-20,10,77,57,33,101,60,62,97
"19",8-07-20,1,73,62,34,101,60,36,122
"20",8-08-20,2,74,63,3,134,58,37,95
"21",8-09-20,15,88,64,18,134,71,35,93
"22",9-07-20,3,89,66,20,135,72,32,106
"23",9-08-20,4,90,69,7,152,58,50,101
"24",9-09-20,5,95,69,12,152,40,72,104
"25",10-07-20,7,100,71,16,155,37,72,112
"26",10-08-20,3,96,78,10,164,39,62,102
"27",10-09-20,8,103,79,18,164,45,63,98
"28",11-07-20,1,102,81,12,171,31,77,108
"29",11-08-20,5,106,82,6,182,33,76,107
"30",11-09-20,12,114,86,18,182,41,78,104
"31",12-07-20,1,112,89,18,183,37,81,119
"32",12-08-20,2,114,89,3,200,32,70,117
"33",12-09-20,4,117,90,7,200,33,50,100
"34",13-07-20,3,119,91,9,201,28,48,83
"35",13-09-20,9,125,94,12,207,36,48,76
"36",14-08-20,4,110,113,13,210,35,51,84
"37",14-09-20,1,107,117,5,219,24,48,82
"38",15-07-20,3,110,117,8,219,26,46,72
"39",16-08-20,1,109,119,4,224,25,44,72
"40",17-08-20,1,109,120,2,227,22,43,69
"41",17-09-20,2,110,121,3,228,21,39,64
"42",18-07-20,2,112,121,5,228,14,45,60
"43",18-08-20,11,121,123,13,231,21,41,57
"44",19-06-20,3,117,130,16,231,23,41,62
"45",19-07-20,10,125,132,13,244,30,39,61
"46",19-08-20,2,121,138,15,244,31,28,59
"47",20-07-20,2,121,140,14,247,32,28,59
"48",20-08-20,5,125,141,7,259,35,28,58
"49",20-09-20,3,124,145,10,259,36,26,58
"50",21-07-20,3,87,185,11,261,28,34,62
"51",21-08-20,4,88,188,7,269,29,28,59
"52",22-07-20,4,90,190,11,269,23,34,57
"53",22-08-20,6,94,192,10,276,27,35,53
"54",23-07-20,4,95,195,14,276,29,34,62
"55",23-08-20,6,98,198,10,286,30,38,59
"56",24-07-20,7,101,202,17,286,34,40,68
"57",24-08-20,6,103,206,13,296,37,41,67
"58",25-07-20,3,101,211,16,296,36,43,78
"59",25-08-20,5,103,214,8,309,37,36,76
"60",26-07-20,6,105,218,14,309,37,39,73
"61",26-08-20,8,108,223,14,317,41,33,70
"62",26-09-20,4,106,229,18,317,39,37,66
"63",27-07-20,2,77,260,14,323,34,42,76
"64",27-08-20,1,76,262,3,335,29,43,74
"65",27-09-20,1,77,262,4,335,27,43,71
"66",28-06-20,8,85,262,10,337,30,45,70
"67",28-07-20,10,88,269,18,339,34,47,67
"68",28-08-20,2,81,278,20,339,28,51,71
"69",29-06-20,2,82,279,14,347,26,49,79
"70",29-07-20,5,85,281,7,359,29,47,73
"71",29-08-20,1,81,286,8,359,29,42,71
"72",30-07-20,12,93,286,18,361,40,36,71
"73",31-07-20,7,89,297,19,367,39,38,76
"74",2019-10-06,0,82,304,7,386,29,45,77
