"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-09-20,2,2,0,2,0,2,0,0
"2",2-08-20,2,4,0,4,0,4,0,2
"3",3-08-20,1,5,0,3,2,5,0,4
"4",3-10-20,0,5,0,1,4,5,0,5
"5",4-08-20,3,8,0,3,5,8,0,5
"6",4-09-20,7,15,0,10,5,15,0,5
"7",5-08-20,1,15,1,11,5,16,0,15
"8",5-09-20,1,16,1,2,15,15,2,15
"9",6-08-20,2,18,1,4,15,15,4,17
"10",6-09-20,4,22,1,6,17,18,5,17
"11",7-08-20,3,18,8,9,17,21,5,23
"12",7-09-20,3,20,9,6,23,21,8,23
"13",8-08-20,1,19,11,7,23,15,15,29
"14",8-09-20,10,29,11,11,29,24,16,29
"15",9-09-20,1,28,13,12,29,24,17,40
"16",10-07-20,1,28,14,2,40,23,19,41
"17",10-09-20,4,31,15,5,41,23,21,42
"18",11-07-20,1,31,16,5,42,21,22,44
"19",11-08-20,1,31,17,2,46,19,24,42
"20",11-09-20,5,35,18,7,46,23,25,42
"21",12-09-20,2,36,19,8,47,15,32,48
"22",13-07-20,2,38,19,4,53,16,26,47
"23",13-09-20,2,38,21,4,55,17,26,42
"24",15-07-20,1,36,24,3,57,14,29,43
"25",17-09-20,2,37,25,3,59,15,28,43
"26",18-08-20,4,41,25,6,60,18,25,43
"27",19-07-20,1,39,28,5,62,14,27,43
"28",19-08-20,1,39,29,2,66,13,26,40
"29",20-08-20,1,39,30,3,66,12,27,39
"30",20-09-20,0,38,31,1,68,10,19,38
"31",22-08-20,1,35,35,2,68,10,19,29
"32",23-08-20,1,36,35,2,69,9,20,29
"33",25-08-20,3,39,35,4,70,8,20,29
"34",26-07-20,1,37,38,4,71,8,20,28
"35",26-09-20,2,38,39,3,74,9,20,28
"36",27-07-20,1,33,45,3,75,9,16,29
"37",27-08-20,1,33,46,2,77,10,14,24
"38",28-07-20,1,34,46,3,77,10,13,24
"39",28-08-20,1,34,47,2,79,10,12,22
"40",29-07-20,1,35,47,3,79,8,14,22
"41",2019-10-06,0,34,48,1,82,7,13,22
