"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,3,3,0,3,0,3,0,0
"2",1-09-20,3,6,0,6,0,6,0,0
"3",2-08-20,20,26,0,26,0,26,0,6
"4",2-09-20,1,27,0,21,6,27,0,6
"5",3-08-20,2,29,0,23,6,29,0,27
"6",3-09-20,1,30,0,3,27,30,0,27
"7",3-10-20,0,30,0,3,27,30,0,29
"8",4-08-20,3,31,2,4,29,30,3,30
"9",4-09-20,3,34,2,6,30,30,6,30
"10",5-07-20,1,34,3,7,30,11,26,36
"11",5-09-20,1,35,3,2,36,11,27,37
"12",6-07-20,1,36,3,2,37,10,29,38
"13",6-09-20,5,41,3,6,38,14,30,39
"14",7-08-20,12,39,17,17,39,26,30,44
"15",7-09-20,5,35,26,17,44,28,33,44
"16",8-07-20,1,35,27,18,44,26,36,61
"17",8-09-20,4,38,28,5,61,29,34,62
"18",9-07-20,3,41,28,7,62,31,32,63
"19",9-08-20,4,42,31,7,66,34,13,60
"20",9-09-20,2,44,31,9,66,31,17,43
"21",10-07-20,6,49,32,12,69,25,27,48
"22",10-08-20,1,44,38,7,75,21,31,46
"23",10-09-20,1,45,38,8,75,21,32,51
"24",11-08-20,1,46,38,3,81,18,33,53
"25",11-09-20,6,52,38,7,83,21,33,50
"26",12-09-20,2,53,39,9,83,19,36,54
"27",13-07-20,1,53,40,3,90,18,37,55
"28",13-09-20,5,57,41,6,92,17,42,55
"29",14-08-20,3,52,49,8,93,19,38,59
"30",15-07-20,2,51,52,5,98,20,27,57
"31",17-08-20,1,51,53,3,101,20,23,47
"32",18-08-20,4,54,54,5,103,18,28,43
"33",19-06-20,2,54,56,6,104,18,26,46
"34",19-07-20,7,59,58,9,108,24,24,42
"35",20-07-20,1,56,62,10,108,20,25,48
"36",20-08-20,3,59,62,4,117,20,26,44
"37",20-09-20,1,58,64,5,117,19,22,43
"38",21-07-20,2,41,83,6,118,20,22,41
"39",21-08-20,2,41,85,4,122,18,25,40
"40",22-07-20,3,44,85,7,122,19,26,43
"41",22-08-20,3,46,86,6,126,15,27,42
"42",23-07-20,2,47,87,8,126,16,26,42
"43",23-08-20,2,48,88,4,132,15,28,40
"44",24-07-20,5,52,89,9,132,19,24,43
"45",24-08-20,3,53,91,8,136,20,23,38
"46",25-07-20,1,52,93,9,136,19,23,43
"47",26-08-20,3,54,94,4,144,19,25,42
"48",26-09-20,0,51,97,3,145,16,24,41
"49",27-07-20,1,34,115,4,145,15,24,40
"50",28-06-20,8,41,116,9,148,21,19,39
"51",28-07-20,6,40,123,14,149,22,23,32
"52",29-06-20,2,37,128,16,149,21,23,45
"53",29-07-20,1,36,130,3,163,21,23,42
"54",30-07-20,5,40,131,8,163,23,24,44
"55",31-07-20,7,42,136,12,166,30,22,47
"56",2019-10-06,0,35,143,7,178,29,20,52
