"","date","nouvelles","vivantes","mortes","vivantes_theo","mortes_theo","CD_theo","E_theo","F_theo"
"1",1-08-20,1,1,0,1,0,1,0,0
"2",1-09-20,3,4,0,4,0,4,0,0
"3",2-08-20,5,9,0,9,0,9,0,4
"4",2-09-20,2,11,0,7,4,11,0,4
"5",3-08-20,1,12,0,8,4,12,0,11
"6",3-09-20,4,16,0,5,11,16,0,11
"7",3-10-20,0,16,0,5,11,16,0,12
"8",4-07-20,1,15,2,5,12,16,1,16
"9",4-08-20,4,19,2,5,16,17,4,16
"10",4-09-20,1,20,2,6,16,13,9,17
"11",5-09-20,2,21,3,7,17,13,11,22
"12",6-07-20,1,22,3,3,22,13,12,24
"13",6-09-20,9,31,3,10,24,18,16,25
"14",7-08-20,8,25,17,17,25,26,16,34
"15",7-09-20,2,22,22,10,34,27,17,34
"16",8-08-20,1,21,24,11,34,24,21,44
"17",8-09-20,1,21,25,2,44,24,21,44
"18",9-09-20,2,23,25,4,44,24,20,45
"19",10-08-20,2,25,25,4,46,25,16,44
"20",10-09-20,3,27,26,5,48,19,23,39
"21",11-08-20,3,29,27,8,48,14,30,42
"22",11-09-20,1,27,30,4,53,13,28,41
"23",12-07-20,1,27,31,5,53,13,29,41
"24",12-08-20,2,29,31,3,57,14,29,41
"25",13-09-20,2,30,32,5,57,14,27,43
"26",14-08-20,1,23,40,3,60,13,28,41
"27",14-09-20,1,23,41,2,62,11,29,40
"28",16-08-20,1,24,41,3,62,9,31,40
"29",18-07-20,2,25,42,3,64,10,23,40
"30",18-08-20,3,26,44,5,65,12,16,31
"31",19-06-20,1,25,46,6,65,11,16,28
"32",19-07-20,2,27,46,3,70,11,17,26
"33",19-08-20,1,27,47,4,70,11,17,26
"34",20-07-20,1,27,48,4,71,11,16,28
"35",20-08-20,1,27,49,2,74,11,15,26
"36",20-09-20,2,28,50,4,74,11,14,25
"37",21-07-20,1,12,67,4,75,9,14,25
"38",21-08-20,2,13,68,3,78,10,14,22
"39",22-07-20,1,12,70,4,78,9,15,24
"40",22-08-20,2,13,71,3,81,10,14,23
"41",23-07-20,2,13,73,5,81,11,13,24
"42",23-08-20,3,14,75,5,84,13,13,22
"43",24-07-20,2,13,78,7,84,13,14,26
"44",24-08-20,3,14,80,5,89,15,14,25
"45",25-07-20,2,13,83,7,89,15,14,29
"46",25-08-20,2,13,85,4,94,16,12,27
"47",26-07-20,5,17,86,9,94,19,13,28
"48",26-08-20,5,18,90,10,98,22,13,27
"49",26-09-20,2,17,93,12,98,21,15,30
"50",27-09-20,1,11,100,8,103,20,16,36
"51",28-07-20,3,14,100,4,110,20,18,36
"52",28-08-20,1,12,103,4,111,19,18,35
"53",29-07-20,3,14,104,7,111,20,19,37
"54",29-08-20,1,12,107,4,115,16,22,36
"55",30-07-20,7,19,107,11,115,18,26,38
"56",2019-10-06,0,13,113,7,126,16,26,44
